'DL3959','Malfunction',1,'Failed','2025-02-19 08:02:08.000',84.7,'2025-06-24','5.2.4','Pending','Poor',71,81,989,'Good','RF','Pending',8,'C62575','VS113526'
'DL5868','Battery Low',10,'Failed','2025-02-19 08:32:08.000',93.6,'2025-03-11','4.8.4','Pending','Fair',66,209,721,'Poor','Bluetooth','Pending',8,'C52903','VS255467'
'DL6970','Malfunction',30,'Failed','2025-02-19 08:27:08.000',93.4,'2025-07-10','1.1.6','Failed','Poor',51,221,570,'Excellent','Satellite','Success',4,'C13929','VS971688'
'DL2634','Active',15,'Real-time','2025-02-19 07:34:08.000',90.5,'2025-10-09','2.7.9','Pending','Good',77,972,668,'Good','Satellite','Success',4,'C68974','VS947527'
'DL8105','Battery Low',15,'Delayed','2025-02-19 07:37:08.000',98.6,'2025-06-18','4.7.5','Pending','Poor',55,543,926,'Excellent','Bluetooth','Success',1,'C43502','VS813069'
'DL3030','Active',15,'Failed','2025-02-19 07:55:08.000',94.5,'2025-09-17','4.1.7','Failed','Poor',14,431,597,'Excellent','RF','Success',4,'C91684','VS229556'
'DL1203','Battery Low',10,'Delayed','2025-02-19 07:46:08.000',85.3,'2025-10-08','5.2.6','Current','Fair',79,191,518,'Excellent','Bluetooth','Success',8,'C41964','VS587926'
'DL7630','Malfunction',1,'Delayed','2025-02-19 08:26:08.000',92.4,'2025-03-23','4.1.9','Failed','Fair',15,341,314,'Good','GSM','Success',8,'C10510','VS337175'
'DL8358','Battery Low',5,'Real-time','2025-02-19 07:51:08.000',99.1,'2025-05-19','4.8.2','Failed','Good',14,958,893,'Excellent','Satellite','Pending',8,'C69927','VS194886'
'DL7805','Malfunction',1,'Failed','2025-02-19 07:55:08.000',99.1,'2025-07-23','5.7.5','Pending','Poor',66,319,147,'Excellent','RF','Failed',12,'C30955','VS212183'
'DL8354','Malfunction',30,'Real-time','2025-02-19 08:23:08.000',89.1,'2025-12-20','3.9.8','Current','Fair',12,106,1000,'Excellent','RF','Failed',12,'C91310','VS981788'
'DL6829','Battery Low',1,'Real-time','2025-02-19 07:46:08.000',87.6,'2025-02-28','4.8.2','Pending','Fair',65,494,480,'Good','RF','Failed',1,'C30691','VS672805'
'DL6880','Battery Low',1,'Failed','2025-02-19 08:04:08.000',88.4,'2025-11-29','2.3.0','Failed','Poor',64,323,75,'Poor','RF','Failed',1,'C58070','VS954193'
'DL4255','Battery Low',30,'Real-time','2025-02-19 07:57:08.000',95.8,'2026-01-12','4.6.6','Failed','Fair',88,873,519,'Good','GSM','Failed',12,'C60207','VS387292'
'DL9998','Battery Low',1,'Delayed','2025-02-19 08:29:08.000',85.8,'2025-04-03','3.3.1','Pending','Poor',31,749,913,'Poor','Satellite','Success',8,'C17716','VS352879'
'DL6742','Battery Low',15,'Failed','2025-02-19 08:21:08.000',81.4,'2025-04-09','3.6.6','Pending','Fair',86,48,458,'Poor','RF','Failed',4,'C14425','VS135208'
'DL5033','Active',10,'Delayed','2025-02-19 07:43:08.000',95.0,'2025-03-27','3.3.1','Pending','Good',38,771,813,'Good','GSM','Failed',1,'C18437','VS895343'
'DL3713','Malfunction',15,'Failed','2025-02-19 08:03:08.000',92.3,'2026-01-02','5.1.0','Current','Poor',36,639,415,'Excellent','RF','Failed',4,'C37349','VS923182'
'DL4610','Battery Low',30,'Real-time','2025-02-19 08:13:08.000',95.3,'2025-03-25','3.3.8','Current','Poor',81,463,733,'Poor','GSM','Pending',1,'C47621','VS676546'
'DL9330','Battery Low',1,'Failed','2025-02-19 07:39:08.000',85.7,'2026-02-06','4.0.2','Current','Good',33,41,311,'Good','Bluetooth','Pending',4,'C73713','VS415528'
