'C62575','Cryo Container',155,153.7,'In Transit','Dry Ice',37.8,80.30,0,'2025-02-09','2025-02-20',72.0,'Battery','Available','VS113526'
'C52903','Ultra-Low Freezer',494,99.7,'Active','Dry Ice',19.3,35.70,2,'2025-02-14','2025-02-24',27.0,'External','In Use','VS255467'
'C13929','Ultra-Low Freezer',321,148.6,'Active','Dry Ice',40.9,70.80,0,'2025-02-09','2025-02-24',45.0,'Battery','Not Available','VS971688'
'C68974','Thermal Shipper',404,77.1,'In Transit','Liquid Nitrogen',43.7,96.00,4,'2025-02-18','2025-02-21',25.0,'Battery','In Use','VS947527'
'C43502','Cryo Container',349,180.5,'In Transit','Dry Ice',5.4,22.80,4,'2025-02-14','2025-02-22',0.0,'Battery','Not Available','VS813069'
'C91684','Ultra-Low Freezer',486,81.6,'In Transit','Dry Ice',40.8,29.30,2,'2025-02-13','2025-02-24',0.0,'Battery','Available','VS229556'
'C41964','Ultra-Low Freezer',372,168.9,'Return','Dry Ice',40.1,37.90,5,'2025-02-09','2025-02-24',79.0,'Hybrid','Available','VS587926'
'C10510','Cryo Container',239,91.8,'In Transit','Liquid Nitrogen',5.7,56.30,1,'2025-02-12','2025-02-20',41.0,'External','In Use','VS337175'
'C69927','Thermal Shipper',102,199.0,'In Transit','Phase Change Material',17.9,71.50,4,'2025-02-13','2025-02-21',91.0,'Battery','Available','VS194886'
'C30955','Ultra-Low Freezer',177,34.5,'Delivered','Phase Change Material',22.0,61.10,1,'2025-02-13','2025-02-21',21.0,'Hybrid','In Use','VS212183'
'C91310','Ultra-Low Freezer',190,132.7,'Return','Phase Change Material',23.6,27.10,2,'2025-02-09','2025-02-20',31.0,'External','In Use','VS981788'
'C30691','Thermal Shipper',397,34.9,'Active','Liquid Nitrogen',43.7,83.40,4,'2025-02-15','2025-02-22',32.0,'External','Not Available','VS672805'
'C58070','Ultra-Low Freezer',367,138.1,'Delivered','Liquid Nitrogen',8.8,67.00,3,'2025-02-09','2025-02-24',56.0,'External','Not Available','VS954193'
'C60207','Ultra-Low Freezer',122,43.0,'Return','Liquid Nitrogen',44.6,44.90,4,'2025-02-12','2025-02-21',40.0,'External','In Use','VS387292'
'C17716','Ultra-Low Freezer',99,26.1,'Delivered','Liquid Nitrogen',24.0,96.60,2,'2025-02-14','2025-02-21',46.0,'External','In Use','VS352879'
