1,-88.1,4.4,-81.2,4,-46.60,-89.00,0.99,12.9,91.5,'Normal','Normal','Malfunction',5.19,335,0.32,9,0,10,'2025-02-19 03:32:08.000','N/A','C62575','V7868'
2,-79.2,2.9,-66.2,8,-46.60,-88.70,0.943,10.9,108.9,'Malfunction','Triggered','Triggered',1.16,190,1.21,3,1,8,'2025-02-18 21:32:08.000','Temperature','C52903','V7577'
3,-79.0,4.8,-85.5,7,-50.50,-94.60,0.969,30.0,92.3,'Normal','Malfunction','Normal',0.26,631,0.67,13,3,10,'2025-02-19 03:32:08.000','Security','C13929','V2591'
4,-75.5,4.2,-88.7,6,-42.30,-90.10,0.892,13.4,100.3,'Triggered','Malfunction','Normal',1.62,381,0.39,20,5,8,'2025-02-19 02:32:08.000','GPS','C68974','V1690'
5,-78.4,4.1,-87.6,4,-59.50,-93.70,0.931,29.4,98.9,'Normal','Triggered','Triggered',6.16,215,0.02,14,2,6,'2025-02-19 05:32:08.000','Battery','C43502','V1956'
6,-86.9,3.6,-73.5,1,-44.70,-93.70,0.966,21.5,95.0,'Normal','Malfunction','Normal',3.49,452,0.06,7,2,9,'2025-02-18 19:32:08.000','Temperature','C91684','V7087'
7,-69.3,2.4,-63.1,0,-57.40,-89.90,0.918,29.2,98.6,'Triggered','Normal','Triggered',8.83,949,1.78,9,2,4,'2025-02-18 13:32:08.000','Battery','C41964','V9539'
8,-67.3,4.1,-82.3,0,-55.80,-94.30,0.803,26.7,100.6,'Normal','Malfunction','Triggered',2.80,925,1.9,8,2,5,'2025-02-19 06:32:08.000','Battery','C10510','V1273'
9,-70.2,4.1,-69.7,2,-58.50,-87.10,0.985,26.2,90.1,'Normal','Malfunction','Normal',4.25,253,1.63,20,4,1,'2025-02-19 07:32:08.000','Battery','C69927','V7932'
10,-67.0,4.0,-74.9,10,-54.60,-87.80,0.887,29.8,99.6,'Triggered','Triggered','Normal',9.58,695,1.55,14,2,5,'2025-02-18 10:32:08.000','Battery','C30955','V5451'
11,-68.3,4.9,-71.7,2,-51.90,-94.50,0.891,29.6,91.3,'Malfunction','Normal','Triggered',0.95,1000,1.96,20,1,4,'2025-02-18 21:32:08.000','Security','C91310','V8589'
12,-61.9,2.1,-79.4,8,-43.70,-94.70,0.816,12.9,100.7,'Normal','Malfunction','Normal',8.62,862,1.71,19,4,1,'2025-02-19 06:32:08.000','GPS','C30691','V4321'
