'V7868','Refrigerated Truck',-61.5,0.0,9499.00,2553.00,'2025-02-22 01:32:08.000','Greenchester','Shawnburgh','East Dannymouth','Active',3.048702,92.258665,8016.9,30,'2025-02-19 08:31:08.000','Road','Garcia, Carpenter and Porter','ISO 9001','VS113526','C62575'
'V7577','Cargo Aircraft',-69.0,24.0,7366.00,40.00,'2025-02-21 15:32:08.000','Hughesshire','Kristenborough','Port James','Lost',25.186022,-64.998971,846.3,5,'2025-02-19 08:06:08.000','Rail','Harrison Group','CEIV Pharma','VS255467','C52903'
'V2591','Refrigerated Truck',-79.3,43.0,7443.00,2008.00,'2025-02-22 06:32:08.000','Port Wesley','Kennethberg','East John','Lost',31.680039,106.07549,7126.4,15,'2025-02-19 08:08:08.000','Air','Miller and Sons','GDP','VS971688','C13929'
'V1690','Reefer Container',-65.0,67.0,5269.00,977.00,'2025-02-20 02:32:08.000','Reidshire','South Christinaville','Lake Anthonyhaven','Lost',-72.985257,145.935141,6587.2,10,'2025-02-19 08:32:08.000','Road','Williams, Mendoza and Woods','CEIV Pharma','VS947527','C68974'
'V1956','Cargo Aircraft',-64.9,263.0,4881.00,1835.00,'2025-02-20 18:32:08.000','East Matthewton','East Adamside','South Andrewville','Limited',16.987511,82.354341,7395.4,5,'2025-02-19 08:20:08.000','Air','Patel-Miller','CEIV Pharma','VS813069','C43502'
'V7087','Cargo Aircraft',-73.0,51.0,2794.00,4410.00,'2025-02-19 19:32:08.000','Lake Angelaburgh','New Matthew','South Scott','Lost',-9.76683,137.535451,3597.5,15,'2025-02-19 08:24:08.000','Rail','Jones, Rodriguez and Sexton','GDP','VS229556','C91684'
'V9539','Reefer Container',-61.9,15.0,2350.00,3353.00,'2025-02-19 23:32:08.000','Davidtown','Jackport','Lake Christopherstad','Active',74.122116,-80.857928,8464.8,5,'2025-02-19 08:18:08.000','Rail','Melendez-Nelson','ISO 9001','VS587926','C41964'
'V1273','Reefer Container',-83.3,81.0,9143.00,2445.00,'2025-02-20 09:32:08.000','Crystalburgh','Port Michelle','Michealtown','Limited',19.349818,-112.137193,6219.6,30,'2025-02-19 08:23:08.000','Road','Parker-Jones','CEIV Pharma','VS337175','C10510'
'V7932','Cargo Aircraft',-82.8,9.0,8678.00,2019.00,'2025-02-20 13:32:08.000','Robertton','Mejiaberg','Danielleport','Active',12.876787,-46.786257,7935.5,15,'2025-02-19 08:31:08.000','Sea','Brown Ltd','ISO 9001','VS194886','C69927'
'V5451','Refrigerated Truck',-89.0,88.0,1219.00,2011.00,'2025-02-21 15:32:08.000','Vargasfurt','Johnsonport','Alvarezton','Lost',0.985095,-99.027708,6153.8,15,'2025-02-19 08:24:08.000','Sea','Davis Inc','CEIV Pharma','VS212183','C30955'
'V8589','Cargo Aircraft',-63.4,271.0,8075.00,1523.00,'2025-02-21 22:32:08.000','Roychester','North Jeromebury','Caseyshire','Limited',24.493539,63.159172,5405.0,5,'2025-02-19 08:25:08.000','Air','Gomez, Park and Williams','CEIV Pharma','VS981788','C91310'
