1,'Viral Vector','Sinovac','B14726','2024-12-14','2026-01-05',50097,4717,10,47170,'VS113526','C62575'
2,'Viral Vector','Sinovac','B71663','2024-11-21','2026-11-20',84282,5457,1,5457,'VS255467','C52903'
3,'mRNA','AstraZeneca','B46385','2024-09-20','2026-06-06',25462,6288,1,6288,'VS971688','C13929'
4,'Viral Vector','Moderna','B41679','2024-11-14','2025-08-31',23319,7207,10,72070,'VS947527','C68974'
5,'mRNA','BioNTech','B17315','2024-11-13','2026-05-22',50326,1656,5,8280,'VS813069','C43502'
6,'Inactivated','AstraZeneca','B23036','2024-11-25','2026-09-05',79513,5044,5,25220,'VS229556','C91684'
7,'Protein Subunit','AstraZeneca','B50823','2024-11-30','2026-04-29',4899,8239,5,41195,'VS587926','C41964'
8,'mRNA','BioNTech','B14635','2024-11-15','2026-06-15',83066,7665,5,38325,'VS337175','C10510'
9,'Protein Subunit','Moderna','B93753','2024-12-11','2025-12-26',37419,8756,5,43780,'VS194886','C69927'
10,'Protein Subunit','Moderna','B87468','2025-01-08','2026-10-28',35685,8042,1,8042,'VS212183','C30955'
11,'Viral Vector','BioNTech','B42170','2024-09-10','2026-06-07',12267,7212,5,36060,'VS981788','C91310'
12,'Protein Subunit','Sinovac','B12492','2024-11-29','2025-12-30',27477,3896,10,38960,'VS672805','C30691'
13,'Protein Subunit','Moderna','B69854','2024-11-11','2026-12-12',53363,7311,1,7311,'VS954193','C58070'
14,'Inactivated','Novavax','B17789','2024-10-01','2025-09-29',89970,5036,10,50360,'VS387292','C60207'
15,'mRNA','BioNTech','B67317','2024-09-26','2026-06-15',72883,8874,5,44370,'VS352879','C17716'
16,'mRNA','Moderna','B50088','2024-10-08','2025-12-17',71125,156,1,156,'VS135208','C14425'
17,'Viral Vector','Moderna','B72467','2024-10-22','2026-05-19',24808,7943,5,39715,'VS895343','C18437'
18,'Viral Vector','Moderna','B17509','2025-01-11','2026-08-21',54370,2574,5,12870,'VS923182','C37349'
19,'Viral Vector','Novavax','B59993','2024-09-04','2026-08-05',54715,2136,1,2136,'VS676546','C47621'
20,'Inactivated','AstraZeneca','B68352','2024-11-04','2026-12-10',69968,8466,5,42330,'VS415528','C73713'
21,'Protein Subunit','Sinovac','B19113','2024-12-13','2025-11-21',80406,611,5,3055,'VS883523','C98679'
22,'Inactivated','Novavax','B12827','2024-09-23','2025-09-01',80893,8848,5,44240,'VS348489','C72780'
23,'Viral Vector','AstraZeneca','B51694','2024-08-24','2026-12-12',40059,9563,5,47815,'VS332109','C92497'
24,'mRNA','BioNTech','B18101','2024-10-29','2026-02-10',21785,8536,1,8536,'VS524988','C29292'
25,'Protein Subunit','Novavax','B83945','2024-11-01','2026-07-02',21770,7844,1,7844,'VS155787','C31366'
26,'Inactivated','Novavax','B29441','2025-01-08','2026-10-30',48257,602,5,3010,'VS550386','C91336'
27,'mRNA','Novavax','B39808','2024-09-26','2026-07-11',84518,9749,10,97490,'VS585762','C22668'
