'AS796980                            ','Artificial','Unknown',96,10452.580,0.161,4.08,0.849,71.30
'AS745021                            ','Unknown','Unknown',1,11646.130,0.189,4.44,0.922,86.40
'AS499555                            ','Artificial','Random',32,8643.140,0.915,2.71,0.688,9.40
'AS892698                            ','Artificial','Random',74,30084.940,0.061,1.38,0.125,47.60
'AS695323                            ','Artificial','Random',39,67327.410,0.469,1.16,0.732,29.60
'AS679527                            ','Artificial','Unknown',30,68734.220,0.295,6.99,0.155,8.80
'AS481338                            ','Candidate','Random',46,1793.000,0.468,3.78,0.891,93.00
'AS549221                            ','Unknown','Unknown',96,5920.940,0.392,0.19,0.376,27.40
'AS363894                            ','Artificial','Random',77,48215.580,0.556,2.40,0.325,9.00
'AS881853                            ','Natural','Unknown',67,2191.500,0.448,5.42,0.965,9.10
'AS161739                            ','Unknown','Random',38,18779.900,0.713,4.87,0.376,88.20
'AS866218                            ','Artificial','Random',22,43565.340,0.681,1.08,0.876,25.80
'AS846535                            ','Unknown','Random',84,78360.370,0.006,6.62,0.133,75.30
'AS607386                            ','Unknown','Periodic',44,45919.500,0.351,4.99,0.272,56.60
'AS570936                            ','Unknown','Periodic',53,19788.980,0.379,4.81,0.031,93.10
'AS854534                            ','Natural','Structured',99,26320.660,0.633,4.42,0.670,49.00
'AS787459                            ','Candidate','Periodic',85,63713.640,0.546,0.19,0.943,14.50
'AS344041                            ','Artificial','Structured',8,25012.350,0.742,1.49,0.060,8.90
'AS666495                            ','Unknown','Periodic',40,56974.420,0.493,6.97,0.713,67.00
'AS343760                            ','Artificial','Structured',13,79810.580,0.255,7.94,0.958,98.50
'AS214018                            ','Candidate','Structured',58,38799.130,0.483,5.08,0.913,29.70
'AS700783                            ','Candidate','Periodic',52,81443.800,0.550,0.53,0.596,30.10
'AS406588                            ','Unknown','Random',15,15511.340,0.258,6.32,0.326,3.40
'AS510014                            ','Natural','Structured',78,651.210,0.767,6.46,0.079,54.20
'AS697204                            ','Artificial','Random',85,16088.390,0.954,3.93,0.482,60.70
'AS201832                            ','Candidate','Random',36,56182.600,0.057,6.90,0.221,9.00
'AS312954                            ','Unknown','Structured',22,59495.730,0.338,5.76,0.332,98.40
'AS575517                            ','Natural','Random',5,49203.730,0.833,6.38,0.420,96.90
'AS321986                            ','Candidate','Structured',69,5308.600,0.201,5.38,0.782,50.30
'AS242750                            ','Natural','Random',21,22342.390,0.720,0.80,0.220,21.60
'AS374566                            ','Artificial','Periodic',15,68822.940,0.145,0.92,0.383,10.90
'AS891348                            ','Unknown','Random',13,54972.580,0.526,5.65,0.302,51.90
'AS181428                            ','Candidate','Random',64,20696.990,0.355,0.59,0.696,79.70
'AS781163                            ','Natural','Unknown',36,28144.900,0.958,0.84,0.066,83.20
'AS980420                            ','Candidate','Periodic',0,26876.920,0.035,3.72,0.007,15.50
'AS563918                            ','Unknown','Random',45,17339.330,0.466,5.55,0.328,86.70
'AS952058                            ','Artificial','Structured',59,42573.420,0.560,2.36,0.919,84.40
'AS361503                            ','Natural','Periodic',14,76429.410,0.031,7.22,0.776,32.10
'AS268297                            ','Artificial','Structured',56,56436.000,0.998,5.85,0.966,57.80
'AS593950                            ','Artificial','Periodic',93,85468.780,0.628,3.55,0.629,41.50
'AS652583                            ','Natural','Unknown',78,12140.210,0.973,0.19,0.439,16.80
'AS425343                            ','Candidate','Random',35,36833.680,0.020,2.37,0.527,25.00
'AS953567                            ','Artificial','Random',50,14995.430,0.677,6.19,0.386,77.90
'AS156596                            ','Natural','Unknown',18,49099.230,0.422,4.72,0.364,90.10
'AS971593                            ','Candidate','Structured',77,18605.650,0.204,4.40,0.393,29.60
'AS428530                            ','Natural','Periodic',29,66025.720,0.772,3.29,0.803,72.00
'AS448862                            ','Unknown','Structured',0,76884.100,0.658,3.02,0.615,75.90
'AS666626                            ','Candidate','Structured',29,32772.930,0.450,1.88,0.182,86.40
'AS347318                            ','Natural','Unknown',89,12801.630,0.127,6.59,0.472,87.70
'AS720545                            ','Unknown','Random',3,82451.200,0.723,4.71,0.590,30.80
'AS566113                            ','Artificial','Unknown',95,70058.090,0.583,4.84,0.282,89.40
'AS512920                            ','Natural','Unknown',66,11188.920,0.702,0.86,0.395,52.80
'AS706635                            ','Unknown','Structured',58,80705.250,0.944,0.29,0.790,2.80
'AS627262                            ','Unknown','Structured',29,7375.080,0.274,7.66,0.943,14.60
'AS620985                            ','Candidate','Periodic',9,4070.460,0.538,2.02,0.595,91.70
'AS538726                            ','Natural','Structured',94,20706.600,0.531,1.90,0.760,35.80
'AS644527                            ','Artificial','Periodic',35,39216.280,0.309,5.85,0.237,97.80
'AS485640                            ','Artificial','Unknown',75,82482.140,0.411,3.84,0.549,62.90
'AS394221                            ','Artificial','Unknown',9,24052.520,0.082,1.78,0.015,29.80
'AS818297                            ','Candidate','Random',23,51683.770,0.719,6.52,0.703,26.80
