'AS796980                            ','2021-04-15 22:21:19.864197-07','T4621               ','Quantum Detector','Narrowband',-186.96,95636.294,401.340,4363.089,0.072,143.65,2660.70,4.286,480.950,'FM',0.3840,65710.427,268.84,'Unknown',127.4,26.19,-140.27,'High','Unknown','Severe'
'AS745021                            ','2022-06-15 01:04:26.868816-07','T3182               ','Optical Telescope','Broadband',-154.72,43019.373,316.030,82505.882,2.204,777.42,3513.05,9.047,695.240,'Unknown',0.5320,81576.576,343.61,'Linear',16.4,18.01,-105.55,'High','Contaminated','Moderate'
'AS499555                            ','2019-01-17 15:53:35.868816-08','T6585               ','Radio Telescope','Modulated',-111.19,28682.209,563.640,6161.348,5.668,-665.39,1627.84,1.072,6.780,'Unknown',0.8930,52348.200,339.52,'Elliptical',119.6,20.82,-128.04,'High','Unknown','Moderate'
'AS892698                            ','2015-09-17 22:16:19.868816-07','T2455               ','Infrared Array','Broadband',-54.12,68803.378,888.790,88815.213,7.665,-687.63,718.86,9.492,266.640,'PM',0.0220,60396.450,56.88,'Elliptical',109.1,-8.44,-117.09,'High','Unknown','Minimal'
'AS695323                            ','2024-08-11 13:56:10.868816-07','T8611               ','Quantum Detector','Continuous',-99.21,58949.366,654.610,27780.474,-4.207,633.92,122.23,9.641,925.000,'QAM',0.4880,49697.281,224.24,'Unknown',73.3,21.02,-110.3,'High','Contaminated','Minimal'
'AS679527                            ','2021-04-10 14:01:59.868816-07','T9578               ','Radio Telescope','Continuous',-89.45,72694.971,373.790,69221.942,-1.087,3.9,1897.13,9.070,826.490,'QAM',0.1000,67565.044,103.88,'Linear',59.9,-9.68,-91.57,'Medium','Contaminated','Minimal'
'AS481338                            ','2024-10-26 17:03:35.868816-07','T3991               ','Optical Telescope','Broadband',-155.00,17796.908,17.980,59036.531,9.245,658.38,3488.70,8.440,37.160,'FM',0.4800,58286.585,151.54,'Circular',150.4,27.87,-136.61,'High','Clean','Minimal'
'AS549221                            ','2019-01-29 14:01:56.868816-08','T8585               ','Radio Telescope','Modulated',-87.73,95004.724,761.500,35838.680,9.382,-312.31,2109.43,6.372,464.350,'PM',0.3020,1938.342,253.59,'Elliptical',75.1,-14.34,-144.15,'High','Clean','Moderate'
'AS363894                            ','2015-12-19 11:20:41.868816-08','T6831               ','Infrared Array','Modulated',-50.56,20798.418,581.760,69355.993,3.509,-503.09,3307.42,1.566,633.870,'FM',0.9530,62023.409,4.29,'Linear',131.5,20.51,-137.82,'Medium','Unknown','Severe'
'AS881853                            ','2020-11-03 12:08:44.868816-08','T8027               ','Optical Telescope','Continuous',-54.61,23223.426,205.760,26762.644,9.020,-356.68,757.16,7.440,680.310,'Unknown',0.2030,67710.854,330.07,'Elliptical',75.5,22.57,-113.02,'High','Contaminated','Severe'
