'AS796980                            ','00:00:00','2018-11-27',22.04
'AS745021                            ','00:00:00','2024-09-02',2.35
'AS499555                            ','00:00:00','2023-03-15',6.88
'AS892698                            ','00:00:00','2022-04-26',0.91
'AS695323                            ','00:00:00','2023-11-17',0.88
'AS679527                            ','00:00:00','2015-09-08',12.79
'AS481338                            ','00:00:00','2017-11-04',6.98
'AS549221                            ','00:00:00','2016-02-26',7.08
'AS363894                            ','00:00:00','2017-07-31',13.86
'AS881853                            ','00:00:00','2017-03-08',16.21
'AS161739                            ','00:00:00','2018-02-02',18.34
'AS866218                            ','00:00:00','2024-01-31',5.09
'AS846535                            ','00:00:00','2022-08-16',18.64
'AS607386                            ','00:00:00','2018-03-21',0.17
'AS570936                            ','00:00:00','2017-04-23',9.61
'AS854534                            ','00:00:00','2017-05-26',18.83
'AS787459                            ','00:00:00','2024-04-22',3.10
'AS344041                            ','00:00:00','2015-06-17',18.88
'AS666495                            ','00:00:00','2021-10-01',15.44
'AS343760                            ','00:00:00','2015-06-13',1.96
'AS214018                            ','00:00:00','2022-03-28',11.05
'AS700783                            ','00:00:00','2024-09-24',17.03
'AS406588                            ','00:00:00','2020-11-27',6.30
'AS510014                            ','00:00:00','2018-09-04',7.56
'AS697204                            ','00:00:00','2017-03-05',21.74
'AS201832                            ','00:00:00','2024-07-14',15.03
'AS312954                            ','00:00:00','2015-07-26',9.80
'AS575517                            ','00:00:00','2024-03-11',22.78
'AS321986                            ','00:00:00','2024-12-28',3.64
'AS242750                            ','00:00:00','2023-10-07',19.48
'AS374566                            ','00:00:00','2023-08-21',2.31
'AS891348                            ','00:00:00','2022-10-16',12.24
'AS181428                            ','00:00:00','2020-09-25',4.38
'AS781163                            ','00:00:00','2017-05-09',14.55
'AS980420                            ','00:00:00','2022-07-26',17.50
'AS563918                            ','00:00:00','2015-03-03',14.75
'AS952058                            ','00:00:00','2016-08-19',8.55
'AS361503                            ','00:00:00','2018-12-15',10.59
'AS268297                            ','00:00:00','2020-10-04',12.03
'AS593950                            ','00:00:00','2017-09-14',19.47
'AS652583                            ','00:00:00','2016-04-03',11.18
'AS425343                            ','00:00:00','2015-10-31',6.57
'AS953567                            ','00:00:00','2017-07-27',20.02
'AS156596                            ','00:00:00','2021-11-10',10.11
'AS971593                            ','00:00:00','2016-09-20',9.86
'AS428530                            ','00:00:00','2022-12-16',15.45
'AS448862                            ','00:00:00','2024-10-18',20.74
'AS666626                            ','00:00:00','2020-09-21',1.91
'AS347318                            ','00:00:00','2021-05-05',19.36
'AS720545                            ','00:00:00','2016-12-31',7.22
'AS566113                            ','00:00:00','2018-11-12',13.67
'AS512920                            ','00:00:00','2022-07-30',10.76
'AS706635                            ','00:00:00','2015-04-07',21.90
'AS627262                            ','00:00:00','2024-09-06',5.05
'AS620985                            ','00:00:00','2021-06-09',14.60
'AS538726                            ','00:00:00','2021-11-01',9.31
'AS644527                            ','00:00:00','2017-03-07',7.98
'AS485640                            ','00:00:00','2017-10-02',12.18
'AS394221                            ','00:00:00','2016-05-16',23.83
'AS818297                            ','00:00:00','2019-07-29',17.87
'AS497261                            ','00:00:00','2021-03-15',9.26
'AS707579                            ','00:00:00','2018-06-19',15.50
'AS914768                            ','00:00:00','2016-12-26',5.20
'AS463299                            ','00:00:00','2019-01-22',19.17
'AS541265                            ','00:00:00','2021-04-15',15.63
'AS702460                            ','00:00:00','2018-03-01',15.93
'AS105071                            ','00:00:00','2024-08-17',4.89
'AS965020                            ','00:00:00','2020-07-05',5.70
'AS252225                            ','00:00:00','2023-04-24',14.46
'AS477916                            ','00:00:00','2019-05-16',14.79
'AS737248                            ','00:00:00','2021-08-22',16.82
'AS263354                            ','00:00:00','2020-01-20',10.96
'AS156261                            ','00:00:00','2018-06-07',13.88
'AS598803                            ','00:00:00','2024-10-03',20.42
'AS737653                            ','00:00:00','2019-12-13',13.85
'AS325673                            ','00:00:00','2016-02-23',3.93
