'AS796980                            ','Unknown',5.030,'Medium',98.60,'Wavelet','Completed',103,193.80,'High','Comprehensive','Partially','Pending'
'AS745021                            ','Unknown',1.280,'Medium',76.30,'FFT','In Progress',684,276.22,'Low','Detailed','Partially','Confirmed'
'AS499555                            ','Unknown',9.200,'Low',25.60,'FFT','Completed',486,796.01,'High','Comprehensive','Unverified','Pending'
'AS892698                            ','Complex',3.060,NULL,94.70,'Neural Network','Failed',664,350.44,'Medium','Preliminary','Verified','Rejected'
'AS695323                            ','Binary',1.020,'High',27.90,'FFT','Completed',958,927.68,'Medium','Detailed','Unverified','Rejected'
'AS679527                            ','Tertiary',9.670,NULL,85.50,'Quantum','Completed',367,768.75,'High','Preliminary','Verified','Confirmed'
'AS481338                            ','Unknown',8.770,'High',75.20,'Quantum','Completed',978,59.02,'Low','Detailed','Verified','Rejected'
'AS549221                            ','Binary',8.360,'Medium',79.00,'Wavelet','Completed',304,716.21,'Low','Preliminary','Partially','Rejected'
'AS363894                            ','Binary',8.670,NULL,47.30,'FFT','In Progress',298,599.77,'Low','Detailed','Unverified','Rejected'
'AS881853                            ','Binary',2.070,NULL,33.10,'Quantum','In Progress',984,812.16,'Low','Preliminary','Verified','Confirmed'
'AS161739                            ','Tertiary',4.380,NULL,30.10,'Neural Network','Failed',910,769.37,'Medium','Detailed','Partially','Confirmed'
'AS866218                            ','Binary',7.320,'Low',67.30,'Neural Network','Completed',257,677.71,'Extreme','Comprehensive','Unverified','Rejected'
'AS846535                            ','Complex',5.160,'Low',19.60,'Quantum','In Progress',729,768.79,'Extreme','Comprehensive','Unverified','Confirmed'
'AS607386                            ','Binary',8.160,'Medium',78.90,'Neural Network','Completed',2,406.10,'Medium','Preliminary','Partially','Rejected'
'AS570936                            ','Complex',6.250,'Low',93.40,'Neural Network','Completed',154,672.66,'Extreme','Preliminary','Unverified','Pending'
'AS854534                            ','Tertiary',2.520,'High',48.60,'Quantum','Completed',23,836.49,'Extreme','Detailed','Verified','Confirmed'
'AS787459                            ','Tertiary',2.940,'Medium',68.90,'FFT','Failed',961,984.06,'Low','Comprehensive','Unverified','Confirmed'
'AS344041                            ','Tertiary',4.940,NULL,29.10,'FFT','Completed',940,832.01,'Medium','Detailed','Partially','Pending'
'AS666495                            ','Tertiary',7.200,'High',65.00,'Quantum','In Progress',630,675.62,'High','Detailed','Verified','Confirmed'
'AS343760                            ','Complex',7.320,'Medium',57.20,'Quantum','In Progress',303,328.82,'Medium','Detailed','Partially','Pending'
'AS214018                            ','Binary',7.220,'High',0.50,'FFT','Failed',183,956.67,'High','Detailed','Partially','Rejected'
'AS700783                            ','Complex',2.580,'Medium',5.60,'Wavelet','In Progress',183,10.22,'Low','Preliminary','Verified','Pending'
'AS406588                            ','Tertiary',5.510,'High',40.90,'Quantum','In Progress',668,11.56,'Extreme','Detailed','Verified','Rejected'
'AS510014                            ','Tertiary',4.330,'Low',78.30,'Wavelet','In Progress',781,588.35,'Medium','Detailed','Verified','Rejected'
'AS697204                            ','Tertiary',8.750,'Low',59.50,'FFT','Failed',284,797.05,'Low','Detailed','Verified','Rejected'
'AS201832                            ','Complex',1.490,'Low',68.30,'Quantum','Completed',834,992.58,'Extreme','Preliminary','Partially','Rejected'
'AS312954                            ','Unknown',4.000,NULL,78.20,'Neural Network','Completed',700,296.53,'Medium','Detailed','Verified','Confirmed'
'AS575517                            ','Tertiary',1.210,'High',3.80,'Wavelet','In Progress',710,877.14,'Medium','Preliminary','Unverified','Confirmed'
'AS321986                            ','Tertiary',1.490,'Medium',34.90,'Wavelet','Completed',721,897.83,'Medium','Detailed','Verified','Rejected'
