'AS796980                            ','Severe','Weak','Significant','Strong','Complex','Identified','High','Major'
'AS745021                            ','Minimal',NULL,'Significant','Strong','Simple',NULL,NULL,'Major'
'AS499555                            ','Minimal','Weak',NULL,'Strong','Simple','Possible',NULL,'Major'
'AS892698                            ','Severe','Strong','Observed',NULL,'Complex','Possible','Low','Major'
'AS695323                            ','Severe',NULL,NULL,'Possible',NULL,'Possible',NULL,'Minor'
'AS679527                            ','Moderate',NULL,'Significant',NULL,NULL,'Identified',NULL,'Moderate'
'AS481338                            ','Minimal','Strong','Observed','Possible','Simple',NULL,NULL,'Moderate'
'AS549221                            ','Severe','Strong','Observed',NULL,'Complex','Possible','High','Major'
'AS363894                            ','Minimal',NULL,'Significant',NULL,NULL,'Identified',NULL,'Moderate'
'AS881853                            ','Minimal','Weak',NULL,'Possible',NULL,'Possible','High','Major'
'AS161739                            ','Moderate',NULL,'Significant','Strong','Complex','Identified','Low','Major'
'AS866218                            ','Minimal','Strong','Observed','Possible','Complex',NULL,'High','Major'
'AS846535                            ','Minimal',NULL,NULL,'Possible','Complex','Possible','Low','Minor'
'AS607386                            ','Moderate',NULL,'Observed','Strong','Complex',NULL,'Low','Major'
'AS570936                            ','Severe','Weak','Observed','Possible','Simple','Possible','High','Minor'
'AS854534                            ','Minimal','Weak','Observed','Possible','Complex','Identified','Low','Minor'
'AS787459                            ','Severe',NULL,'Observed',NULL,'Simple',NULL,'High','Major'
'AS344041                            ','Minimal','Strong',NULL,'Strong','Complex','Identified','High','Major'
'AS666495                            ','Moderate','Weak','Significant','Strong','Complex','Possible',NULL,'Major'
'AS343760                            ','Severe','Weak',NULL,NULL,NULL,'Possible','Low','Minor'
'AS214018                            ','Severe',NULL,'Significant','Possible','Simple','Possible',NULL,'Major'
'AS700783                            ','Moderate',NULL,NULL,'Possible',NULL,NULL,'High','Minor'
'AS406588                            ','Severe','Weak','Significant','Possible',NULL,NULL,'Low','Moderate'
'AS510014                            ','Minimal','Strong','Observed','Strong',NULL,NULL,'High','Major'
