'AS796980                            ',154.5145,82.6753,546186.88,55.41,17.71,'Star','Main Sequence',9.22,3286,68.740,2.159,-1.310,3.31,-768.04
'AS745021                            ',217.7981,-40.7914,847077.15,75.22,58.58,'Star','Unknown',18.29,16409,14.613,1.428,-0.391,2.59,-462.82
'AS499555                            ',4.4794,85.0668,63130.71,79.10,53.38,'Galaxy','Dwarf',-2.02,20113,21.034,10.667,-1.150,1.65,-507.02
'AS892698                            ',11.5046,62.3544,393742.13,121.78,-55.14,'Planet','Main Sequence',13.72,5553,82.608,8.931,0.984,3.60,61.79
'AS695323                            ',303.0199,24.6079,166145.41,2.21,69.71,'Galaxy','Dwarf',-26.00,8746,14.268,2.996,-1.612,1.75,117.46
'AS679527                            ',225.5424,17.2385,914984.90,117.56,-42.88,'Planet','Main Sequence',29.27,17066,72.184,3.724,-1.081,3.38,-888.85
'AS481338                            ',118.6903,31.5684,576201.45,89.66,84.44,'Unknown','Unknown',-15.76,42591,65.549,1.114,-2.595,2.59,-937.80
'AS549221                            ',299.5003,-31.8695,297084.36,295.81,-45.95,'Unknown','Unknown',19.62,9267,39.789,8.329,-2.229,5.79,449.65
'AS363894                            ',201.7471,-16.4501,952300.95,272.48,60.48,'Unknown','Unknown',24.91,41793,96.855,8.273,0.619,8.19,-319.62
'AS881853                            ',227.4942,73.4344,660041.44,355.30,-66.32,'Galaxy','Dwarf',20.36,7118,48.294,12.569,0.815,3.97,746.47
'AS161739                            ',333.5533,-38.2373,881060.96,52.00,18.09,'Unknown','Dwarf',-7.59,11468,80.841,7.222,-0.237,6.60,-86.36
'AS866218                            ',318.4919,-56.4158,358272.27,56.71,-57.78,'Unknown','Main Sequence',-4.84,1502,38.984,13.688,-2.392,3.13,-334.01
'AS846535                            ',332.4224,-32.3651,342539.79,83.87,-80.67,'Star','Giant',5.33,19981,5.750,8.171,-0.106,7.34,195.48
'AS607386                            ',114.2166,-3.2878,377133.43,94.42,-85.16,'Planet','Unknown',-3.34,34094,39.510,2.880,-2.896,3.21,69.92
'AS570936                            ',212.6381,14.1196,416877.50,228.30,72.53,'Galaxy','Unknown',-12.41,41111,22.902,4.841,-1.836,4.30,397.60
'AS854534                            ',267.2387,-44.4471,4685.32,324.87,68.76,'Star','Giant',24.37,41548,58.312,8.365,0.670,3.29,-997.00
'AS787459                            ',165.4595,3.2993,330972.96,36.14,-0.21,'Planet','Dwarf',4.10,45843,64.757,11.284,0.056,1.96,851.11
'AS344041                            ',5.8816,-5.6718,267813.56,278.05,-23.90,'Unknown','Unknown',-25.16,20589,9.159,7.986,0.889,0.72,72.94
'AS666495                            ',123.7179,68.2860,112643.21,160.10,-46.44,'Unknown','Main Sequence',14.60,49199,45.467,8.670,0.237,3.11,-681.67
'AS343760                            ',225.5240,79.6224,694561.37,122.94,22.69,'Planet','Dwarf',-13.77,16750,86.446,3.210,0.826,3.40,-11.36
'AS214018                            ',2.1865,20.7552,115974.88,64.07,86.10,'Galaxy','Giant',-18.64,19415,19.370,10.363,-2.337,1.83,-794.03
'AS700783                            ',358.4498,46.6961,385363.93,323.11,83.31,'Unknown','Dwarf',25.59,35150,6.343,3.333,-0.491,4.00,200.24
'AS406588                            ',26.3786,78.1515,641262.62,191.54,-36.14,'Galaxy','Dwarf',-10.91,7647,73.802,13.039,-2.035,2.11,-368.52
'AS510014                            ',33.0080,-76.1701,37127.43,141.23,51.14,'Planet','Unknown',-25.26,5555,74.356,10.086,-1.501,1.92,-641.24
'AS697204                            ',311.4917,57.7827,123168.95,195.68,52.16,'Galaxy','Giant',6.83,41488,52.371,7.181,0.680,3.50,546.09
'AS201832                            ',42.3399,-89.7037,236340.64,209.99,25.52,'Unknown','Main Sequence',13.16,36893,53.671,6.440,-1.757,8.04,24.17
'AS312954                            ',286.4182,15.9095,324083.01,55.94,1.52,'Galaxy','Dwarf',-8.97,42971,47.421,9.934,-1.721,2.42,940.83
'AS575517                            ',30.9573,-52.9910,678551.57,265.66,31.78,'Unknown','Dwarf',-25.26,7441,44.737,10.539,-0.074,9.10,150.38
'AS321986                            ',77.8821,-10.0530,981947.58,99.15,-67.04,'Unknown','Unknown',-11.53,27029,99.389,0.985,0.451,3.90,817.25
'AS242750                            ',3.2103,-33.0119,539941.20,242.17,27.68,'Star','Dwarf',5.08,22102,66.659,6.333,-1.837,5.67,-348.45
'AS374566                            ',139.6375,-64.6507,655118.36,314.43,-21.55,'Unknown','Giant',0.06,16019,73.321,4.446,0.240,0.72,747.38
'AS891348                            ',81.8723,38.5213,328852.04,119.46,-1.58,'Galaxy','Unknown',-22.06,2778,24.290,8.296,0.802,5.89,-175.27
'AS181428                            ',25.0099,30.3378,728035.49,156.60,-64.03,'Unknown','Giant',26.85,23111,39.576,7.313,0.855,6.88,-320.36
'AS781163                            ',124.3241,63.8160,84867.56,216.46,23.68,'Unknown','Giant',18.90,33863,43.718,9.012,0.464,1.17,597.37
'AS980420                            ',312.5528,-69.1703,785707.69,197.55,69.62,'Galaxy','Dwarf',-17.26,18330,72.646,11.486,0.456,0.68,955.78
'AS563918                            ',27.8032,13.8810,504657.03,104.03,-21.51,'Galaxy','Dwarf',-23.59,19511,9.433,12.722,-1.398,8.96,416.20
'AS952058                            ',304.1140,-30.6978,498684.33,28.72,-85.29,'Planet','Main Sequence',28.10,29455,76.768,9.413,-0.183,3.75,593.87
'AS361503                            ',354.7167,70.2169,56315.91,253.46,-76.57,'Galaxy','Unknown',-20.16,32648,66.751,4.036,0.669,4.89,-335.22
'AS268297                            ',270.0325,-0.6567,109665.30,153.47,-42.27,'Star','Giant',27.67,45361,35.814,4.063,-1.559,5.51,-938.24
'AS593950                            ',349.6659,-41.4535,660702.61,104.37,-82.48,'Unknown','Dwarf',15.73,36851,71.032,3.794,0.169,8.83,395.76
'AS652583                            ',334.4666,28.4069,932269.80,14.42,37.43,'Galaxy','Unknown',28.44,45229,67.333,2.396,-0.854,3.50,-728.34
'AS425343                            ',98.2263,-8.5487,403153.31,286.67,-36.55,'Unknown','Unknown',-5.32,20626,65.108,10.700,-1.172,1.19,429.93
'AS953567                            ',123.4704,-5.0200,444123.57,321.66,-73.26,'Unknown','Main Sequence',25.31,17983,52.244,9.313,0.147,3.80,-739.78
'AS156596                            ',78.1392,38.0596,959549.99,290.88,-72.01,'Galaxy','Unknown',10.69,28092,39.448,13.359,-0.535,4.75,718.12
'AS971593                            ',191.1779,-63.8612,410637.24,167.94,9.80,'Galaxy','Dwarf',-1.88,45874,56.744,5.743,0.703,5.90,126.24
'AS428530                            ',12.4685,17.7674,106292.31,260.64,-30.57,'Planet','Main Sequence',24.46,24096,17.172,8.607,-0.526,2.81,-576.62
'AS448862                            ',341.8149,-16.0154,330817.83,7.78,-0.28,'Galaxy','Unknown',-13.79,17001,2.395,5.856,0.305,9.82,-1.72
'AS666626                            ',277.5101,74.7074,135142.33,162.16,24.10,'Planet','Dwarf',7.58,48041,76.854,2.102,-0.550,1.19,-40.35
'AS347318                            ',25.7749,76.2442,970535.73,216.01,-56.72,'Planet','Giant',3.09,19571,5.474,5.827,-2.524,9.77,468.93
'AS720545                            ',227.8756,-32.6634,582614.77,111.24,58.04,'Galaxy','Giant',-1.47,35486,34.477,4.243,-2.084,3.06,258.72
'AS566113                            ',16.2045,10.0587,231815.03,279.08,-50.71,'Galaxy','Dwarf',18.89,17729,99.798,3.742,0.747,6.27,736.35
'AS512920                            ',340.2413,62.0320,491287.25,265.80,23.97,'Planet','Giant',-19.64,6840,24.605,0.894,-1.160,8.22,105.31
'AS706635                            ',191.7758,27.0082,442622.69,290.89,54.43,'Galaxy','Unknown',0.80,45237,65.269,12.051,-1.307,6.15,638.49
'AS627262                            ',69.4381,-62.0949,525327.64,314.03,-86.92,'Star','Unknown',3.58,44684,75.383,6.941,0.641,0.62,-568.26
'AS620985                            ',49.8839,51.2840,53215.90,157.97,-17.66,'Planet','Main Sequence',-25.40,27124,61.809,3.598,-2.996,8.56,769.15
'AS538726                            ',77.8477,89.2409,430820.05,154.81,-7.42,'Galaxy','Dwarf',20.67,9965,81.469,1.264,-1.526,6.24,620.21
'AS644527                            ',121.0326,19.1748,326709.65,337.05,30.50,'Galaxy','Giant',-14.73,37596,9.545,0.780,-1.365,2.05,468.89
'AS485640                            ',4.1129,6.0276,814622.67,301.33,14.06,'Galaxy','Main Sequence',-11.78,2017,82.915,7.159,0.309,1.94,-158.54
'AS394221                            ',114.6693,72.1784,626956.66,87.29,62.63,'Planet','Unknown',1.25,26736,46.774,1.172,0.234,3.23,-70.73
'AS818297                            ',242.7179,77.5794,607985.26,186.06,-14.09,'Galaxy','Giant',26.89,32026,64.967,5.742,-2.785,7.23,5.54
'AS497261                            ',245.2631,6.7231,717506.11,237.40,-38.25,'Galaxy','Giant',-26.06,41830,89.986,9.675,-0.559,8.96,802.98
'AS707579                            ',323.9696,-0.0312,43111.98,178.80,-87.06,'Unknown','Main Sequence',27.17,45138,27.833,4.491,0.320,10.00,-447.85
'AS914768                            ',33.1955,-2.4091,202247.71,342.53,-38.73,'Galaxy','Main Sequence',-2.77,20567,61.750,10.912,0.036,2.27,386.85
'AS463299                            ',122.7714,17.5461,182475.24,114.57,83.03,'Star','Giant',-17.02,13783,35.573,2.116,-1.943,8.57,450.29
'AS541265                            ',93.5647,50.6607,826248.23,104.87,77.26,'Unknown','Unknown',23.60,45296,12.032,7.912,-2.206,3.65,139.46
'AS702460                            ',138.6589,-32.0410,271692.06,302.98,35.91,'Galaxy','Giant',29.88,42067,62.660,5.295,0.467,1.37,-629.31
'AS105071                            ',134.8612,-19.3232,896164.88,135.94,-40.27,'Planet','Giant',-21.35,7493,37.768,9.567,0.469,1.31,-336.96
'AS965020                            ',344.4573,70.5329,19879.05,152.06,53.44,'Star','Dwarf',-22.78,23296,89.816,0.330,-1.382,7.34,390.07
'AS252225                            ',232.9365,12.4566,191319.07,299.94,-47.85,'Unknown','Dwarf',29.09,33020,49.113,1.361,-0.080,7.68,-918.97
'AS477916                            ',123.4487,72.3405,144522.69,203.17,58.99,'Unknown','Unknown',22.23,43521,55.118,8.678,-2.286,1.00,431.26
'AS737248                            ',35.2639,-72.4030,449823.48,259.11,17.12,'Planet','Unknown',11.63,22997,82.756,12.737,-2.779,7.31,895.39
'AS263354                            ',155.1929,32.6317,693095.68,205.67,-61.73,'Unknown','Unknown',-12.94,32464,29.616,6.488,0.805,8.42,-154.30
'AS156261                            ',153.3681,89.8432,472304.66,250.01,-54.66,'Unknown','Giant',-23.47,28030,12.202,6.158,-1.876,9.45,-807.31
