'AS796980                            ','Low','Completed','Completed','Submitted                ','Medium','Unfunded                      ','International                      ','Classified                         ',NULL,NULL
'AS745021                            ','Medium','Completed','In Progress','Published                ','Low','Pending                       ','Team                               ','Public                             ','Full',NULL
'AS499555                            ','Urgent','Scheduled','Completed','Published                ','High','Pending                       ','Solo                               ','Classified                         ',NULL,'While why recognize what probably sport.'
'AS892698                            ','Low','Completed','Pending','Submitted                ','Low','Funded                        ','Team                               ','Restricted                         ',NULL,NULL
'AS695323                            ','High','Completed','In Progress','Draft                    ','Medium','Pending                       ','Team                               ','Classified                         ','Full',NULL
'AS679527                            ','Medium','Completed','Completed','Submitted                ','High','Pending                       ','International                      ','Restricted                         ','Full',NULL
'AS481338                            ','Low','Required','Completed','Submitted                ','Low','Unfunded                      ','Team                               ','Restricted                         ','Full','Choose person those especially trade.'
'AS549221                            ','Low','Scheduled','Pending','Submitted                ','High','Unfunded                      ','International                      ','Classified                         ','Partial','Just picture my rise.'
'AS363894                            ','Low','Scheduled','In Progress','Published                ','Medium','Funded                        ','International                      ','Classified                         ','Full','Including begin behavior oil.'
'AS881853                            ','Medium','Completed','Pending','Published                ','Medium','Pending                       ','International                      ','Restricted                         ','Full',NULL
'AS161739                            ','Medium','Required','Completed','Draft                    ','High','Funded                        ','Solo                               ','Public                             ','Partial','Watch and including career now wrong.'
'AS866218                            ','Low','Required','Pending','Submitted                ','Low','Unfunded                      ','Team                               ','Public                             ',NULL,'President be bad former research security.'
'AS846535                            ','Urgent','Required','Completed','Published                ','Low','Pending                       ','Solo                               ','Public                             ',NULL,NULL
'AS607386                            ','Urgent','Scheduled','Completed','Draft                    ','Low','Pending                       ','Team                               ','Restricted                         ',NULL,NULL
'AS570936                            ','Urgent','Completed','Pending','Published                ','Low','Pending                       ','International                      ','Restricted                         ',NULL,NULL
'AS854534                            ','Urgent','Completed','Completed','Published                ','Low','Unfunded                      ','Team                               ','Classified                         ','Partial','Any example moment owner.'
'AS787459                            ','Low','Completed','Pending','Draft                    ','Medium','Pending                       ','Team                               ','Restricted                         ','Partial','Floor respond exactly PM do just.'
'AS344041                            ','Low','Required','Completed','Published                ','Medium','Unfunded                      ','Solo                               ','Public                             ','Full','Create newspaper institution Mrs listen game.'
'AS666495                            ','Urgent','Scheduled','Completed','Submitted                ','High','Funded                        ','Solo                               ','Classified                         ','Full',NULL
'AS343760                            ','Medium','Scheduled','Completed','Submitted                ','High','Pending                       ','International                      ','Restricted                         ',NULL,'List discussion free maybe with kitchen billion.'
'AS214018                            ','Medium','Completed','In Progress','Published                ','Medium','Unfunded                      ','Solo                               ','Classified                         ','Full',NULL
'AS700783                            ','Urgent','Required','Completed','Published                ','Medium','Funded                        ','Team                               ','Classified                         ','Full',NULL
'AS406588                            ','Medium','Completed','Completed','Published                ','High','Funded                        ','International                      ','Public                             ','Full','Will decide open final school reality.'
'AS510014                            ','Medium','Completed','Completed','Published                ','High','Pending                       ','Solo                               ','Classified                         ','Full','Card later time find.'
'AS697204                            ','Low','Completed','Pending','Draft                    ','Low','Unfunded                      ','International                      ','Public                             ',NULL,'Everything morning sure test local.'
'AS201832                            ','Low','Scheduled','In Progress','Submitted                ','Medium','Pending                       ','Team                               ','Restricted                         ','Partial',NULL
'AS312954                            ','Urgent','Required','Completed','Draft                    ','Medium','Pending                       ','Solo                               ','Public                             ','Full','Never develop movie contain its sure.'
'AS575517                            ','Medium','Completed','Pending','Submitted                ','Medium','Funded                        ','Team                               ','Public                             ','Partial',NULL
'AS321986                            ','Medium','Required','Pending','Draft                    ','Low','Funded                        ','International                      ','Classified                         ',NULL,NULL
'AS242750                            ','High','Required','Pending','Published                ','Low','Pending                       ','Team                               ','Public                             ','Partial','Remain American purpose cause describe.'
'AS374566                            ','Urgent','Completed','In Progress','Published                ','Medium','Pending                       ','International                      ','Public                             ',NULL,NULL
'AS891348                            ','Low','Required','Completed','Draft                    ','Medium','Pending                       ','Solo                               ','Classified                         ',NULL,NULL
'AS181428                            ','Urgent','Completed','Completed','Published                ','Medium','Pending                       ','International                      ','Classified                         ','Partial','Represent century green this medical similar.'
'AS781163                            ','Medium','Required','Pending','Draft                    ','Low','Unfunded                      ','International                      ','Public                             ',NULL,'Consider any four big he baby.'
'AS980420                            ','Urgent','Completed','Pending','Draft                    ','High','Unfunded                      ','Team                               ','Classified                         ','Partial','Oil institution Mrs.'
'AS563918                            ','High','Completed','In Progress','Submitted                ','High','Unfunded                      ','Team                               ','Classified                         ','Partial',NULL
'AS952058                            ','High','Completed','In Progress','Published                ','Low','Pending                       ','Team                               ','Restricted                         ','Partial','Perhaps behavior foot piece.'
'AS361503                            ','Medium','Required','In Progress','Draft                    ','Low','Pending                       ','Solo                               ','Restricted                         ',NULL,NULL
'AS268297                            ','High','Scheduled','Pending','Draft                    ','Low','Pending                       ','International                      ','Restricted                         ','Full','Including including himself to significant PM.'
'AS593950                            ','Urgent','Completed','Pending','Draft                    ','High','Unfunded                      ','International                      ','Classified                         ','Full','Enjoy full top writer.'
'AS652583                            ','Low','Completed','Completed','Submitted                ','High','Pending                       ','International                      ','Restricted                         ','Partial',NULL
'AS425343                            ','Medium','Completed','In Progress','Published                ','Low','Pending                       ','Solo                               ','Restricted                         ','Full','Produce example prove recent easy choose.'
'AS953567                            ','Medium','Required','In Progress','Submitted                ','Low','Unfunded                      ','Team                               ','Public                             ',NULL,'Network phone under piece defense another national.'
'AS156596                            ','Urgent','Scheduled','In Progress','Draft                    ','Medium','Pending                       ','International                      ','Restricted                         ','Partial','Food born process their actually debate sister book.'
'AS971593                            ','High','Completed','In Progress','Draft                    ','High','Pending                       ','Team                               ','Restricted                         ','Full','It environmental strategy throughout fact city.'
'AS428530                            ','High','Completed','Pending','Published                ','Low','Unfunded                      ','Team                               ','Public                             ',NULL,NULL
'AS448862                            ','High','Completed','Completed','Draft                    ','Low','Unfunded                      ','International                      ','Public                             ','Partial','Next medical here cell professor very interesting.'
'AS666626                            ','Medium','Required','In Progress','Draft                    ','High','Funded                        ','Team                               ','Restricted                         ',NULL,'Matter report marriage member value.'
