'T4621               ','Observatory-East Darrenport                                 ','Operational','Current',3.85,5.47,'Poor',227.34,'Critical','Main','Available','Limited',77.20,'Full'
'T3182               ','Observatory-Pearsonstad                                     ','Degraded','Due',3.96,1.58,'Good',94.66,'Warning','Backup','Available','Disconnected',8.50,'Empty'
'T6585               ','Observatory-New Lindastad                                   ','Degraded','Current',6.93,9.40,'Good',233.20,'Normal','Main','Available','Disconnected',48.20,'Normal'
'T2455               ','Observatory-Port Vanessastad                                ','Maintenance','Due',1.39,2.97,'Poor',31.49,'Warning','Backup','Low','Limited',39.30,'Full'
'T8611               ','Observatory-Oliviachester                                   ','Operational','Current',1.70,2.11,'Excellent',164.46,'Warning','Main','Critical','Limited',78.40,'Empty'
'T9578               ','Observatory-Port Carrie                                     ','Operational','Overdue',3.19,1.68,'Good',236.69,'Critical','Critical','Available','Limited',2.60,'Full'
'T3991               ','Observatory-Port Courtneyborough                            ','Degraded','Overdue',8.71,1.86,'Excellent',30.11,'Normal','Backup','Available','Connected',17.20,'Normal'
'T8585               ','Observatory-Fisherhaven                                     ','Maintenance','Overdue',4.69,9.15,'Good',86.86,'Warning','Main','Low','Limited',82.80,'Full'
'T6831               ','Observatory-Port Lisamouth                                  ','Operational','Current',5.31,5.75,'Excellent',29.65,'Critical','Backup','Available','Disconnected',66.50,'Normal'
'T8027               ','Observatory-Morseburgh                                      ','Degraded','Current',9.24,7.97,'Poor',218.39,'Critical','Critical','Critical','Disconnected',89.80,'Full'
'T9958               ','Observatory-South Seanshire                                 ','Degraded','Due',4.48,4.77,'Good',156.23,'Warning','Backup','Available','Limited',51.10,'Empty'
'T3402               ','Observatory-Tashafurt                                       ','Maintenance','Due',5.13,5.63,'Good',265.37,'Warning','Critical','Low','Connected',28.30,'Normal'
'T6860               ','Observatory-West Heidi                                      ','Maintenance','Due',1.39,1.14,'Good',260.15,'Normal','Critical','Available','Disconnected',90.40,'Empty'
'T5537               ','Observatory-Marychester                                     ','Degraded','Due',5.71,6.06,'Excellent',171.96,'Warning','Main','Available','Disconnected',66.80,'Empty'
'T8666               ','Observatory-Port Lisatown                                   ','Degraded','Due',8.87,9.78,'Poor',83.00,'Normal','Backup','Critical','Disconnected',46.90,'Full'
'T9786               ','Observatory-Michelleberg                                    ','Degraded','Current',3.80,3.98,'Poor',124.23,'Critical','Critical','Available','Limited',61.90,'Full'
'T1259               ','Observatory-Sullivanmouth                                   ','Degraded','Due',9.90,1.04,'Good',57.84,'Warning','Backup','Available','Limited',54.80,'Full'
'T1571               ','Observatory-Carolynfurt                                     ','Operational','Current',0.11,6.71,'Excellent',117.51,'Critical','Main','Available','Limited',12.00,'Empty'
'T5107               ','Observatory-New Bernard                                     ','Operational','Overdue',0.23,7.01,'Excellent',29.41,'Warning','Main','Critical','Limited',53.30,'Empty'
'T6000               ','Observatory-Amyfurt                                         ','Operational','Due',3.07,6.48,'Excellent',136.89,'Normal','Main','Critical','Disconnected',78.90,'Normal'
'T6591               ','Observatory-Lake Rhondatown                                 ','Degraded','Current',1.32,8.38,'Excellent',58.10,'Normal','Critical','Critical','Limited',8.80,'Normal'
'T2160               ','Observatory-Pattersonside                                   ','Operational','Current',4.05,5.59,'Poor',126.49,'Critical','Main','Low','Connected',17.60,'Normal'
'T7467               ','Observatory-Thomasville                                     ','Degraded','Current',7.85,9.86,'Good',74.23,'Critical','Backup','Low','Connected',55.50,'Full'
'T1903               ','Observatory-Ericland                                        ','Degraded','Overdue',9.91,5.93,'Excellent',177.76,'Critical','Main','Available','Limited',57.90,'Normal'
'T4347               ','Observatory-Hartport                                        ','Maintenance','Current',2.86,7.17,'Excellent',4.69,'Critical','Backup','Critical','Connected',11.80,'Full'
'T2336               ','Observatory-Deanfurt                                        ','Degraded','Current',1.25,2.55,'Good',25.67,'Normal','Critical','Available','Limited',74.10,'Full'
'T8905               ','Observatory-Thomaschester                                   ','Operational','Current',1.08,1.90,'Poor',181.44,'Normal','Critical','Available','Limited',25.10,'Empty'
'T7167               ','Observatory-South Georgehaven                               ','Maintenance','Due',7.15,4.43,'Poor',136.20,'Warning','Critical','Low','Connected',7.00,'Full'
'T7245               ','Observatory-Phillipston                                     ','Operational','Overdue',7.21,2.95,'Good',74.51,'Critical','Backup','Low','Connected',40.80,'Full'
'T4174               ','Observatory-Leetown                                         ','Maintenance','Current',7.51,8.29,'Excellent',130.76,'Warning','Backup','Critical','Limited',28.80,'Normal'
'T8471               ','Observatory-East Jeffrey                                    ','Operational','Overdue',1.07,8.34,'Poor',223.07,'Critical','Backup','Low','Limited',25.40,'Empty'
'T1001               ','Observatory-South Christopherton                            ','Maintenance','Current',8.44,4.59,'Poor',68.65,'Warning','Main','Low','Disconnected',17.50,'Full'
