'CASE_GR8LZ','IT291460','Delayed','Full','Incomplete','Warning',1,'B',58.8400,'Low','Low','Investigation','Monthly','2025-02-02','2025-03-19','Enhanced','Secondary','Automated',0.03,0.8830,'ABHV_0Z7PG'
'CASE_8YXF1','IT931600','Missing','Full','Late','Inquiry',1,'A',49.3100,'Low','Low','Investigation','Monthly','2025-02-14','2025-03-07','Intensive','Secondary','Automated',0.14,0.6130,'ABHV_XIYLR'
'CASE_L2L48','IT310545','Delayed','Non-compliant','Incomplete','Warning',5,'D',56.8100,'Critical','Low','Closed','Monthly','2025-02-07','2025-02-22','Intensive','Secondary','Hybrid',0.20,0.7300,'ABHV_4WDLK'
'CASE_MQ5Q3','IT936393','Current','Non-compliant','Complete','Warning',3,'C',7.9800,'High','Medium','Monitoring','Weekly','2025-02-05','2025-03-18','Intensive','Secondary','Automated',0.27,0.5010,'ABHV_ENOBQ'
'CASE_EUD8O','IT140308','Delayed','Full','Complete','Inquiry',3,'D',43.9100,'Critical','High','Closed','Monthly','2025-01-22','2025-02-23','Enhanced','Secondary','Hybrid',0.21,0.8640,'ABHV_QLXAE'
'CASE_Z6FNV','IT855524','Delayed','Full','Incomplete','Warning',2,'C',44.8200,'Critical','High','Investigation','Weekly','2025-02-19','2025-03-15','Standard','Secondary','Manual',0.26,0.8250,'ABHV_KBMU1'
'CASE_XLVDY','IT110951','Missing','Partial','Complete','Warning',1,'A',34.2200,'Low','High','Investigation','Monthly','2025-01-29','2025-03-14','Enhanced','Multiple','Manual',0.03,0.6720,'ABHV_FABT7'
'CASE_UHTIY','IT589692','Missing','Non-compliant','Complete','Warning',0,'A',72.3900,'High','Medium','Closed','Daily','2025-01-27','2025-03-18','Standard','Multiple','Manual',0.03,0.7950,'ABHV_YP3HP'
'CASE_3DMQX','IT410905','Current','Partial','Complete','Warning',3,'B',46.2400,'Low','High','Closed','Daily','2025-01-30','2025-03-12','Standard','Multiple','Hybrid',0.10,0.5160,'ABHV_0KCTJ'
'CASE_0EO9Y','IT969905','Missing','Non-compliant','Late','Warning',0,'C',53.5700,'Critical','High','Monitoring','Weekly','2025-02-01','2025-03-20','Intensive','Multiple','Automated',0.19,0.9240,'ABHV_70X0F'
'CASE_F9XQJ','IT612009','Delayed','Partial','Late','Warning',0,'C',17.5600,'Critical','Medium','Monitoring','Monthly','2025-02-11','2025-02-25','Standard','Secondary','Manual',0.18,0.5780,'ABHV_00V91'
'CASE_SXD04','IT136857','Delayed','Full','Complete','Inquiry',1,'B',36.3500,'Medium','High','Closed','Weekly','2025-02-05','2025-03-16','Intensive','Primary','Manual',0.01,0.5630,'ABHV_UF8L9'
'CASE_8VPVD','IT514814','Current','Partial','Late','Inquiry',5,'C',65.4500,'Medium','High','Closed','Weekly','2025-01-27','2025-03-14','Standard','Secondary','Manual',0.17,0.7220,'ABHV_7BZDS'
'CASE_QF3HH','IT422609','Delayed','Non-compliant','Late','Warning',3,'D',55.1800,'High','Medium','Monitoring','Weekly','2025-02-16','2025-03-15','Intensive','Secondary','Hybrid',0.12,0.7130,'ABHV_0KZUF'
'CASE_9UKIY','IT451756','Missing','Full','Incomplete','Inquiry',2,'D',94.1100,'Medium','High','Closed','Monthly','2025-02-07','2025-03-20','Enhanced','Secondary','Manual',0.22,0.9420,'ABHV_8TGGB'
'CASE_GQJL5','IT125621','Missing','Non-compliant','Complete','Inquiry',2,'A',21.7900,'Medium','Medium','Monitoring','Monthly','2025-02-02','2025-03-13','Standard','Secondary','Automated',0.07,0.8550,'ABHV_BI7N6'
'CASE_8NLVT','IT104923','Current','Partial','Incomplete','Inquiry',4,'B',26.5800,'Low','Low','Investigation','Weekly','2025-02-08','2025-02-25','Standard','Multiple','Hybrid',0.26,0.6350,'ABHV_BJNCX'
'CASE_II5OP','IT826759','Delayed','Partial','Incomplete','Warning',3,'C',31.3900,'Medium','Medium','Closed','Weekly','2025-01-28','2025-03-10','Intensive','Multiple','Automated',0.24,0.6970,'ABHV_CI9RP'
'CASE_IRVMA','IT564930','Missing','Non-compliant','Late','Inquiry',2,'C',5.4500,'Critical','High','Closed','Weekly','2025-01-21','2025-03-11','Standard','Multiple','Manual',0.25,0.5890,'ABHV_TY45M'
