'ENF_2MI2A','CASE_GR8LZ','Warning','Supervisor','Resolved','Warning',290459.21,'Pending','Negotiating','Severe','Partial','Not Required','Special','Minor','Yes','Refresher','Hybrid','Archived','Complete','Normal','Internal','Limited','INV_WSENV'
'ENF_R2LMP','CASE_8YXF1','Warning','Compliance','In Progress','Warning',76804.63,'Pending','Negotiating','Moderate','Partial','Pending','Special','Minor','No','Refresher','Hybrid','Archived','Missing','Highly Sensitive','Internal','Prohibited','INV_A9P2J'
'ENF_Q3872','CASE_L2L48','Restriction','Legal','In Progress','Warning',504727.54,'Active','Settled','Moderate','Full','Pending','Blackout','Major','Yes','Refresher','Automated','Deleted','Complete','Sensitive','Internal','Prohibited','INV_H8QVD'
'ENF_2AOK8','CASE_MQ5Q3','Warning','Compliance','In Progress','Fine',889384.58,'Active','Negotiating','Moderate','Full','Completed','Special','No','Urgent','Refresher','Automated','Archived','Missing','Highly Sensitive','Internal','Prohibited','INV_25GEO'
'ENF_CRL2G','CASE_EUD8O','Suspension','Legal','In Progress','Warning',11371.56,'Pending','Settled','Minimal','Partial','Pending','Special','Major','Urgent','Refresher','Manual','Current','Missing','Sensitive','Public','Allowed','INV_VBTUI'
'ENF_QBKQB','CASE_Z6FNV','Suspension','Supervisor','Resolved','Fine',333887.32,'Pending','Negotiating','Minimal','Partial','Pending','Special','No','Urgent','Refresher','Automated','Current','Complete','Sensitive','Public','Prohibited','INV_FDPWN'
'ENF_QCALG','CASE_XLVDY','Restriction','Supervisor','Pending','Fine',190951.88,'Pending','Negotiating','Moderate','Full','Pending','Special','No','Yes','Comprehensive','Automated','Archived','Complete','Highly Sensitive','Public','Allowed','INV_3TBR6'
'ENF_3I3RJ','CASE_UHTIY','Warning','Supervisor','In Progress','Warning',307504.74,'Pending','Negotiating','Severe','Partial','Pending','Special','No','Yes','Comprehensive','Manual','Current','Partial','Normal','Public','Limited','INV_DGIAC'
'ENF_7VNDR','CASE_3DMQX','Restriction','Legal','In Progress','Ban',401238.32,'Active','Negotiating','Minimal','Partial','Completed','Blackout','Major','No','Comprehensive','Manual','Archived','Partial','Normal','Public','Limited','INV_NO31W'
'ENF_Y89SW','CASE_0EO9Y','Restriction','Supervisor','Resolved','Fine',138643.26,'Pending','Negotiating','Severe','Full','Completed','Blackout','No','No','Comprehensive','Hybrid','Archived','Partial','Normal','Restricted','Limited','INV_ZXL92'
'ENF_SD7LU','CASE_F9XQJ','Warning','Compliance','In Progress','Warning',741444.02,'Pending','Negotiating','Minimal','Partial','Not Required','Blackout','No','No','Comprehensive','Hybrid','Current','Partial','Highly Sensitive','Restricted','Limited','INV_SIY37'
'ENF_1I2EE','CASE_SXD04','Suspension','Supervisor','In Progress','Warning',784140.10,'Pending','Negotiating','Severe','Partial','Pending','Blackout','Major','Yes','Refresher','Automated','Current','Complete','Highly Sensitive','Restricted','Prohibited','INV_AP6MU'
'ENF_VEBIK','CASE_8VPVD','Restriction','Legal','In Progress','Warning',534244.98,'Pending','Negotiating','Minimal','Partial','Completed','Special','Minor','Urgent','Refresher','Automated','Deleted','Partial','Sensitive','Restricted','Prohibited','INV_EOLSY'
'ENF_TQXIA','CASE_QF3HH','Suspension','Supervisor','In Progress','Fine',115011.53,'Active','Negotiating','Minimal','Partial','Not Required','Special','Minor','Yes','Refresher','Manual','Current','Partial','Highly Sensitive','Internal','Prohibited','INV_E62HH'
'ENF_56MB7','CASE_9UKIY','Warning','Supervisor','Pending','Warning',960630.56,'Active','Negotiating','Minimal','Full','Pending','Special','No','No','Comprehensive','Automated','Deleted','Partial','Sensitive','Restricted','Allowed','INV_QBMZI'
'ENF_FVPS2','CASE_GQJL5','Suspension','Supervisor','Resolved','Warning',534390.18,'Pending','Negotiating','Minimal','Partial','Not Required','Blackout','Major','Yes','Refresher','Manual','Current','Missing','Highly Sensitive','Restricted','Limited','INV_Q1PY4'
'ENF_G05ME','CASE_8NLVT','Warning','Supervisor','In Progress','Warning',813271.87,'Pending','Negotiating','Moderate','Partial','Pending','Blackout','Minor','No','Refresher','Manual','Current','Missing','Normal','Internal','Limited','INV_FRKNA'
'ENF_3BLWF','CASE_II5OP','Warning','Supervisor','Resolved','Fine',727900.05,'Pending','Negotiating','Minimal','Full','Completed','Special','Minor','No','Refresher','Hybrid','Archived','Complete','Highly Sensitive','Internal','Prohibited','INV_ZR7WO'
'ENF_6SDTO','CASE_IRVMA','Suspension','Legal','In Progress','Fine',405017.17,'Active','Negotiating','Severe','Partial','Completed','Special','Major','No','Refresher','Manual','Archived','Partial','Highly Sensitive','Public','Allowed','INV_GZ9AD'
'ENF_NW1BK','CASE_7V3SV','Warning','Supervisor','In Progress','Ban',616887.89,'Pending','Negotiating','Moderate','Partial','Completed','Special','No','Urgent','Refresher','Hybrid','Archived','Partial','Sensitive','Restricted','Prohibited','INV_1UPCG'
'ENF_ES4SQ','CASE_1RZGP','Restriction','Supervisor','In Progress','Warning',19575.51,'Active','Negotiating','Severe','Full','Pending','Special','Minor','No','Refresher','Automated','Deleted','Complete','Normal','Restricted','Allowed','INV_N15WN'
'ENF_9PDFV','CASE_6Y5JG','Suspension','Legal','Resolved','Fine',468289.31,'Active','Negotiating','Severe','Full','Completed','Special','No','Yes','Refresher','Automated','Archived','Missing','Highly Sensitive','Public','Prohibited','INV_S6LX7'
'ENF_L0T53','CASE_A3NBX','Restriction','Compliance','Pending','Fine',126367.77,'Pending','Settled','Moderate','Partial','Pending','Special','Major','No','Refresher','Automated','Current','Partial','Sensitive','Restricted','Allowed','INV_EOUD0'
'ENF_YVKNI','CASE_QDY7W','Warning','Legal','In Progress','Fine',66012.71,'Active','Negotiating','Minimal','Partial','Completed','Special','No','Urgent','Comprehensive','Manual','Current','Partial','Sensitive','Restricted','Allowed','INV_ZWYRE'
'ENF_0KZSJ','CASE_1RJS2','Warning','Supervisor','Pending','Warning',322084.55,'Pending','Settled','Severe','Full','Not Required','Blackout','Major','Yes','Comprehensive','Hybrid','Deleted','Partial','Sensitive','Public','Prohibited','INV_YFIHO'
'ENF_5FOWL','CASE_KK0G2','Suspension','Legal','Resolved','Warning',550485.44,'Pending','Negotiating','Moderate','Full','Completed','Blackout','No','Urgent','Refresher','Hybrid','Archived','Complete','Normal','Public','Prohibited','INV_0UKWC'
'ENF_ZNGRD','CASE_UOVAU','Suspension','Supervisor','Resolved','Warning',103906.49,'Active','Settled','Severe','Partial','Completed','Special','Minor','Urgent','Refresher','Hybrid','Deleted','Complete','Highly Sensitive','Public','Prohibited','INV_H84L8'
'ENF_6TVS7','CASE_JMJRX','Suspension','Supervisor','Resolved','Warning',380467.75,'Active','Negotiating','Severe','Partial','Completed','Special','Major','Urgent','Refresher','Hybrid','Archived','Complete','Normal','Internal','Allowed','INV_IJSHN'
'ENF_696XM','CASE_S4T8E','Restriction','Supervisor','Resolved','Fine',490706.30,'Active','Negotiating','Minimal','Partial','Pending','Blackout','Major','Urgent','Refresher','Manual','Archived','Missing','Highly Sensitive','Internal','Allowed','INV_L1CDG'
'ENF_8UO5N','CASE_4B03M','Warning','Compliance','In Progress','Fine',332085.98,'Pending','Settled','Minimal','Full','Completed','Special','Minor','Urgent','Refresher','Hybrid','Current','Complete','Normal','Public','Allowed','INV_VG014'
'ENF_DNU3P','CASE_HUX7F','Suspension','Legal','In Progress','Warning',852579.15,'Pending','Negotiating','Minimal','Full','Pending','Special','Major','Urgent','Refresher','Manual','Archived','Complete','Normal','Public','Prohibited','INV_A6BZT'
'ENF_6P6JN','CASE_VWFUP','Restriction','Supervisor','Pending','Warning',839184.58,'Pending','Negotiating','Moderate','Partial','Completed','Special','No','No','Refresher','Hybrid','Archived','Partial','Normal','Public','Prohibited','INV_QPZVW'
'ENF_0ZOB5','CASE_7DSAB','Restriction','Legal','Resolved','Ban',207483.52,'Pending','Settled','Moderate','Full','Not Required','Special','Major','No','Comprehensive','Manual','Archived','Missing','Highly Sensitive','Restricted','Allowed','INV_46GGV'
'ENF_TIB8C','CASE_HLK2Q','Warning','Supervisor','Pending','Fine',893863.36,'Pending','Negotiating','Severe','Full','Pending','Blackout','Major','Urgent','Refresher','Hybrid','Archived','Partial','Sensitive','Public','Prohibited','INV_8TPLZ'
