'INV_WSENV','CASE_GR8LZ','Preliminary',42.5100,37.7600,68.9100,'Partial','19',3,'Email','Business','Regular',32,41.8700,0.18,'Strong','Incomplete','SENT_XSX4T'
'INV_A9P2J','CASE_8YXF1','Preliminary',12.0100,92.3900,77.4200,'Partial','8',0,'Email','Business','Irregular',50,74.1800,0.99,'Weak','Incomplete','SENT_MOR6T'
'INV_H8QVD','CASE_L2L48','Preliminary',88.2000,73.3600,47.3500,'Pending','12',1,'Email','Business','Irregular',39,55.2400,0.68,'Strong','Partial','SENT_HWFBT'
'INV_25GEO','CASE_MQ5Q3','Active',6.6800,53.1100,5.7600,'Pending','3',4,'Multiple','Business','Irregular',11,87.8800,0.54,'Strong','Partial','SENT_QGWB2'
'INV_VBTUI','CASE_EUD8O','Preliminary',95.8300,39.0500,18.6200,'Pending','12',5,'Multiple','Business','Regular',13,85.5700,0.17,'Moderate','Partial','SENT_MOFW9'
'INV_FDPWN','CASE_Z6FNV','Preliminary',85.1900,57.0500,15.2800,'Partial','3',2,'Phone','Personal','Irregular',6,0.8700,0.25,'Strong','Incomplete','SENT_2KAW1'
'INV_3TBR6','CASE_XLVDY','Active',4.0200,99.5500,73.7100,'Complete','19',4,'Multiple','Business','Regular',29,10.6600,0.67,'Weak','Incomplete','SENT_Y962G'
'INV_DGIAC','CASE_UHTIY','Active',89.6200,57.0800,12.3200,'Complete','18',0,'Phone','Business','Regular',39,17.7800,0.09,'Weak','Incomplete','SENT_F1QD6'
'INV_NO31W','CASE_3DMQX','Preliminary',10.8000,82.4300,23.1900,'Complete','18',4,'Email','Personal','Regular',9,30.9300,0.65,'Strong','Complete','SENT_8AIZ1'
'INV_ZXL92','CASE_0EO9Y','Preliminary',57.2400,17.3600,3.4200,'Partial','9',5,'Multiple','Personal','Irregular',9,95.0400,0.40,'Moderate','Partial','SENT_MRILM'
'INV_SIY37','CASE_F9XQJ','Preliminary',5.8000,76.1400,20.3200,'Partial','9',4,'Phone','Business','Irregular',21,49.0000,0.54,'Moderate','Partial','SENT_0WO6B'
'INV_AP6MU','CASE_SXD04','Preliminary',16.7700,22.8800,45.1500,'Pending','17',5,'Multiple','Personal','Regular',12,45.1800,0.21,'Strong','Partial','SENT_BMG5M'
'INV_EOLSY','CASE_8VPVD','Active',77.9900,0.6300,67.3000,'Pending','11',3,'Phone','Business','Regular',1,84.5400,0.85,'Moderate','Complete','SENT_0DFIX'
'INV_E62HH','CASE_QF3HH','Preliminary',6.2600,69.5200,47.9500,'Partial','1',4,'Multiple','Personal','Regular',24,68.3700,0.24,'Weak','Partial','SENT_3Z3CW'
'INV_QBMZI','CASE_9UKIY','Preliminary',8.3700,50.9300,1.7200,'Complete','19',1,'Email','Business','Regular',4,73.4800,0.88,'Strong','Partial','SENT_BYVVW'
'INV_Q1PY4','CASE_GQJL5','Preliminary',28.1500,22.3400,82.3400,'Pending','14',5,'Email','Business','Regular',4,97.4900,0.35,'Strong','Incomplete','SENT_953ON'
'INV_FRKNA','CASE_8NLVT','Active',2.8700,26.5000,75.9300,'Pending','6',2,'Email','Personal','Irregular',49,19.7000,0.99,'Moderate','Complete','SENT_PENU2'
'INV_ZR7WO','CASE_II5OP','Preliminary',67.5400,68.7700,77.6500,'Partial','19',2,'Multiple','Business','Regular',48,81.2600,0.51,'Strong','Partial','SENT_23AI8'
'INV_GZ9AD','CASE_IRVMA','Preliminary',9.0800,91.6000,31.5700,'Pending','5',1,'Phone','Business','Irregular',5,88.8600,0.84,'Weak','Incomplete','SENT_S4I29'
'INV_1UPCG','CASE_7V3SV','Preliminary',64.3800,1.2800,12.1500,'Partial','13',2,'Phone','Business','Regular',5,26.4100,0.91,'Strong','Partial','SENT_5K6U9'
'INV_N15WN','CASE_1RZGP','Active',36.5500,40.3800,74.8000,'Pending','7',2,'Multiple','Business','Regular',34,65.6000,0.63,'Weak','Complete','SENT_CAMZT'
'INV_S6LX7','CASE_6Y5JG','Active',37.3500,74.1500,82.9300,'Complete','9',2,'Email','Business','Regular',24,72.6300,0.27,'Weak','Complete','SENT_OTVEW'
'INV_EOUD0','CASE_A3NBX','Preliminary',58.3200,59.8800,66.3100,'Pending','13',1,'Email','Business','Regular',15,28.0500,0.12,'Strong','Partial','SENT_JI5XQ'
'INV_ZWYRE','CASE_QDY7W','Active',8.0000,98.6400,81.1400,'Pending','8',4,'Email','Business','Regular',47,93.3300,0.09,'Strong','Complete','SENT_MAMO2'
'INV_YFIHO','CASE_1RJS2','Preliminary',99.6200,0.4900,66.7600,'Partial','18',3,'Multiple','Personal','Regular',11,16.2600,0.62,'Moderate','Incomplete','SENT_S6S3J'
'INV_0UKWC','CASE_KK0G2','Preliminary',24.8300,34.7200,98.5400,'Complete','3',4,'Phone','Business','Irregular',16,43.2700,0.33,'Moderate','Incomplete','SENT_WCPB3'
'INV_H84L8','CASE_UOVAU','Preliminary',96.4800,49.2100,20.9000,'Pending','19',1,'Email','Business','Regular',8,80.2000,0.09,'Moderate','Complete','SENT_SP9S2'
'INV_IJSHN','CASE_JMJRX','Preliminary',79.2400,95.4500,69.3100,'Pending','2',4,'Multiple','Business','Regular',1,29.5600,0.46,'Weak','Incomplete','SENT_ZCHPG'
'INV_L1CDG','CASE_S4T8E','Preliminary',89.1600,52.1600,37.9000,'Partial','14',4,'Phone','Business','Regular',41,67.4100,0.90,'Moderate','Complete','SENT_QSU4P'
'INV_VG014','CASE_4B03M','Preliminary',56.7400,29.8400,44.5500,'Partial','10',5,'Multiple','Business','Regular',4,35.1700,0.96,'Strong','Partial','SENT_BE5IX'
'INV_A6BZT','CASE_HUX7F','Preliminary',91.9200,91.9200,42.9400,'Partial','8',2,'Email','Business','Regular',30,79.1600,0.32,'Weak','Incomplete','SENT_Z5XBS'
'INV_QPZVW','CASE_VWFUP','Active',73.2800,57.4300,6.2700,'Complete','14',2,'Email','Business','Regular',6,16.7900,0.92,'Strong','Complete','SENT_B16OD'
'INV_46GGV','CASE_7DSAB','Preliminary',10.9500,91.6700,18.9500,'Complete','4',1,'Multiple','Business','Regular',21,45.0700,0.41,'Strong','Incomplete','SENT_IJUMG'
'INV_8TPLZ','CASE_HLK2Q','Preliminary',93.5200,51.8500,12.6900,'Partial','17',1,'Multiple','Business','Regular',16,95.8100,0.53,'Strong','Partial','SENT_2XHAR'
'INV_Y6RTV','CASE_WTHUW','Active',51.5100,47.9500,13.0800,'Complete','3',1,'Multiple','Business','Regular',50,9.4600,0.25,'Weak','Partial','SENT_OUT0Y'
'INV_2HP9H','CASE_8P11E','Active',57.1100,57.1300,63.3200,'Partial','8',5,'Multiple','Business','Regular',5,36.4400,0.52,'Moderate','Incomplete','SENT_LG6VV'
'INV_Q2LXZ','CASE_D9VDA','Preliminary',58.2600,62.2300,73.8700,'Partial','15',1,'Email','Business','Irregular',7,58.1300,0.87,'Weak','Incomplete','SENT_AWA0Y'
'INV_DJC8D','CASE_HWS0H','Preliminary',76.9500,8.8100,89.9300,'Complete','5',1,'Multiple','Business','Irregular',50,60.1700,0.68,'Moderate','Partial','SENT_ZQP5T'
