'TR32485','Broker',1386,8042787.47,'Medium',79650.8800,68767.9800,'Intraday','{"winpct": 34.88, "plratio": 2.3000, "risklevel": {"margpct": 24.48, "levratio": 9.4400, "risklevel": "Conservative"}}'
'TR16169','Individual',3206,1414563.16,'Medium',494564.2400,111835.3800,'Intraday','{"winpct": 68.01, "plratio": 2.7100, "risklevel": {"margpct": 58.43, "levratio": 7.4700, "risklevel": "Moderate"}}'
'TR67490','Broker',1061,9018030.95,'Medium',151126.9900,293964.4700,'Long-term','{"winpct": 42.62, "plratio": 1.7900, "risklevel": {"margpct": 51.07, "levratio": 5.8700, "risklevel": "Conservative"}}'
'TR47794','Institution',3290,2821732.75,'Medium',892804.4200,496588.7700,'Intraday','{"winpct": 85.15, "plratio": 0.7700, "risklevel": {"margpct": 0.21, "levratio": 7.3200, "risklevel": "Moderate"}}'
'TR47821','Individual',3431,134703.12,'Medium',141238.8600,328432.9400,'Intraday','{"winpct": 37.03, "plratio": 2.0500, "risklevel": {"margpct": 78.12, "levratio": 4.3300, "risklevel": "Moderate"}}'
'TR74663','Individual',813,5058153.77,'High',358635.1900,185319.9300,'Swing','{"winpct": 66.97, "plratio": 0.7300, "risklevel": {"margpct": 5.58, "levratio": 4.1800, "risklevel": "Conservative"}}'
'TR88860','Individual',932,2843172.36,'Low',833890.2400,334372.3700,'Intraday','{"winpct": 54.80, "plratio": 2.7600, "risklevel": {"margpct": 15.21, "levratio": 9.1800, "risklevel": "Aggressive"}}'
'TR52484','Individual',1568,9828507.98,'High',214034.3500,37966.6700,'Swing','{"winpct": 59.24, "plratio": 0.6800, "risklevel": {"margpct": 53.54, "levratio": 6.5900, "risklevel": "Conservative"}}'
'TR19906','Market Maker',2836,3247038.28,'Low',273147.0300,37206.0800,'Position','{"winpct": 56.40, "plratio": 0.9800, "risklevel": {"margpct": 23.71, "levratio": 1.6900, "risklevel": "Moderate"}}'
'TR11824','Broker',807,6328056.26,'Low',893531.0300,274845.6900,'Swing','{"winpct": 55.14, "plratio": 2.3000, "risklevel": {"margpct": 11.25, "levratio": 9.0400, "risklevel": "Moderate"}}'
