'ABHV_0Z7PG','IT291460',0.8230,0.5250,-0.3270,-0.7930
'ABHV_XIYLR','IT931600',0.4570,-0.3530,-0.3240,0.3710
'ABHV_4WDLK','IT310545',0.0600,0.3820,-0.1040,-0.1830
'ABHV_ENOBQ','IT936393',0.7940,0.3990,0.6940,0.3660
'ABHV_QLXAE','IT140308',0.7820,-0.4890,0.9510,0.2870
'ABHV_KBMU1','IT855524',0.5990,-0.8850,0.5270,0.7400
'ABHV_FABT7','IT110951',0.4440,0.2310,0.8770,-0.8560
'ABHV_YP3HP','IT589692',0.3520,0.5510,-0.5570,0.9240
'ABHV_0KCTJ','IT410905',0.3530,-0.5300,-0.8770,0.7280
'ABHV_70X0F','IT969905',0.2750,0.8480,-0.0120,-0.5990
'ABHV_00V91','IT612009',0.4740,-0.9900,-0.5280,0.5410
'ABHV_UF8L9','IT136857',0.7950,-0.9320,0.6940,0.2130
'ABHV_7BZDS','IT514814',0.2490,-0.1700,-0.3160,0.8020
'ABHV_0KZUF','IT422609',0.2640,-0.6130,0.1790,-0.2010
'ABHV_8TGGB','IT451756',0.6250,0.1440,0.8410,0.1190
'ABHV_BI7N6','IT125621',0.0830,-0.1200,0.5600,-0.1860
'ABHV_BJNCX','IT104923',0.6350,0.3570,-0.5580,-0.4680
'ABHV_CI9RP','IT826759',0.2760,-0.9470,0.8760,0.2700
'ABHV_TY45M','IT564930',0.3870,-0.7260,-0.6770,-0.5940
'ABHV_DDCEF','IT410556',0.4770,0.6180,-0.6150,-0.0320
'ABHV_DP7IK','IT270960',0.4610,-0.7980,0.3210,0.0590
'ABHV_R8E3Q','IT822463',0.6380,0.7660,0.0150,-0.1760
'ABHV_NIILJ','IT858554',0.1340,0.1990,0.2060,-0.2440
'ABHV_O327B','IT386159',0.0420,0.2400,0.2480,0.6030
'ABHV_3OZ0Z','IT471570',0.9650,-0.9120,-0.5020,-0.3810
'ABHV_P5PTJ','IT394977',0.1120,-0.1820,0.1810,0.9370
'ABHV_UK53N','IT545372',0.2050,0.0540,-0.6750,0.5200
'ABHV_1WM9H','IT644663',0.5220,0.2600,-0.2750,-0.2680
'ABHV_NUHG3','IT610041',0.6900,0.2810,-0.7760,-0.2690
'ABHV_MDQ9U','IT464423',0.6430,-0.8450,-0.0520,-0.7070
'ABHV_NIO8X','IT559277',0.5570,-0.5800,-0.1500,-0.0660
'ABHV_QQVUF','IT326122',0.9080,-0.5470,0.6170,0.4670
'ABHV_PBA1Y','IT380913',0.8000,-0.6780,-0.5450,-0.0110
'ABHV_HPRPI','IT403743',0.8960,-0.7190,0.7140,0.1290
'ABHV_DNDB0','IT437603',0.8250,0.0670,-0.2190,0.2800
'ABHV_8ZSEN','IT114207',0.7620,-0.9140,0.4450,0.1290
'ABHV_TYQWN','IT659974',0.1790,-0.1000,-0.8230,-0.8420
'ABHV_70XNC','IT487875',0.3320,0.8390,-0.8630,0.0710
'ABHV_OMG5J','IT748927',0.5590,-0.9890,0.0580,0.4920
'ABHV_2I15G','IT575824',0.0160,-0.8250,0.6250,-0.3610
'ABHV_U34IX','IT751618',0.7130,0.1490,-0.8880,-0.3180
'ABHV_ZSYGS','IT971839',0.4010,0.2170,-0.1570,0.4630
'ABHV_DHFH8','IT459995',0.1760,0.8070,-0.7950,0.3620
'ABHV_LLGJE','IT197424',0.5870,0.6330,0.8680,-0.0190
'ABHV_X1MB4','IT570226',0.9570,0.7030,-0.5480,0.4240
'ABHV_OPG52','IT322619',0.1910,0.8700,-0.7190,-0.3190
'ABHV_31MW1','IT454934',0.9460,0.6940,-0.6270,0.0230
'ABHV_NJHG6','IT856196',0.1760,0.8920,-0.0860,-0.4910
'ABHV_LJFP6','IT252030',0.3430,0.6350,0.9730,0.1270
'ABHV_IZZ6U','IT464091',0.6850,0.2320,0.2630,0.0290
'ABHV_31O31','IT849557',0.9300,-0.0290,0.1850,-0.6640
'ABHV_BBGHX','IT478048',0.7290,-0.8310,0.3360,0.2170
'ABHV_9RLDQ','IT550256',0.8160,-0.3690,-0.9330,0.4200
'ABHV_5FB9Z','IT107436',0.2890,-0.2520,0.9020,0.8640
'ABHV_OO0TI','IT286699',0.8360,-0.5770,-0.0280,-0.6470
'ABHV_0RM2A','IT577356',0.7240,-0.2870,0.5800,0.5640
'ABHV_4VVPX','IT549655',0.6770,-0.6450,0.3920,-0.0140
'ABHV_CQNYR','IT118859',0.2800,0.4780,0.7870,-0.2170
'ABHV_5FB1X','IT164284',0.6450,-0.0610,-0.3860,-0.3180
'ABHV_6S9QU','IT800012',0.7250,0.1660,0.1350,-0.9030
'ABHV_7D1Q5','IT187607',0.2280,-0.0600,-0.6850,0.3780
'ABHV_2G0BN','IT285210',0.8360,-0.2500,0.1730,0.1940
'ABHV_PNFMN','IT562260',0.9330,-0.5280,0.6830,-0.7580
