1,'PR7509','SC9016',NULL,'Critical','Moderate','Minor',NULL
2,'PR8078','SC9081','Severe','Low','Moderate','Major','Partial'
3,'PR9973','SC4817','Moderate','High','Moderate',NULL,NULL
4,'PR8865','SC4082','Moderate','High','Stable','Minor','Partial'
5,'PR8235','SC3155',NULL,'Low','Unstable','Minor','Partial'
6,'PR2658','SC1822','Severe','Critical','Moderate','Minor',NULL
7,'PR5905','SC6676','Severe','Low','Moderate',NULL,'Complete'
8,'PR3991','SC4460','Minor','High','Moderate','Major',NULL
9,'PR3061','SC2917','Minor','Medium','Moderate','Minor','Complete'
10,'PR9095','SC5714','Severe','Medium','Moderate','Minor','Partial'
11,'PR3121','SC4539',NULL,'High','Stable','Major','Partial'
12,'PR9406','SC2451','Moderate','Low','Moderate',NULL,NULL
13,'PR2333','SC8954','Severe','High','Stable','Minor','Complete'
14,'PR9376','SC7572','Severe','High','Unstable','Minor',NULL
15,'PR7339','SC1518','Severe','Low','Moderate','Major',NULL
16,'PR9357','SC1379',NULL,'Low','Stable','Major',NULL
17,'PR7584','SC3866',NULL,'High','Moderate',NULL,NULL
18,'PR6454','SC7009','Minor','Critical','Stable',NULL,'Partial'
19,'PR2146','SC6604',NULL,'Critical','Stable',NULL,'Partial'
20,'PR3869','SC3210',NULL,'Critical','Stable','Minor','Complete'
21,'PR3095','SC9774','Moderate','High','Moderate',NULL,'Complete'
22,'PR7683','SC1988','Moderate','High','Stable',NULL,'Partial'
23,'PR6188','SC9214',NULL,'Low','Moderate','Minor','Partial'
24,'PR5495','SC9095','Minor','Low','Unstable','Major',NULL
25,'PR8955','SC8649','Minor','High','Moderate','Minor',NULL
26,'PR3090','SC3294','Severe','Critical','Stable',NULL,'Partial'
27,'PR1681','SC8072','Moderate','Medium','Unstable',NULL,NULL
28,'PR2428','SC4716','Moderate','Low','Stable',NULL,NULL
29,'PR2498','SC4554','Severe','Low','Unstable',NULL,NULL
30,'PR5932','SC8070','Moderate','Low','Moderate','Minor','Partial'
31,'PR9945','SC5229','Severe','High','Stable','Minor','Complete'
32,'PR1389','SC4383','Severe','Medium','Unstable','Minor','Complete'
33,'PR9547','SC5700',NULL,'Medium','Moderate',NULL,NULL
34,'PR1596','SC2706','Minor','Medium','Unstable','Major','Partial'
35,'PR8754','SC7359','Severe','Critical','Moderate','Minor','Complete'
36,'PR8289','SC3547','Severe','Critical','Unstable',NULL,'Partial'
37,'PR6209','SC7338',NULL,'High','Unstable','Major',NULL
38,'PR9479','SC7910','Minor','Medium','Unstable','Major','Complete'
39,'PR7662','SC5517','Severe','Low','Unstable','Minor','Complete'
40,'PR1309','SC5078',NULL,'High','Moderate','Major','Partial'
41,'PR5272','SC5556','Moderate','Medium','Moderate','Minor','Complete'
42,'PR8590','SC5402','Moderate','Medium','Moderate','Minor',NULL
43,'PR9219','SC2659','Severe','Low','Stable','Major',NULL
44,'PR3173','SC8711','Moderate','Critical','Stable','Major','Partial'
45,'PR9538','SC2985','Moderate','Critical','Unstable',NULL,'Partial'
46,'PR5005','SC3947','Minor','Low','Stable','Minor','Partial'
47,'PR2607','SC4792','Severe','Low','Moderate',NULL,'Partial'
48,'PR1355','SC3211',NULL,'Critical','Stable','Minor',NULL
49,'PR8337','SC9995',NULL,'High','Unstable','Major',NULL
50,'PR8571','SC1544',NULL,'Medium','Unstable','Minor',NULL
51,'PR8962','SC5656',NULL,'High','Unstable',NULL,'Partial'
52,'PR4597','SC2610',NULL,'Medium','Stable','Major',NULL
53,'PR3860','SC1629','Minor','Critical','Stable','Minor','Partial'
54,'PR2157','SC4052','Moderate','High','Stable',NULL,'Partial'
55,'PR4403','SC9222','Minor','Medium','Moderate','Major','Partial'
56,'PR4851','SC8923','Moderate','High','Stable','Minor','Partial'
57,'PR7947','SC4589','Minor','Critical','Moderate','Minor','Partial'
58,'PR4954','SC4167','Severe','Critical','Stable','Major',NULL
59,'PR8536','SC2682',NULL,'Critical','Stable','Major','Complete'
60,'PR6787','SC9195','Moderate','Low','Unstable','Minor','Partial'
61,'PR9481','SC3514','Severe','Medium','Unstable','Major','Partial'
62,'PR8507','SC3935',NULL,'Low','Unstable','Minor',NULL
