1,'PR7509','OP4641                                            ',78.010,76.7000,40.12,1.060,8.74,342.4,23.9,4.130
2,'PR8078','OP8435                                            ',746.550,85.6600,26.17,8.750,16.41,113.0,12.9,0.930
3,'PR9973','OP7199                                            ',294.590,6.0200,15.32,31.080,36.71,275.4,-22.1,1.120
4,'PR8865','OP5563                                            ',286.850,49.8800,32.93,5.250,18.09,91.3,-14.5,9.520
5,'PR8235','OP4778                                            ',657.390,86.8600,38.74,43.610,6.42,200.3,-3.6,1.530
6,'PR2658','OP2782                                            ',339.480,82.1900,40.30,25.980,16.17,13.1,25.8,9.560
7,'PR5905','OP2517                                            ',993.960,41.6800,32.52,47.080,16.60,147.9,19.6,1.830
8,'PR3991','OP6148                                            ',550.060,4.6100,5.59,30.690,41.32,154.1,19.0,5.420
9,'PR3061','OP5384                                            ',267.400,14.8200,35.65,7.930,28.43,227.7,5.6,9.770
10,'PR9095','OP4209                                            ',732.110,17.4800,39.04,3.670,6.58,93.8,-38.8,3.850
11,'PR3121','OP1889                                            ',561.680,75.1900,5.83,47.650,8.24,236.2,-37.5,0.340
12,'PR9406','OP4155                                            ',767.530,12.6100,32.01,9.910,7.72,245.4,-28.6,1.500
13,'PR2333','OP8361                                            ',766.920,48.7700,21.81,45.250,47.97,111.0,-18.4,3.460
14,'PR9376','OP3580                                            ',871.530,51.1000,27.07,15.210,47.64,267.0,-24.8,7.730
15,'PR7339','OP1839                                            ',732.700,81.4300,35.57,20.380,27.20,190.3,25.1,4.130
16,'PR9357','OP1253                                            ',710.340,86.2800,0.22,35.940,16.46,52.0,-28.1,5.510
17,'PR7584','OP4990                                            ',535.550,42.7700,21.11,47.570,8.00,30.8,25.8,1.900
18,'PR6454','OP2945                                            ',355.680,29.9600,36.06,5.150,38.31,169.1,32.4,6.060
19,'PR2146','OP5885                                            ',162.550,55.7500,0.69,37.180,8.58,101.1,31.3,5.340
20,'PR3869','OP4112                                            ',939.890,55.1200,6.57,20.610,18.21,282.5,35.6,3.570
21,'PR3095','OP3187                                            ',543.990,82.0100,36.07,37.870,3.68,30.9,-11.4,4.590
22,'PR7683','OP4625                                            ',115.270,92.2800,45.72,27.510,20.64,214.0,30.3,8.520
23,'PR6188','OP2248                                            ',870.210,66.2400,44.40,1.980,25.83,256.4,27.1,7.420
24,'PR5495','OP9740                                            ',425.280,84.9000,49.12,23.910,38.55,117.5,-42.0,3.800
25,'PR8955','OP2674                                            ',108.110,11.8200,5.94,45.910,11.26,64.9,14.3,7.880
26,'PR3090','OP1706                                            ',298.620,41.9100,43.68,32.780,17.79,198.0,-0.7,6.220
27,'PR1681','OP5363                                            ',812.310,13.8300,39.51,38.010,10.73,295.9,2.5,1.440
28,'PR2428','OP3673                                            ',697.750,60.9800,43.18,5.940,47.98,119.9,-12.3,2.240
29,'PR2498','OP7322                                            ',829.460,69.5500,5.83,26.400,28.72,171.5,27.3,9.650
30,'PR5932','OP8638                                            ',389.330,38.8700,8.04,26.610,38.18,326.4,6.8,1.010
31,'PR9945','OP3830                                            ',868.790,50.5800,49.97,6.980,20.14,105.9,-26.4,4.480
32,'PR1389','OP2393                                            ',45.730,47.9300,26.64,27.480,44.43,301.5,-35.4,6.680
33,'PR9547','OP1178                                            ',29.580,49.3500,28.16,11.060,37.43,140.4,27.6,0.900
34,'PR1596','OP1307                                            ',951.750,12.9800,24.42,33.880,44.03,41.1,2.2,1.730
35,'PR8754','OP7404                                            ',529.350,59.5400,48.87,1.050,38.21,11.2,21.0,7.480
36,'PR8289','OP7674                                            ',7.630,34.0100,34.32,35.420,3.39,222.3,5.6,1.620
37,'PR6209','OP1134                                            ',465.090,11.5600,41.97,27.660,5.80,123.9,-43.4,1.000
38,'PR9479','OP1624                                            ',465.340,22.0700,6.41,30.490,43.61,43.9,-22.1,9.920
39,'PR7662','OP2270                                            ',384.570,98.4400,3.73,19.150,5.57,274.9,-3.6,0.650
40,'PR1309','OP8901                                            ',577.840,66.4000,3.44,31.130,4.08,124.3,-29.3,0.510
41,'PR5272','OP1401                                            ',233.940,14.3200,13.26,10.610,34.12,338.8,-25.0,2.500
42,'PR8590','OP8401                                            ',904.520,60.0400,30.47,0.610,13.02,244.1,44.0,0.690
43,'PR9219','OP9056                                            ',294.670,11.0300,10.67,7.010,44.57,181.2,44.9,1.350
44,'PR3173','OP2563                                            ',235.760,7.3000,3.11,28.110,28.32,334.6,-10.6,7.040
45,'PR9538','OP7661                                            ',976.280,7.1900,33.93,15.930,6.92,137.9,-20.3,3.940
46,'PR5005','OP7237                                            ',982.800,32.2800,36.12,15.010,47.92,179.7,-31.6,3.870
47,'PR2607','OP1309                                            ',833.010,28.9600,35.78,35.360,21.54,55.7,-12.3,1.300
48,'PR1355','OP8437                                            ',997.780,66.3700,46.51,4.850,30.17,193.5,-40.7,3.170
49,'PR8337','OP1492                                            ',702.350,76.4200,32.82,0.330,22.78,198.6,2.6,6.250
50,'PR8571','OP9016                                            ',86.950,21.3900,36.51,28.470,27.51,293.5,-14.5,9.090
51,'PR8962','OP7469                                            ',104.120,57.7700,2.06,0.690,38.20,209.6,12.1,6.600
52,'PR4597','OP9350                                            ',826.240,79.5200,5.34,17.710,26.18,185.6,-18.5,7.200
53,'PR3860','OP9288                                            ',409.700,98.2600,20.99,21.860,19.31,262.3,5.3,4.070
54,'PR2157','OP5106                                            ',402.910,28.9400,34.90,17.800,6.11,268.5,-21.3,5.550
