1,'SC9016','SN20065                                           ',25.30,60.40,86054,NULL,NULL,'Disconnected','80% ',248
2,'SC9081','SN29799                                           ',8.80,32.90,51271,NULL,NULL,'Connected','60% ',874
3,'SC4817','SN83019                                           ',-3.90,72.60,21889,'Poor','Fixed','Disconnected','80% ',750
4,'SC4082','SN60801                                           ',27.70,41.30,12381,'Poor',NULL,'Connected','80% ',923
5,'SC3155','SN64520                                           ',38.80,75.70,29553,'Excellent','Float','Connected','90% ',162
6,'SC1822','SN83581                                           ',34.60,65.10,85975,'Poor','Fixed','Disconnected','60% ',855
7,'SC6676','SN41462                                           ',-8.10,20.60,88256,'Excellent',NULL,'Connected','90% ',923
8,'SC4460','SN48095                                           ',28.50,60.90,51913,NULL,'Float','Connected','70% ',181
9,'SC2917','SN34587                                           ',3.50,65.40,76241,'Excellent','Fixed','Disconnected','70% ',936
10,'SC5714','SN87691                                           ',37.80,82.90,97373,NULL,'Float','Limited','70% ',744
11,'SC4539','SN79410                                           ',16.90,60.60,65864,'Excellent','Fixed','Disconnected','60% ',117
12,'SC2451','SN87470                                           ',20.00,84.50,59277,'Excellent','Fixed','Disconnected','60% ',513
13,'SC8954','SN78027                                           ',28.30,37.00,15281,'Good','Float','Connected','90% ',233
14,'SC7572','SN83894                                           ',1.40,42.60,84841,'Poor','Float','Connected','90% ',366
15,'SC1518','SN46046                                           ',30.30,62.80,7300,'Excellent','Fixed','Disconnected','70% ',849
16,'SC1379','SN43242                                           ',16.70,35.50,90784,'Poor','Fixed','Disconnected','60% ',561
17,'SC3866','SN31117                                           ',17.00,38.60,53977,'Good','Float','Connected','60% ',876
18,'SC7009','SN31469                                           ',3.00,41.60,74590,NULL,NULL,'Limited','70% ',878
19,'SC6604','SN97840                                           ',19.90,33.30,19899,'Excellent','Float','Limited','80% ',561
20,'SC3210','SN75769                                           ',-8.60,81.10,18072,'Excellent',NULL,'Connected','70% ',568
