1,'OP4641                                            ','PR7509',2.40,42812,91.2,46562436,9449,31.3,1.318,11.0
2,'OP8435                                            ','PR8078',4.72,974154,84.7,73534012,431,48.6,1.788,65.4
3,'OP7199                                            ','PR9973',4.90,934361,98.1,87734478,1746,31.7,1.790,53.8
4,'OP5563                                            ','PR8865',1.41,411433,88.3,40047207,7553,39.9,1.041,67.4
5,'OP4778                                            ','PR8235',3.34,855156,88.8,34747634,7282,55.6,1.829,18.5
6,'OP2782                                            ','PR2658',0.89,853420,95.4,41958825,2301,68.4,1.802,24.1
7,'OP2517                                            ','PR5905',4.31,607189,96.3,39897967,3515,54.2,0.984,72.6
8,'OP6148                                            ','PR3991',4.34,160745,80.3,5506524,7523,65.4,0.297,85.6
9,'OP5384                                            ','PR3061',0.62,968441,94.7,33354588,1038,44.5,0.928,46.1
10,'OP4209                                            ','PR9095',2.07,371918,81.0,95581765,2435,66.3,1.113,58.9
11,'OP1889                                            ','PR3121',4.39,351519,82.6,27848136,1497,58.7,1.177,63.5
12,'OP4155                                            ','PR9406',0.47,151355,89.8,75398314,8481,65.3,0.986,20.9
13,'OP8361                                            ','PR2333',2.83,46957,94.6,71152937,2570,42.5,1.563,22.8
14,'OP3580                                            ','PR9376',3.32,370631,92.9,11554033,7368,39.4,0.785,14.4
15,'OP1839                                            ','PR7339',1.69,297077,94.9,47017831,7692,65.9,0.613,66.2
16,'OP1253                                            ','PR9357',3.61,568859,87.4,92163789,5347,51.0,1.418,3.4
17,'OP4990                                            ','PR7584',1.98,614291,93.4,30815782,701,65.5,0.480,64.9
18,'OP2945                                            ','PR6454',4.38,184141,90.2,46173650,6736,46.7,1.458,16.9
19,'OP5885                                            ','PR2146',4.90,429343,93.4,7976415,6543,54.3,0.119,25.6
20,'OP4112                                            ','PR3869',2.31,424923,94.5,88117449,1118,47.1,1.757,7.6
21,'OP3187                                            ','PR3095',1.43,185056,99.6,14784455,6161,47.9,0.064,98.0
22,'OP4625                                            ','PR7683',0.40,406529,83.4,57118665,7897,64.5,1.724,23.1
23,'OP2248                                            ','PR6188',2.69,694477,87.6,91357421,7309,41.9,0.521,97.0
24,'OP9740                                            ','PR5495',1.66,660332,95.7,71683198,6105,39.6,0.399,54.4
