1,'OP4641                                            ','PR7509',0.840,'40','73','Hybrid','Matrix-47','Cloud-to-Mesh',6.962
2,'OP8435                                            ','PR8078',3.440,'21','6','Target-based','Matrix-712','Cloud-to-Mesh',4.442
3,'OP7199                                            ','PR9973',3.950,'25','84','Hybrid','Matrix-113','Cloud-to-Cloud',6.069
4,'OP5563                                            ','PR8865',0.170,'31','99','Hybrid','Matrix-543','RMSE',2.963
5,'OP4778                                            ','PR8235',4.180,'7','43','Target-based','Matrix-92','Cloud-to-Mesh',5.727
6,'OP2782                                            ','PR2658',4.550,'35','85','Target-based','Matrix-33','Cloud-to-Cloud',2.923
7,'OP2517                                            ','PR5905',4.460,'21','13','Hybrid','Matrix-521','Cloud-to-Cloud',3.790
8,'OP6148                                            ','PR3991',1.760,'42','85','Target-based','Matrix-957','RMSE',7.002
9,'OP5384                                            ','PR3061',4.590,'35','76','Target-based','Matrix-507','Cloud-to-Cloud',0.362
10,'OP4209                                            ','PR9095',0.990,'33','22','Feature-based','Matrix-543','Cloud-to-Mesh',4.480
11,'OP1889                                            ','PR3121',4.530,'14','39','Target-based','Matrix-566','Cloud-to-Mesh',1.142
12,'OP4155                                            ','PR9406',3.740,'21','38','Feature-based','Matrix-676','Cloud-to-Mesh',3.122
13,'OP8361                                            ','PR2333',4.240,'49','28','Target-based','Matrix-92','Cloud-to-Cloud',4.071
14,'OP3580                                            ','PR9376',2.730,'12','22','Target-based','Matrix-318','Cloud-to-Mesh',8.476
15,'OP1839                                            ','PR7339',0.660,'16','20','Target-based','Matrix-910','Cloud-to-Mesh',0.872
16,'OP1253                                            ','PR9357',1.140,'32','78','Feature-based','Matrix-982','RMSE',7.925
17,'OP4990                                            ','PR7584',1.760,'26','12','Target-based','Matrix-921','Cloud-to-Mesh',9.938
18,'OP2945                                            ','PR6454',4.440,'36','33','Target-based','Matrix-258','Cloud-to-Mesh',0.728
19,'OP5885                                            ','PR2146',1.490,'49','40','Hybrid','Matrix-173','Cloud-to-Mesh',2.257
20,'OP4112                                            ','PR3869',0.400,'33','29','Target-based','Matrix-535','Cloud-to-Cloud',3.104
21,'OP3187                                            ','PR3095',3.810,'34','32','Hybrid','Matrix-199','RMSE',6.717
22,'OP4625                                            ','PR7683',0.730,'41','25','Feature-based','Matrix-837','RMSE',8.712
23,'OP2248                                            ','PR6188',0.890,'7','36','Target-based','Matrix-390','RMSE',2.229
24,'OP9740                                            ','PR5495',4.780,'34','100','Target-based','Matrix-199','RMSE',9.290
25,'OP2674                                            ','PR8955',1.020,'9','9','Target-based','Matrix-186','RMSE',3.722
26,'OP1706                                            ','PR3090',4.830,'17','46','Hybrid','Matrix-112','RMSE',2.710
27,'OP5363                                            ','PR1681',0.930,'3','36','Target-based','Matrix-225','RMSE',5.530
28,'OP3673                                            ','PR2428',2.310,'24','82','Target-based','Matrix-929','Cloud-to-Mesh',7.948
29,'OP7322                                            ','PR2498',4.100,'12','11','Feature-based','Matrix-653','RMSE',0.608
30,'OP8638                                            ','PR5932',4.320,'20','100','Feature-based','Matrix-668','RMSE',1.104
31,'OP3830                                            ','PR9945',4.660,'29','66','Target-based','Matrix-533','Cloud-to-Mesh',1.002
32,'OP2393                                            ','PR1389',4.950,'27','13','Feature-based','Matrix-931','Cloud-to-Mesh',9.084
33,'OP1178                                            ','PR9547',4.270,'17','59','Feature-based','Matrix-518','Cloud-to-Cloud',7.054
34,'OP1307                                            ','PR1596',2.280,'36','7','Hybrid','Matrix-150','RMSE',6.073
35,'OP7404                                            ','PR8754',0.950,'9','66','Feature-based','Matrix-853','Cloud-to-Mesh',5.908
36,'OP7674                                            ','PR8289',4.450,'40','22','Target-based','Matrix-765','Cloud-to-Cloud',1.285
37,'OP1134                                            ','PR6209',4.810,'13','91','Feature-based','Matrix-914','RMSE',0.670
38,'OP1624                                            ','PR9479',0.820,'28','84','Feature-based','Matrix-376','RMSE',3.585
39,'OP2270                                            ','PR7662',2.300,'27','55','Hybrid','Matrix-718','RMSE',6.413
40,'OP8901                                            ','PR1309',4.110,'28','60','Hybrid','Matrix-152','Cloud-to-Mesh',7.640
41,'OP1401                                            ','PR5272',2.450,'12','55','Hybrid','Matrix-570','Cloud-to-Cloud',9.358
42,'OP8401                                            ','PR8590',1.090,'37','56','Target-based','Matrix-822','Cloud-to-Mesh',1.165
43,'OP9056                                            ','PR9219',4.800,'7','64','Target-based','Matrix-864','RMSE',9.559
44,'OP2563                                            ','PR3173',0.480,'8','71','Feature-based','Matrix-467','Cloud-to-Cloud',3.697
45,'OP7661                                            ','PR9538',2.070,'34','87','Feature-based','Matrix-372','Cloud-to-Cloud',2.308
46,'OP7237                                            ','PR5005',2.230,'43','98','Feature-based','Matrix-938','Cloud-to-Cloud',2.891
47,'OP1309                                            ','PR2607',1.190,'30','15','Target-based','Matrix-914','RMSE',2.679
48,'OP8437                                            ','PR1355',4.370,'3','70','Target-based','Matrix-749','Cloud-to-Cloud',7.224
49,'OP1492                                            ','PR8337',2.780,'48','18','Feature-based','Matrix-117','Cloud-to-Cloud',9.231
50,'OP9016                                            ','PR8571',3.010,'48','40','Feature-based','Matrix-627','Cloud-to-Mesh',9.210
51,'OP7469                                            ','PR8962',3.470,'32','54','Feature-based','Matrix-926','Cloud-to-Cloud',5.149
52,'OP9350                                            ','PR4597',1.700,'36','78','Feature-based','Matrix-532','RMSE',1.926
53,'OP9288                                            ','PR3860',3.180,'34','83','Feature-based','Matrix-108','Cloud-to-Cloud',8.968
54,'OP5106                                            ','PR2157',3.140,'16','21','Feature-based','Matrix-41','Cloud-to-Cloud',6.273
55,'OP4848                                            ','PR4403',0.340,'35','60','Hybrid','Matrix-46','Cloud-to-Cloud',5.611
56,'OP3455                                            ','PR4851',0.610,'50','18','Hybrid','Matrix-328','RMSE',8.822
57,'OP5254                                            ','PR7947',2.960,'24','19','Target-based','Matrix-297','Cloud-to-Mesh',1.279
58,'OP9842                                            ','PR4954',3.890,'46','60','Feature-based','Matrix-441','RMSE',1.749
59,'OP5653                                            ','PR8536',0.520,'19','17','Hybrid','Matrix-800','Cloud-to-Mesh',5.425
60,'OP4312                                            ','PR6787',0.290,'11','68','Feature-based','Matrix-943','RMSE',8.097
61,'OP8307                                            ','PR9481',4.060,'18','33','Feature-based','Matrix-634','RMSE',4.436
62,'OP6044                                            ','PR8507',0.480,'46','35','Feature-based','Matrix-730','Cloud-to-Mesh',7.802
63,'OP2863                                            ','PR8496',2.210,'17','87','Feature-based','Matrix-422','RMSE',7.322
64,'OP2623                                            ','PR3084',2.670,'34','72','Feature-based','Matrix-170','RMSE',7.537
65,'OP5247                                            ','PR4058',3.860,'26','98','Feature-based','Matrix-668','Cloud-to-Cloud',4.163
