1,'PR7509','OP4641                                            ','Not Required','Pending                                           ','Automated','Rejected','Verified','Draft','Reserved                                          ','Citation-8447',NULL
2,'PR8078','OP8435                                            ','Completed','Pending                                           ','Visual','Rejected','Verified','Submitted','Open Access                                       ','Citation-6197',NULL
3,'PR9973','OP7199                                            ','Pending','Failed                                            ','Visual','Approved','Pending','Draft','Open Access                                       ','Citation-8090','Sell shoulder understand serious degree particular game.'
4,'PR8865','OP5563                                            ','Pending','Pending                                           ','Automated','Approved','Verified','Submitted','Restricted                                        ','Citation-2238','Bed something performance leader realize.'
5,'PR8235','OP4778                                            ','Completed','Pending                                           ','Visual','Approved','Completed','Submitted','Reserved                                          ','Citation-6876',NULL
6,'PR2658','OP2782                                            ','Not Required','Failed                                            ','Automated','Pending','Completed','Published','Reserved                                          ','Citation-3221','Staff these range miss.'
7,'PR5905','OP2517                                            ','Not Required','Pending                                           ','Visual','Approved','Verified','Draft','Reserved                                          ','Citation-8597',NULL
8,'PR3991','OP6148                                            ','Completed','Pending                                           ','Hybrid','Pending','Verified','Draft','Open Access                                       ','Citation-7910',NULL
9,'PR3061','OP5384                                            ','Completed','Pending                                           ','Automated','Pending','Verified','Published','Open Access                                       ','Citation-5119','Value most court history power animal.'
10,'PR9095','OP4209                                            ','Completed','Pending                                           ','Automated','Pending','Verified','Submitted','Reserved                                          ','Citation-8260',NULL
11,'PR3121','OP1889                                            ','Pending','Pending                                           ','Visual','Approved','Completed','Submitted','Reserved                                          ','Citation-9944',NULL
12,'PR9406','OP4155                                            ','Completed','Pending                                           ','Hybrid','Rejected','Verified','Draft','Reserved                                          ','Citation-5923',NULL
13,'PR2333','OP8361                                            ','Pending','Pending                                           ','Hybrid','Approved','Verified','Submitted','Open Access                                       ','Citation-2378',NULL
14,'PR9376','OP3580                                            ','Pending','Failed                                            ','Hybrid','Rejected','Pending','Draft','Open Access                                       ','Citation-2553',NULL
15,'PR7339','OP1839                                            ','Not Required','Failed                                            ','Visual','Rejected','Pending','Submitted','Restricted                                        ','Citation-8025','Fast indeed environmental hand chance.'
16,'PR9357','OP1253                                            ','Pending','Passed                                            ','Hybrid','Approved','Pending','Published','Reserved                                          ','Citation-2472','Drug rest away school trial general.'
17,'PR7584','OP4990                                            ','Not Required','Passed                                            ','Automated','Approved','Verified','Submitted','Restricted                                        ','Citation-7253','Some or around leave economic.'
18,'PR6454','OP2945                                            ','Not Required','Pending                                           ','Hybrid','Approved','Verified','Draft','Open Access                                       ','Citation-1508','Bag admit continue.'
19,'PR2146','OP5885                                            ','Completed','Pending                                           ','Hybrid','Pending','Verified','Draft','Restricted                                        ','Citation-4190','Include garden fear concern popular.'
20,'PR3869','OP4112                                            ','Not Required','Passed                                            ','Automated','Rejected','Pending','Published','Restricted                                        ','Citation-8156',NULL
21,'PR3095','OP3187                                            ','Completed','Passed                                            ','Visual','Approved','Completed','Draft','Reserved                                          ','Citation-9262',NULL
22,'PR7683','OP4625                                            ','Completed','Pending                                           ','Visual','Pending','Pending','Draft','Restricted                                        ','Citation-5554',NULL
23,'PR6188','OP2248                                            ','Not Required','Pending                                           ','Automated','Rejected','Pending','Published','Open Access                                       ','Citation-5392','Risk crime outside task.'
24,'PR5495','OP9740                                            ','Pending','Pending                                           ','Automated','Pending','Verified','Draft','Restricted                                        ','Citation-9570',NULL
25,'PR8955','OP2674                                            ','Not Required','Failed                                            ','Visual','Pending','Pending','Published','Reserved                                          ','Citation-2852',NULL
26,'PR3090','OP1706                                            ','Completed','Passed                                            ','Automated','Rejected','Completed','Published','Open Access                                       ','Citation-8919',NULL
27,'PR1681','OP5363                                            ','Pending','Passed                                            ','Hybrid','Rejected','Completed','Draft','Restricted                                        ','Citation-4566',NULL
28,'PR2428','OP3673                                            ','Not Required','Passed                                            ','Automated','Rejected','Pending','Published','Open Access                                       ','Citation-6676',NULL
29,'PR2498','OP7322                                            ','Completed','Pending                                           ','Visual','Rejected','Completed','Draft','Open Access                                       ','Citation-3117','Democrat fight give lose performance ago.'
30,'PR5932','OP8638                                            ','Not Required','Pending                                           ','Hybrid','Rejected','Verified','Published','Reserved                                          ','Citation-3676','Hair make wear whom huge.'
31,'PR9945','OP3830                                            ','Completed','Pending                                           ','Visual','Approved','Verified','Draft','Open Access                                       ','Citation-7629',NULL
32,'PR1389','OP2393                                            ','Pending','Passed                                            ','Automated','Rejected','Verified','Published','Restricted                                        ','Citation-2456',NULL
33,'PR9547','OP1178                                            ','Completed','Failed                                            ','Visual','Pending','Completed','Published','Reserved                                          ','Citation-2446',NULL
34,'PR1596','OP1307                                            ','Pending','Passed                                            ','Automated','Pending','Pending','Submitted','Reserved                                          ','Citation-2761',NULL
35,'PR8754','OP7404                                            ','Not Required','Failed                                            ','Hybrid','Rejected','Verified','Draft','Open Access                                       ','Citation-1951',NULL
36,'PR8289','OP7674                                            ','Completed','Pending                                           ','Automated','Pending','Pending','Submitted','Open Access                                       ','Citation-6013','Certainly win perform feeling.'
