'ASD409481','2024-09-03 07:20:28.479','PR7509','OP4641                                            ','SC9016',5,'Windy','RGB','PTS ',24.71,3.22,63.00
'ASD648638','2024-07-27 08:52:12.479','PR8078','OP8435                                            ','SC9081',2,'Rainy','RGB','PLY ',21.63,6.86,240.00
'ASD535327','2025-01-24 12:45:10.479','PR9973','OP7199                                            ','SC4817',7,'Windy','RGB','PLY ',41.48,4.20,37.00
'ASD213501','2024-04-23 18:04:33.479','PR8865','OP5563                                            ','SC4082',10,'Cloudy',NULL,'OBJ ',6.50,3.20,188.00
'ASD387860','2024-12-31 01:19:03.480','PR8235','OP4778                                            ','SC3155',20,'Cloudy','RGB','PLY ',18.47,2.64,168.00
'ASD777395','2024-07-27 06:33:39.480','PR2658','OP2782                                            ','SC1822',14,'Cloudy',NULL,'OBJ ',47.42,4.40,166.00
'ASD641770','2025-02-01 08:35:16.480','PR5905','OP2517                                            ','SC6676',13,'Cloudy','RGB','E57 ',30.16,7.53,153.00
'ASD700881','2024-04-23 13:54:31.480','PR3991','OP6148                                            ','SC4460',9,'Clear','RGB','LAS ',0.18,9.99,185.00
'ASD339450','2024-11-21 05:52:52.480','PR3061','OP5384                                            ','SC2917',4,'Cloudy','RGB','PLY ',7.57,4.71,12.00
'ASD203314','2024-03-30 17:50:19.481','PR9095','OP4209                                            ','SC5714',5,'Windy','Grayscale','LAS ',22.67,8.98,162.00
'ASD800258','2025-01-06 18:53:01.481','PR3121','OP1889                                            ','SC4539',13,'Clear','Grayscale','LAS ',39.20,9.36,202.00
'ASD369689','2024-06-06 23:44:39.481','PR9406','OP4155                                            ','SC2451',16,'Rainy',NULL,'E57 ',1.65,9.46,64.00
'ASD602214','2024-10-12 13:04:17.482','PR2333','OP8361                                            ','SC8954',3,'Rainy','Grayscale','LAS ',18.82,3.78,200.00
'ASD612942','2024-05-19 19:23:13.482','PR9376','OP3580                                            ','SC7572',3,'Clear',NULL,'E57 ',15.86,5.77,132.00
'ASD934058','2024-04-15 21:34:47.482','PR7339','OP1839                                            ','SC1518',5,'Rainy','RGB','E57 ',27.68,5.46,92.00
'ASD240584','2024-04-12 05:25:09.482','PR9357','OP1253                                            ','SC1379',10,'Clear','Grayscale','PLY ',12.63,6.82,53.00
'ASD780491','2024-03-26 17:13:22.483','PR7584','OP4990                                            ','SC3866',13,'Windy',NULL,'PLY ',32.05,3.98,38.00
'ASD354799','2024-07-02 08:25:30.483','PR6454','OP2945                                            ','SC7009',17,'Clear','RGB','PLY ',16.66,7.99,158.00
'ASD863846','2024-02-25 16:20:13.483','PR2146','OP5885                                            ','SC6604',6,'Cloudy','Grayscale','PTS ',41.25,6.44,6.00
'ASD765757','2024-12-18 20:07:27.483','PR3869','OP4112                                            ','SC3210',3,'Rainy',NULL,'PLY ',17.62,4.41,29.00
'ASD305869','2024-09-25 17:39:40.483','PR3095','OP3187                                            ','SC9774',16,'Rainy',NULL,'LAS ',2.09,3.55,27.00
'ASD947018','2024-07-03 10:21:00.483','PR7683','OP4625                                            ','SC1988',4,'Rainy','RGB','OBJ ',14.46,9.96,36.00
'ASD814424','2024-06-16 11:58:35.484','PR6188','OP2248                                            ','SC9214',16,'Clear','RGB','OBJ ',28.37,3.59,86.00
