1,'SC9016','SN20065                                           ',7234721,5997318,3.20,'2K',2048,'Medium',2.740
2,'SC9081','SN29799                                           ',2361491,7708278,9.79,'2K',8192,'High',3.790
3,'SC4817','SN83019                                           ',542100,1973487,2.33,'1K',4096,'Low',0.480
4,'SC4082','SN60801                                           ',5250157,8715696,3.76,'4K',4096,'Medium',4.270
5,'SC3155','SN64520                                           ',6976598,2296820,0.66,'2K',8192,'High',4.890
6,'SC1822','SN83581                                           ',8344004,8467985,0.62,'2K',1024,'Low',2.930
7,'SC6676','SN41462                                           ',5525094,976471,4.68,'4K',2048,'High',3.370
8,'SC4460','SN48095                                           ',6520479,3499732,4.84,'2K',4096,'Low',1.900
9,'SC2917','SN34587                                           ',3340798,9046679,3.16,NULL,2048,'Medium',0.560
10,'SC5714','SN87691                                           ',1544275,8841518,4.99,'1K',4096,'High',1.840
11,'SC4539','SN79410                                           ',1403468,5035555,7.43,'4K',1024,'Low',1.280
12,'SC2451','SN87470                                           ',8655388,776191,2.39,'1K',2048,'Medium',0.920
13,'SC8954','SN78027                                           ',9284826,5846380,2.56,'1K',2048,'Low',1.110
14,'SC7572','SN83894                                           ',6258641,9826745,9.94,'1K',8192,'Low',1.190
15,'SC1518','SN46046                                           ',1011255,7924856,7.43,'4K',4096,'Medium',3.800
16,'SC1379','SN43242                                           ',911453,8550698,4.63,'2K',4096,'Low',0.470
17,'SC3866','SN31117                                           ',2854049,2369244,2.23,NULL,1024,'High',4.960
18,'SC7009','SN31469                                           ',4699302,6240177,6.69,'4K',8192,'Medium',1.470
19,'SC6604','SN97840                                           ',8395739,9371244,2.52,NULL,4096,'High',2.630
20,'SC3210','SN75769                                           ',362855,7920740,0.17,'1K',1024,'Low',0.390
21,'SC9774','SN83255                                           ',4074306,1569699,9.95,'2K',1024,'Medium',3.510
22,'SC1988','SN75862                                           ',156402,2714049,5.91,'4K',8192,'Medium',3.120
23,'SC9214','SN97121                                           ',6574248,9302345,5.42,'2K',4096,'Medium',3.920
24,'SC9095','SN42363                                           ',3744453,1558630,7.32,NULL,1024,'High',1.690
25,'SC8649','SN28477                                           ',4360831,1021659,2.67,'1K',1024,'High',1.190
26,'SC3294','SN89848                                           ',8973219,1176620,3.25,'2K',2048,'Medium',2.650
27,'SC8072','SN62888                                           ',3671067,7635685,3.91,'1K',1024,'Low',1.650
28,'SC4716','SN68545                                           ',4263244,9342894,9.39,NULL,8192,'High',0.840
29,'SC4554','SN90174                                           ',4675935,2103788,2.31,'4K',2048,'Low',3.820
30,'SC8070','SN38132                                           ',178303,1160613,9.93,'2K',8192,'High',1.120
31,'SC5229','SN22973                                           ',232485,8961133,2.96,'1K',1024,'Medium',3.960
32,'SC4383','SN24574                                           ',4281045,6430227,7.71,NULL,8192,'Medium',1.560
33,'SC5700','SN90619                                           ',9610126,4714901,2.44,NULL,4096,'Low',2.540
34,'SC2706','SN72615                                           ',1333020,7840219,7.38,'4K',1024,'Medium',4.890
35,'SC7359','SN71277                                           ',2506699,1854840,1.73,'4K',4096,'Medium',0.680
36,'SC3547','SN37681                                           ',8066510,5980131,6.91,'4K',1024,'Medium',2.770
37,'SC7338','SN14701                                           ',7260356,4661774,5.91,NULL,8192,'High',4.940
38,'SC7910','SN95616                                           ',7602473,5979343,5.54,'1K',1024,'Medium',2.200
39,'SC5517','SN72117                                           ',7931866,6724031,9.21,'4K',4096,'Medium',3.380
40,'SC5078','SN88704                                           ',4395450,4203303,6.64,'4K',4096,'High',0.930
41,'SC5556','SN24161                                           ',3460307,4186762,0.14,'1K',4096,'High',2.310
42,'SC5402','SN10578                                           ',7520180,6026226,7.66,'4K',4096,'High',2.250
43,'SC2659','SN61385                                           ',4359890,9267050,1.94,'4K',2048,'Medium',1.530
44,'SC8711','SN36678                                           ',4612448,5463000,8.32,'2K',2048,'Low',1.210
45,'SC2985','SN29375                                           ',410338,6612506,7.78,'1K',8192,'High',4.890
46,'SC3947','SN65941                                           ',9891319,6857945,4.10,'2K',2048,'High',1.180
47,'SC4792','SN78173                                           ',1876193,3745566,3.14,NULL,1024,'Medium',4.470
48,'SC3211','SN67670                                           ',535143,7458954,8.50,'2K',1024,'Low',3.440
49,'SC9995','SN34192                                           ',304320,2645343,8.64,NULL,4096,'Low',4.590
50,'SC1544','SN23998                                           ',303979,6725553,6.39,'2K',8192,'High',2.600
51,'SC5656','SN83806                                           ',9727065,3630504,2.68,'1K',8192,'Low',3.230
52,'SC2610','SN98522                                           ',5443952,5752245,5.80,NULL,4096,'Low',3.990
53,'SC1629','SN45117                                           ',2102350,8929531,5.88,'2K',4096,'High',1.280
54,'SC4052','SN91867                                           ',4463060,4747521,3.15,NULL,2048,'Low',1.380
55,'SC9222','SN20456                                           ',8006161,1727318,0.78,NULL,8192,'Low',3.710
56,'SC8923','SN48461                                           ',8449987,5431666,1.71,NULL,4096,'High',1.190
57,'SC4589','SN67130                                           ',7205383,6200326,4.95,'1K',1024,'Medium',4.670
