1,'SC9016','SN20065                                           ','Manual',516,71,'Artifact','Organic','Partial','Partial','Not Required'
2,'SC9081','SN29799                                           ','Semi-automatic',899,22,'Complex','Metal','Partial','Not Required','Partial'
3,'SC4817','SN83019                                           ','Manual',103,69,'Complex','Ceramic','Completed','Partial','Not Required'
4,'SC4082','SN60801                                           ','Automatic',820,8,'Wall','Mixed','Not Required','Completed','Completed'
5,'SC3155','SN64520                                           ','Automatic',160,31,'Floor','Ceramic','Not Required','Partial','Partial'
6,'SC1822','SN83581                                           ','Manual',869,74,'Wall','Ceramic','Partial','Partial','Partial'
7,'SC6676','SN41462                                           ','Semi-automatic',662,86,'Foundation','Stone','Partial','Partial','Partial'
8,'SC4460','SN48095                                           ','Manual',16,16,'Foundation','Ceramic','Partial','Partial','Partial'
9,'SC2917','SN34587                                           ','Automatic',346,3,'Artifact','Stone','Partial','Not Required','Completed'
10,'SC5714','SN87691                                           ','Manual',938,55,'Complex','Stone','Partial','Not Required','Not Required'
11,'SC4539','SN79410                                           ','Manual',51,46,'Foundation','Metal','Partial','Not Required','Completed'
12,'SC2451','SN87470                                           ','Semi-automatic',309,79,'Wall','Mixed','Not Required','Completed','Partial'
13,'SC8954','SN78027                                           ','Automatic',397,57,'Wall','Stone','Completed','Partial','Completed'
14,'SC7572','SN83894                                           ','Semi-automatic',310,89,'Foundation','Ceramic','Partial','Partial','Partial'
15,'SC1518','SN46046                                           ','Manual',680,2,'Complex','Stone','Partial','Not Required','Partial'
16,'SC1379','SN43242                                           ','Automatic',625,52,'Floor','Organic','Completed','Partial','Not Required'
17,'SC3866','SN31117                                           ','Automatic',890,27,'Floor','Ceramic','Not Required','Completed','Not Required'
18,'SC7009','SN31469                                           ','Manual',898,86,'Complex','Metal','Completed','Partial','Completed'
19,'SC6604','SN97840                                           ','Manual',527,83,'Complex','Ceramic','Not Required','Completed','Partial'
20,'SC3210','SN75769                                           ','Manual',552,91,'Wall','Organic','Partial','Completed','Not Required'
21,'SC9774','SN83255                                           ','Semi-automatic',844,92,'Artifact','Stone','Partial','Partial','Partial'
22,'SC1988','SN75862                                           ','Semi-automatic',688,45,'Complex','Organic','Not Required','Completed','Completed'
23,'SC9214','SN97121                                           ','Automatic',355,83,'Foundation','Stone','Not Required','Not Required','Partial'
24,'SC9095','SN42363                                           ','Semi-automatic',814,49,'Foundation','Stone','Completed','Partial','Partial'
25,'SC8649','SN28477                                           ','Semi-automatic',330,48,'Artifact','Mixed','Not Required','Partial','Not Required'
26,'SC3294','SN89848                                           ','Automatic',203,64,'Floor','Stone','Completed','Completed','Not Required'
27,'SC8072','SN62888                                           ','Manual',112,35,'Foundation','Stone','Partial','Completed','Partial'
28,'SC4716','SN68545                                           ','Semi-automatic',430,65,'Foundation','Ceramic','Not Required','Not Required','Not Required'
29,'SC4554','SN90174                                           ','Automatic',292,90,'Floor','Metal','Partial','Partial','Not Required'
30,'SC8070','SN38132                                           ','Automatic',927,32,'Floor','Organic','Completed','Not Required','Partial'
31,'SC5229','SN22973                                           ','Manual',257,16,'Complex','Ceramic','Partial','Not Required','Partial'
32,'SC4383','SN24574                                           ','Semi-automatic',180,18,'Artifact','Ceramic','Completed','Not Required','Not Required'
33,'SC5700','SN90619                                           ','Manual',358,5,'Wall','Metal','Partial','Completed','Not Required'
34,'SC2706','SN72615                                           ','Manual',539,18,'Artifact','Ceramic','Completed','Partial','Completed'
35,'SC7359','SN71277                                           ','Manual',103,38,'Artifact','Metal','Partial','Completed','Partial'
36,'SC3547','SN37681                                           ','Manual',244,64,'Artifact','Mixed','Not Required','Partial','Partial'
37,'SC7338','SN14701                                           ','Manual',548,90,'Floor','Stone','Not Required','Not Required','Not Required'
38,'SC7910','SN95616                                           ','Manual',22,37,'Complex','Ceramic','Completed','Completed','Partial'
39,'SC5517','SN72117                                           ','Semi-automatic',786,37,'Complex','Ceramic','Completed','Partial','Partial'
40,'SC5078','SN88704                                           ','Semi-automatic',484,10,'Floor','Metal','Partial','Partial','Partial'
41,'SC5556','SN24161                                           ','Automatic',908,64,'Complex','Ceramic','Completed','Not Required','Partial'
42,'SC5402','SN10578                                           ','Automatic',243,53,'Floor','Metal','Not Required','Completed','Completed'
43,'SC2659','SN61385                                           ','Automatic',466,17,'Wall','Ceramic','Not Required','Not Required','Completed'
44,'SC8711','SN36678                                           ','Manual',468,95,'Wall','Ceramic','Partial','Partial','Partial'
45,'SC2985','SN29375                                           ','Automatic',210,31,'Complex','Metal','Not Required','Not Required','Partial'
46,'SC3947','SN65941                                           ','Automatic',290,4,'Floor','Metal','Not Required','Completed','Not Required'
47,'SC4792','SN78173                                           ','Semi-automatic',446,79,'Foundation','Ceramic','Partial','Completed','Completed'
48,'SC3211','SN67670                                           ','Automatic',85,36,'Wall','Stone','Not Required','Not Required','Not Required'
49,'SC9995','SN34192                                           ','Manual',64,39,'Floor','Mixed','Completed','Not Required','Partial'
50,'SC1544','SN23998                                           ','Automatic',256,67,'Complex','Metal','Not Required','Partial','Completed'
51,'SC5656','SN83806                                           ','Manual',15,35,'Artifact','Stone','Completed','Partial','Not Required'
52,'SC2610','SN98522                                           ','Manual',943,75,'Complex','Metal','Partial','Completed','Partial'
53,'SC1629','SN45117                                           ','Semi-automatic',400,76,'Wall','Stone','Partial','Completed','Partial'
54,'SC4052','SN91867                                           ','Manual',943,28,'Floor','Metal','Partial','Completed','Partial'
55,'SC9222','SN20456                                           ','Semi-automatic',507,100,'Wall','Metal','Completed','Completed','Partial'
56,'SC8923','SN48461                                           ','Manual',831,29,'Floor','Mixed','Partial','Partial','Completed'
57,'SC4589','SN67130                                           ','Manual',727,33,'Complex','Ceramic','Not Required','Completed','Not Required'
58,'SC4167','SN61826                                           ','Manual',366,99,'Floor','Metal','Partial','Partial','Completed'
59,'SC2682','SN95142                                           ','Semi-automatic',584,43,'Foundation','Ceramic','Not Required','Not Required','Partial'
60,'SC9195','SN14216                                           ','Manual',628,4,'Wall','Organic','Completed','Not Required','Not Required'
61,'SC3514','SN60464                                           ','Manual',481,82,'Floor','Stone','Not Required','Completed','Completed'
62,'SC3935','SN18228                                           ','Manual',181,66,'Artifact','Organic','Completed','Not Required','Not Required'
63,'SC9397','SN23672                                           ','Manual',703,8,'Complex','Metal','Completed','Partial','Completed'
64,'SC6400','SN39641                                           ','Semi-automatic',34,98,'Complex','Metal','Partial','Partial','Not Required'
65,'SC9524','SN64982                                           ','Semi-automatic',510,5,'Wall','Metal','Not Required','Not Required','Completed'
66,'SC5899','SN80959                                           ','Semi-automatic',646,79,'Wall','Metal','Partial','Not Required','Completed'
67,'SC1888','SN82031                                           ','Automatic',63,43,'Complex','Mixed','Completed','Completed','Partial'
68,'SC5674','SN79594                                           ','Automatic',124,81,'Wall','Mixed','Completed','Completed','Completed'
69,'SC9724','SN58001                                           ','Manual',223,48,'Complex','Mixed','Not Required','Completed','Not Required'
70,'SC5372','SN61451                                           ','Semi-automatic',15,80,'Artifact','Organic','Not Required','Completed','Not Required'
