1,'SN20065                                           ','SC9016','RealityCapture',21.90,81,70.30,84,'Local','In Progress                                       ','Confidential','Dublin Core','Local','Arbitrary',983.50,'Partial                                           ','Invalid','Corrected','Required                                          ','Aligned','2.3'
2,'SN29799                                           ','SC9081','CloudCompare',34.90,100,13.40,56,'Network','Completed                                         ','Public','CIDOC CRM','WGS84','Local',599.60,'Partial                                           ','Required','Unknown','Required                                          ','Aligned','2.7'
3,'SN83019                                           ','SC4817','Agisoft',25.70,67,51.70,66,'Network','Pending                                           ','Confidential','CIDOC CRM','Custom','Sea Level',306.10,'Partial                                           ','Required','Unknown','Adjusted                                          ','Meshed','4.0'
4,'SN60801                                           ','SC4082','RealityCapture',16.50,80,79.50,78,'Cloud','Completed                                         ','Restricted','Custom','Local','Arbitrary',487.30,'Partial                                           ','Invalid','Corrected','Required                                          ','Final','5.7'
5,'SN64520                                           ','SC3155','Agisoft',42.60,63,71.50,69,'Cloud','Pending                                           ','Confidential','Dublin Core','WGS84','Local',92.10,'Yes                                               ','Calibrated','Uncorrected',NULL,'Aligned','4.9'
6,'SN83581                                           ','SC1822','Geomagic',2.20,74,118.60,95,'Local','Pending                                           ','Restricted','Dublin Core','WGS84','Local',451.50,'Yes                                               ','Invalid','Corrected','Adjusted                                          ','Textured','4.4'
7,'SN41462                                           ','SC6676','RealityCapture',7.70,87,31.50,75,'Network','Completed                                         ','Confidential','CIDOC CRM','Custom','Arbitrary',341.70,'Yes                                               ','Calibrated','Uncorrected','Adjusted                                          ','Textured','5.2'
8,'SN48095                                           ','SC4460','Geomagic',14.90,66,69.40,61,'Network','Completed                                         ','Public','Dublin Core','WGS84','Local',259.10,'Partial                                           ','Invalid','Corrected','Required                                          ','Final','2.7'
9,'SN34587                                           ','SC2917','CloudCompare',11.90,69,15.00,67,'Cloud','Pending                                           ','Restricted','CIDOC CRM','Local','Sea Level',503.80,'No                                                ','Required','Uncorrected',NULL,'Aligned','2.6'
10,'SN87691                                           ','SC5714','RealityCapture',18.40,58,64.90,85,'Local','Pending                                           ','Public','Dublin Core','Local','Local',392.50,'Partial                                           ','Invalid','Corrected','Required                                          ','Meshed','2.6'
11,'SN79410                                           ','SC4539','Agisoft',10.70,94,72.50,77,'Cloud','Pending                                           ','Public','Custom','Local','Local',255.70,'Partial                                           ','Required','Corrected','Required                                          ','Raw','2.1'
12,'SN87470                                           ','SC2451','CloudCompare',41.80,94,49.80,87,'Cloud','Pending                                           ','Public','CIDOC CRM','Local','Sea Level',1.10,'Partial                                           ','Invalid','Corrected',NULL,'Meshed','1.6'
13,'SN78027                                           ','SC8954','Geomagic',14.90,66,112.60,58,'Network','Completed                                         ','Confidential','Dublin Core','WGS84','Arbitrary',593.70,'No                                                ','Calibrated','Uncorrected','Adjusted                                          ','Final','1.4'
