'SN20065                                           ','LiDAR','Model-669','2024-11-01','Excellent',62
'SN29799                                           ','Structured Light','Model-835','2024-09-09','Good',21
'SN83019                                           ','Photogrammetry','Model-566','2025-02-08','Good',46
'SN60801                                           ','Structured Light','Model-674','2024-10-19','Good',29
'SN64520                                           ','Photogrammetry','Model-135','2024-12-10','Poor',13
'SN83581                                           ','LiDAR','Model-570','2024-11-16','Poor',28
'SN41462                                           ','Laser','Model-112','2024-11-24','Good',30
'SN48095                                           ','Structured Light','Model-372','2024-09-09','Fair',98
'SN34587                                           ','Laser','Model-264','2024-11-23','Excellent',21
'SN87691                                           ','Photogrammetry','Model-304','2024-12-07','Fair',52
'SN79410                                           ','Photogrammetry','Model-428','2024-10-01','Good',19
'SN87470                                           ','Laser','Model-722','2025-02-16','Good',48
'SN78027                                           ','Photogrammetry','Model-924','2024-09-08','Poor',67
'SN83894                                           ','Laser','Model-691','2024-10-16','Fair',50
'SN46046                                           ','Photogrammetry','Model-811','2024-08-26','Excellent',37
'SN43242                                           ','LiDAR','Model-282','2025-02-03','Excellent',28
'SN31117                                           ','Structured Light','Model-691','2024-08-31','Good',47
'SN31469                                           ','Photogrammetry','Model-668','2025-02-01','Good',64
'SN97840                                           ','Photogrammetry','Model-376','2025-01-03','Fair',33
'SN75769                                           ','Photogrammetry','Model-782','2025-02-02','Excellent',31
'SN83255                                           ','Structured Light','Model-122','2024-11-23','Fair',69
'SN75862                                           ','Structured Light','Model-487','2024-09-21','Excellent',51
'SN97121                                           ','Laser','Model-928','2024-10-03','Good',84
'SN42363                                           ','Structured Light','Model-537','2025-01-13','Excellent',38
'SN28477                                           ','LiDAR','Model-945','2024-12-26','Excellent',14
'SN89848                                           ','Photogrammetry','Model-569','2024-11-03','Fair',93
'SN62888                                           ','Photogrammetry','Model-843','2024-09-10','Good',35
'SN68545                                           ','Photogrammetry','Model-866','2024-10-21','Good',4
'SN90174                                           ','Structured Light','Model-600','2024-09-07','Good',48
'SN38132                                           ','LiDAR','Model-582','2024-09-01','Excellent',79
'SN22973                                           ','Laser','Model-418','2025-01-04','Good',47
'SN24574                                           ','Structured Light','Model-573','2024-12-28','Excellent',81
'SN90619                                           ','Photogrammetry','Model-624','2024-12-03','Excellent',43
'SN72615                                           ','LiDAR','Model-764','2024-12-03','Good',80
'SN71277                                           ','Laser','Model-646','2024-10-04','Fair',55
'SN37681                                           ','Laser','Model-400','2024-10-22','Fair',61
'SN14701                                           ','Structured Light','Model-301','2024-12-03','Excellent',6
'SN95616                                           ','LiDAR','Model-664','2025-01-23','Excellent',7
'SN72117                                           ','Structured Light','Model-832','2025-01-04','Poor',56
'SN88704                                           ','LiDAR','Model-245','2024-12-26','Excellent',77
'SN24161                                           ','LiDAR','Model-502','2024-09-07','Fair',30
'SN10578                                           ','LiDAR','Model-234','2024-10-15','Poor',26
'SN61385                                           ','Photogrammetry','Model-235','2024-10-31','Excellent',40
'SN36678                                           ','Structured Light','Model-579','2024-09-12','Good',51
