'ENG_9RLZH','FI537855','MEM_QCM5T',13.10,0.522,'Weekly','Afternoon',7,20,'Music','Both','Always'
'ENG_FGNJL','FI528045','MEM_KGCEJ',86.20,0.640,'Monthly','Afternoon',6,9,'Dance','Original','Sometimes'
'ENG_68S16','FI137526','MEM_P91DJ',98.80,0.878,'Weekly','Evening',1,13,'Gaming','Translated','Sometimes'
'ENG_DILN2','FI133051','MEM_HVZ7O',72.10,0.665,'Occasional','Night',2,11,'Dance','Original','Always'
'ENG_X9EXO','FI904361','MEM_A4G6Q',85.30,0.566,'Occasional','Evening',0,1,'Music','Original','Sometimes'
'ENG_06WQ9','FI922707','MEM_Z2WHS',68.50,0.847,'Daily','Evening',6,11,'Gaming','Original','Sometimes'
'ENG_O8RT4','FI331368','MEM_8QIK4',50.90,0.232,'Monthly','Afternoon',2,5,'Gaming','Both','Sometimes'
'ENG_N7H45','FI611136','MEM_GSSNJ',53.10,0.396,'Daily','Night',4,10,'Dance','Original','Never'
'ENG_OGEXW','FI353090','MEM_A5CZH',79.90,0.194,'Occasional','Night',7,19,'Gaming','Both','Never'
'ENG_XHCAM','FI248656','MEM_0X7U9',74.10,0.920,'Weekly','Evening',1,6,'Dance','Original','Never'
'ENG_D1QOY','FI674080','MEM_SRXZJ',74.40,0.957,'Occasional','Afternoon',6,3,'Gaming','Translated','Never'
'ENG_OT0D9','FI681291','MEM_91964',93.50,0.939,'Daily','Afternoon',4,11,'Gaming','Original','Always'
'ENG_1JMQE','FI814576','MEM_2QN8I',71.50,0.925,'Weekly','Morning',2,14,'Chat','Original','Always'
'ENG_PNXDT','FI464001','MEM_WIR89',43.40,0.419,'Occasional','Morning',7,8,'Music','Translated','Sometimes'
'ENG_A1RSB','FI422330','MEM_2RY22',7.20,0.918,'Weekly','Morning',1,8,'Chat','Translated','Sometimes'
'ENG_T8Q2J','FI691886','MEM_3S0NI',35.20,0.378,'Weekly','Afternoon',7,12,'Gaming','Translated','Never'
'ENG_DJM20','FI894605','MEM_5AEZO',15.20,0.140,'Weekly','Morning',5,17,'Gaming','Both','Never'
'ENG_7VWA4','FI646787','MEM_3CLFB',86.80,0.412,'Weekly','Morning',1,1,'Gaming','Translated','Never'
'ENG_D977U','FI701318','MEM_9B7QH',80.40,0.151,'Daily','Evening',5,3,'Gaming','Translated','Never'
'ENG_WINOV','FI648876','MEM_AVDOU',58.40,0.768,'Weekly','Evening',7,6,'Gaming','Both','Never'
'ENG_PTRNB','FI488579','MEM_LVYIC',28.70,0.819,'Occasional','Night',0,11,'Gaming','Original','Never'
'ENG_CLUG3','FI298270','MEM_SM7RS',30.00,0.494,'Daily','Afternoon',5,7,'Dance','Both','Never'
'ENG_XROM0','FI119413','MEM_IOK7W',49.90,0.490,'Weekly','Evening',0,7,'Music','Both','Sometimes'
'ENG_TUK66','FI865097','MEM_DEKRI',33.90,0.912,'Daily','Morning',5,18,'Chat','Both','Never'
'ENG_UTGXV','FI715837','MEM_E5OXG',32.30,0.295,'Daily','Night',2,10,'Gaming','Original','Always'
'ENG_H2DY0','FI285712','MEM_61HS7',53.60,0.484,'Monthly','Evening',2,10,'Gaming','Both','Never'
'ENG_8BAJ7','FI509217','MEM_SEFSY',52.00,0.768,'Monthly','Afternoon',3,15,'Gaming','Original','Always'
'ENG_8OAQD','FI643088','MEM_BMZHM',78.20,0.944,'Daily','Afternoon',4,6,'Music','Original','Sometimes'
'ENG_I58L6','FI512848','MEM_FRUQ9',76.20,0.706,'Weekly','Afternoon',5,18,'Music','Translated','Sometimes'
'ENG_HDR2K','FI817373','MEM_J3ZR6',99.20,0.274,'Monthly','Night',7,1,'Chat','Original','Always'
'ENG_CKCN1','FI246994','MEM_UOHAG',62.30,0.792,'Monthly','Evening',0,18,'Music','Original','Sometimes'
'ENG_S3BP1','FI266894','MEM_ARWK0',66.70,0.713,'Monthly','Morning',7,3,'Music','Both','Sometimes'
'ENG_C2TIQ','FI384118','MEM_CU6V6',33.30,0.461,'Monthly','Morning',3,13,'Music','Original','Always'
'ENG_SLIYC','FI276745','MEM_5GJDF',84.90,0.448,'Weekly','Night',4,12,'Chat','Translated','Never'
'ENG_DEQW7','FI281299','MEM_ITS17',11.40,0.090,'Monthly','Afternoon',3,12,'Music','Original','Never'
