'FI537855','2024-12-10 10:48:19.557','FAN55719','VI1517','Vote','YouTube','Tablet','Windows','3.4.0','Often',373,663.63,'Limited','{"session": {"liveatt": 53, "watchhrs": 359.1, "sessdurmin": 44}, "chat_activity": {"chatmsg": 905, "msgtone": "Negative", "chatlang": "Mixed", "stkcount": 29, "emojicount": 323}}'
'FI528045','2024-11-22 11:17:12.560','FAN75581','VI8705','Comment','Twitter','Mobile','iOS','4.6.7','Often',867,4710.36,'Custom','{"session": {"liveatt": 21, "watchhrs": 169.9, "sessdurmin": 79}, "chat_activity": {"chatmsg": 539, "msgtone": "Negative", "chatlang": "Translation", "stkcount": 104, "emojicount": 461}}'
'FI137526','2024-08-19 10:13:29.560','FAN27370','VI6535','Vote','Official App','Console','Android','3.9.2','Rarely',494,3270.78,'Custom','{"session": {"liveatt": 73, "watchhrs": 388.1, "sessdurmin": 14}, "chat_activity": {"chatmsg": 424, "msgtone": "Positive", "chatlang": "Mixed", "stkcount": 122, "emojicount": 306}}'
'FI133051','2025-02-11 23:21:18.560','FAN83813','VI1686','Share','YouTube','Tablet','iOS','2.1.4','Never',957,832.56,'Premium','{"session": {"liveatt": 100, "watchhrs": 402.0, "sessdurmin": 56}, "chat_activity": {"chatmsg": 268, "msgtone": "Negative", "chatlang": "English", "stkcount": 145, "emojicount": 265}}'
'FI904361','2025-01-04 23:17:15.561','FAN15741','VI7644','Comment','TikTok','PC','Mac','2.8.7','Frequent',67,3021.40,'Limited','{"session": {"liveatt": 19, "watchhrs": 130.1, "sessdurmin": 86}, "chat_activity": {"chatmsg": 221, "msgtone": "Positive", "chatlang": "English", "stkcount": 6, "emojicount": 91}}'
'FI922707','2024-05-04 01:34:26.561','FAN62295','VI4009','Share','YouTube','Mobile','Android','5.2.1','Never',92,2056.74,'Standard','{"session": {"liveatt": 10, "watchhrs": 719.9, "sessdurmin": 175}, "chat_activity": {"chatmsg": 32, "msgtone": "Neutral", "chatlang": "Translation", "stkcount": 76, "emojicount": 339}}'
'FI331368','2024-09-15 21:35:49.561','FAN29489','VI5109','Gift','Twitter','Tablet','Windows','4.6.8','Never',54,2224.24,'Premium','{"session": {"liveatt": 88, "watchhrs": 292.3, "sessdurmin": 88}, "chat_activity": {"chatmsg": 912, "msgtone": "Positive", "chatlang": "Native", "stkcount": 93, "emojicount": 171}}'
'FI611136','2024-03-18 08:26:40.562','FAN35728','VI1123','Share','Twitter','Tablet','iOS','1.1.7','Rarely',487,799.94,'Standard','{"session": {"liveatt": 7, "watchhrs": 772.5, "sessdurmin": 85}, "chat_activity": {"chatmsg": 408, "msgtone": "Positive", "chatlang": "Translation", "stkcount": 59, "emojicount": 389}}'
'FI353090','2024-06-02 09:17:33.563','FAN68495','VI2303','Gift','TikTok','PC','Android','1.8.2','Often',929,1847.02,'Standard','{"session": {"liveatt": 69, "watchhrs": 218.7, "sessdurmin": 116}, "chat_activity": {"chatmsg": 481, "msgtone": "Neutral", "chatlang": "English", "stkcount": 138, "emojicount": 348}}'
'FI248656','2024-09-27 15:26:12.563','FAN62925','VI3333','Share','YouTube','Console','Mac','2.1.3','Rarely',108,2212.43,'Custom','{"session": {"liveatt": 41, "watchhrs": 476.0, "sessdurmin": 86}, "chat_activity": {"chatmsg": 868, "msgtone": "Neutral", "chatlang": "Mixed", "stkcount": 4, "emojicount": 242}}'
