'RET_M9GTT','ENG_9RLZH','LOY_SIYC9','Medium',3,0,19013,3,17,651
'RET_L8K68','ENG_FGNJL','LOY_NHSG0','High',2,6,55638,5,50,435
'RET_4S9OK','ENG_68S16','LOY_GCPGX','Medium',1,9,70438,2,48,5
'RET_XZTG5','ENG_DILN2','LOY_K28OV','High',2,1,73993,5,50,792
'RET_DYDVF','ENG_X9EXO','LOY_MG2AG','High',4,8,83729,4,24,300
'RET_2HHJ6','ENG_06WQ9','LOY_0SJC3','Medium',4,8,69018,9,33,293
'RET_ICC8O','ENG_O8RT4','LOY_MPR9G','Low',4,17,85063,10,12,427
'RET_736UE','ENG_N7H45','LOY_T99PT','Medium',5,12,30808,6,22,504
'RET_ZZ9WK','ENG_OGEXW','LOY_RL6RP','Medium',0,2,55499,10,46,351
'RET_ARN6A','ENG_XHCAM','LOY_R1ZVM','Medium',0,14,98692,2,15,13
'RET_HZ8KM','ENG_D1QOY','LOY_6Y23G','High',4,10,10346,0,38,671
'RET_TWKB8','ENG_OT0D9','LOY_VJ6MQ','High',5,16,97790,9,17,966
'RET_GT12F','ENG_1JMQE','LOY_LREE0','Low',3,12,6927,7,5,44
'RET_S64MZ','ENG_PNXDT','LOY_G8U8C','High',1,4,27447,8,9,931
'RET_H7W4M','ENG_A1RSB','LOY_Z7B3G','High',0,18,4264,10,31,267
'RET_L2212','ENG_T8Q2J','LOY_07USR','Medium',3,8,4202,6,34,957
'RET_G1G6D','ENG_DJM20','LOY_V4DHS','High',1,17,66827,6,27,170
'RET_84YJX','ENG_7VWA4','LOY_7HJQR','High',4,16,90332,4,2,265
'RET_2SO43','ENG_D977U','LOY_6FZBQ','Low',0,16,10322,4,5,643
'RET_NIA6X','ENG_WINOV','LOY_TZTOW','Medium',3,6,76760,1,21,661
'RET_230JO','ENG_PTRNB','LOY_KH81J','High',5,18,28996,8,34,737
'RET_T9X8I','ENG_CLUG3','LOY_CPGCY','Medium',2,19,76598,4,31,890
'RET_RYWA5','ENG_XROM0','LOY_UZ87K','Medium',1,4,71870,5,43,804
'RET_EVOAJ','ENG_TUK66','LOY_8GI3S','Medium',1,11,94612,4,49,724
'RET_XS13H','ENG_UTGXV','LOY_T2T7W','Low',4,5,77551,7,5,320
