'SOC_7GA9A','ENG_9RLZH','COM_02Q3V',6,'{"network": {"socnetsz": 851, "fingcount": 940, "follcount": 935, "friendcon": 140}, "content_creation": {"ugcval": 63, "artsubs": 10, "ficsubs": 3, "commcontrib": "Low", "contqualrate": 2.6, "coverperfcnt": 20, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 6, "grprole": "Member"}}'
'SOC_GIW1H','ENG_FGNJL','COM_5C1C3',14,'{"network": {"socnetsz": 753, "fingcount": 143, "follcount": 4068, "friendcon": 450}, "content_creation": {"ugcval": 6, "artsubs": 34, "ficsubs": 1, "commcontrib": "Low", "contqualrate": 1.9, "coverperfcnt": 30, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 8, "grprole": "Member"}}'
'SOC_8ILAQ','ENG_68S16','COM_Z1O8V',16,'{"network": {"socnetsz": 421, "fingcount": 132, "follcount": 286, "friendcon": 449}, "content_creation": {"ugcval": 43, "artsubs": 31, "ficsubs": 7, "commcontrib": "Low", "contqualrate": 0.5, "coverperfcnt": 2, "contcreatestat": "Occasional"}, "group_involvement": {"grpmemb": 2, "grprole": "Member"}}'
'SOC_U32T0','ENG_DILN2','COM_D6G38',5,'{"network": {"socnetsz": 921, "fingcount": 266, "follcount": 3419, "friendcon": 196}, "content_creation": {"ugcval": 67, "artsubs": 35, "ficsubs": 2, "commcontrib": "High", "contqualrate": 3.2, "coverperfcnt": 5, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 8, "grprole": "Leader"}}'
'SOC_MTDC2','ENG_X9EXO','COM_SBM9E',18,'{"network": {"socnetsz": 436, "fingcount": 186, "follcount": 965, "friendcon": 281}, "content_creation": {"ugcval": 2, "artsubs": 3, "ficsubs": 14, "commcontrib": "Low", "contqualrate": 1.2, "coverperfcnt": 5, "contcreatestat": "Occasional"}, "group_involvement": {"grpmemb": 7, "grprole": "Member"}}'
'SOC_X3CZ8','ENG_06WQ9','COM_62497',3,'{"network": {"socnetsz": 755, "fingcount": 930, "follcount": 3991, "friendcon": 153}, "content_creation": {"ugcval": 36, "artsubs": 48, "ficsubs": 2, "commcontrib": "Low", "contqualrate": 4.2, "coverperfcnt": 2, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 11, "grprole": "Moderator"}}'
'SOC_W966F','ENG_O8RT4','COM_0OLI4',0,'{"network": {"socnetsz": 568, "fingcount": 626, "follcount": 3668, "friendcon": 406}, "content_creation": {"ugcval": 0, "artsubs": 35, "ficsubs": 4, "commcontrib": "High", "contqualrate": 0.8, "coverperfcnt": 2, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 15, "grprole": "Moderator"}}'
'SOC_N0Q2U','ENG_N7H45','COM_H3CB0',5,'{"network": {"socnetsz": 395, "fingcount": 656, "follcount": 2705, "friendcon": 116}, "content_creation": {"ugcval": 80, "artsubs": 14, "ficsubs": 3, "commcontrib": "Low", "contqualrate": 3.9, "coverperfcnt": 22, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 5, "grprole": "Leader"}}'
'SOC_Q1ZW4','ENG_OGEXW','COM_QPN44',16,'{"network": {"socnetsz": 972, "fingcount": 779, "follcount": 1206, "friendcon": 223}, "content_creation": {"ugcval": 73, "artsubs": 20, "ficsubs": 3, "commcontrib": "Medium", "contqualrate": 0.4, "coverperfcnt": 23, "contcreatestat": "Active"}, "group_involvement": {"grpmemb": 4, "grprole": "Leader"}}'
'SOC_I7WC2','ENG_XHCAM','COM_G1KQ4',14,'{"network": {"socnetsz": 714, "fingcount": 903, "follcount": 4775, "friendcon": 106}, "content_creation": {"ugcval": 21, "artsubs": 45, "ficsubs": 2, "commcontrib": "High", "contqualrate": 4.3, "coverperfcnt": 1, "contcreatestat": "Occasional"}, "group_involvement": {"grpmemb": 20, "grprole": "Member"}}'
