'MEM_QCM5T','FAN55719','Free',194,6265.46,'Occasional','Credit Card'
'MEM_KGCEJ','FAN75581','Basic',798,9993.63,'Weekly','Mobile Payment'
'MEM_P91DJ','FAN27370','Diamond',36,6280.49,'Occasional','PayPal'
'MEM_HVZ7O','FAN83813','Basic',987,8837.60,'Occasional','PayPal'
'MEM_A4G6Q','FAN15741','Premium',24,8457.61,'Monthly','Credit Card'
'MEM_Z2WHS','FAN62295','Premium',93,4302.88,'Monthly','Credit Card'
'MEM_8QIK4','FAN29489','Free',526,1023.87,'Weekly','PayPal'
'MEM_GSSNJ','FAN35728','Premium',65,7568.85,'Daily','Crypto'
'MEM_A5CZH','FAN68495','Basic',441,2030.34,'Monthly','Mobile Payment'
'MEM_0X7U9','FAN62925','Diamond',1010,2408.25,'Daily','Credit Card'
'MEM_SRXZJ','FAN80655','Premium',1051,1517.74,'Occasional','Credit Card'
'MEM_91964','FAN40145','Basic',784,6174.65,'Daily','Mobile Payment'
'MEM_2QN8I','FAN53081','Premium',223,638.59,'Weekly','Crypto'
'MEM_WIR89','FAN92710','Basic',1058,4865.59,'Daily','PayPal'
'MEM_2RY22','FAN40600','Premium',443,9604.38,'Weekly','Mobile Payment'
'MEM_3S0NI','FAN74419','Basic',560,7161.96,'Daily','Crypto'
'MEM_5AEZO','FAN95411','Free',401,714.95,'Weekly','Mobile Payment'
'MEM_3CLFB','FAN93868','Free',278,4923.74,'Daily','Crypto'
'MEM_9B7QH','FAN10883','Diamond',458,1198.11,'Occasional','Crypto'
'MEM_AVDOU','FAN11814','Free',1022,1090.16,'Daily','Crypto'
'MEM_LVYIC','FAN61694','Diamond',715,9430.03,'Daily','Crypto'
'MEM_SM7RS','FAN22199','Free',54,5213.26,'Weekly','Crypto'
'MEM_IOK7W','FAN97144','Diamond',639,9055.27,'Daily','Crypto'
'MEM_DEKRI','FAN63295','Basic',959,9069.53,'Monthly','Crypto'
'MEM_E5OXG','FAN27947','Basic',988,2118.00,'Weekly','Mobile Payment'
'MEM_61HS7','FAN25846','Basic',720,5902.28,'Monthly','Credit Card'
'MEM_SEFSY','FAN96275','Premium',907,7726.79,'Monthly','Crypto'
'MEM_BMZHM','FAN76827','Free',870,98.12,'Monthly','Crypto'
'MEM_FRUQ9','FAN94632','Diamond',1060,700.51,'Daily','Mobile Payment'
'MEM_J3ZR6','FAN72269','Basic',1048,3028.92,'Monthly','PayPal'
'MEM_UOHAG','FAN38633','Basic',353,2392.85,'Monthly','Crypto'
'MEM_ARWK0','FAN57951','Diamond',672,7317.39,'Monthly','Mobile Payment'
'MEM_CU6V6','FAN63369','Basic',979,3240.46,'Monthly','PayPal'
'MEM_5GJDF','FAN31260','Premium',565,4925.02,'Monthly','Mobile Payment'
'MEM_ITS17','FAN82662','Basic',915,8861.01,'Monthly','Crypto'
'MEM_93U3Q','FAN90919','Diamond',691,8333.27,'Daily','Mobile Payment'
'MEM_WTKH9','FAN10128','Basic',767,626.15,'Monthly','Mobile Payment'
'MEM_OKNIN','FAN31387','Free',1037,7512.02,'Occasional','Crypto'
'MEM_2DO2E','FAN57279','Basic',540,5731.64,'Daily','Mobile Payment'
'MEM_LV57U','FAN67149','Basic',863,9396.21,'Occasional','PayPal'
'MEM_D6KJV','FAN95061','Basic',295,7525.70,'Weekly','Crypto'
'MEM_0XXDB','FAN64574','Free',200,7766.51,'Daily','Credit Card'
'MEM_NJ2G4','FAN47528','Basic',100,6087.16,'Monthly','Crypto'
'MEM_ITCON','FAN75572','Free',761,8154.00,'Weekly','Crypto'
'MEM_GQH1Q','FAN88974','Premium',154,9335.98,'Weekly','Credit Card'
'MEM_JYLLF','FAN84044','Free',502,2368.08,'Occasional','PayPal'
'MEM_YU84T','FAN15060','Basic',745,1104.15,'Monthly','Mobile Payment'
'MEM_FJA88','FAN39217','Free',962,3604.15,'Weekly','Credit Card'
'MEM_PCPHZ','FAN32364','Premium',931,3096.78,'Occasional','Mobile Payment'
'MEM_M77B1','FAN18869','Basic',1079,4216.49,'Daily','Mobile Payment'
'MEM_IMRI7','FAN61478','Premium',392,235.68,'Occasional','Mobile Payment'
'MEM_24S5W','FAN97362','Free',463,7669.55,'Weekly','Mobile Payment'
'MEM_40LHJ','FAN11513','Diamond',51,524.93,'Daily','Mobile Payment'
'MEM_J5NML','FAN65205','Free',536,5064.84,'Occasional','Crypto'
'MEM_RXXR5','FAN12990','Basic',569,4732.11,'Monthly','Credit Card'
'MEM_0WGXU','FAN30640','Basic',861,3984.17,'Occasional','Mobile Payment'
'MEM_NDGHM','FAN18028','Basic',686,3428.15,'Occasional','Mobile Payment'
'MEM_MLURU','FAN20528','Free',952,3371.31,'Daily','Credit Card'
'MEM_31RUB','FAN34547','Basic',971,4024.57,'Monthly','PayPal'
'MEM_EHDYR','FAN49135','Free',1052,5818.13,'Occasional','PayPal'
'MEM_LW0IK','FAN83202','Premium',490,5428.50,'Occasional','Credit Card'
'MEM_P5UK1','FAN69253','Diamond',970,8194.87,'Daily','Crypto'
'MEM_JESI4','FAN55502','Basic',620,936.06,'Weekly','PayPal'
'MEM_YXFLA','FAN73754','Diamond',118,1070.50,'Monthly','Crypto'
'MEM_ADF3T','FAN88267','Premium',778,7780.46,'Occasional','PayPal'
'MEM_VKB0A','FAN29171','Diamond',632,1021.67,'Weekly','Mobile Payment'
'MEM_O0A53','FAN13737','Diamond',127,830.29,'Monthly','PayPal'
'MEM_CV8WB','FAN54300','Basic',49,7931.82,'Occasional','Credit Card'
'MEM_CYFP4','FAN53397','Free',329,4974.73,'Weekly','Crypto'
'MEM_E94U9','FAN98240','Premium',1049,3509.92,'Monthly','PayPal'
'MEM_V9E0D','FAN18739','Premium',972,8178.15,'Occasional','Mobile Payment'
'MEM_W82Y8','FAN23000','Free',474,9636.58,'Weekly','Credit Card'
'MEM_MNW7G','FAN61722','Basic',763,6589.73,'Occasional','Credit Card'
'MEM_98G1I','FAN78998','Premium',719,1832.79,'Daily','Credit Card'
'MEM_VKFTE','FAN74990','Free',590,7330.80,'Daily','PayPal'
'MEM_STI3Y','FAN48672','Free',752,6413.48,'Monthly','Mobile Payment'
'MEM_40IHZ','FAN30317','Free',795,1245.44,'Weekly','Crypto'
'MEM_TYBAQ','FAN70201','Free',1013,1997.83,'Monthly','PayPal'
'MEM_2B5UY','FAN30821','Premium',765,4448.01,'Occasional','Crypto'
'MEM_XNTP3','FAN79066','Premium',212,9678.18,'Occasional','Mobile Payment'
'MEM_JPA8T','FAN60267','Diamond',276,119.60,'Weekly','Mobile Payment'
'MEM_29NPO','FAN92950','Free',875,1188.51,'Monthly','PayPal'
'MEM_SG7EQ','FAN27471','Diamond',1076,1368.25,'Occasional','Mobile Payment'
'MEM_BLX4S','FAN39392','Basic',368,8543.03,'Monthly','PayPal'
'MEM_MZ65Z','FAN64335','Premium',852,1229.54,'Weekly','Mobile Payment'
'MEM_UW8KH','FAN54152','Premium',455,2877.72,'Daily','Mobile Payment'
'MEM_SLCXO','FAN66669','Free',1059,4309.35,'Monthly','PayPal'
'MEM_M1T9N','FAN39654','Premium',46,7393.32,'Weekly','Crypto'
'MEM_8GOBS','FAN65940','Diamond',938,1449.99,'Occasional','PayPal'
'MEM_ZDFO7','FAN99138','Free',65,4611.67,'Monthly','Crypto'
'MEM_G4SOL','FAN60116','Premium',801,689.30,'Monthly','PayPal'
'MEM_HSLDR','FAN14120','Free',30,7617.22,'Daily','Mobile Payment'
'MEM_BOUV6','FAN85907','Premium',28,2459.56,'Weekly','Mobile Payment'
'MEM_7A2C4','FAN54614','Premium',173,2780.28,'Monthly','Crypto'
'MEM_V5K3I','FAN77839','Diamond',372,9016.98,'Weekly','Credit Card'
'MEM_BUDLK','FAN25433','Basic',85,3024.77,'Monthly','PayPal'
'MEM_2XNJE','FAN73844','Premium',572,3500.78,'Occasional','Mobile Payment'
