'MOD_TK0G3','FI537855','SOC_7GA9A',6,3,'Minor','Warning','Warning','Not Required','Pending','Verified'
'MOD_OU2ND','FI528045','SOC_GIW1H',2,0,'Major','Warning','Violation','Verified','Pending','N/A'
'MOD_IZ7D7','FI137526','SOC_8ILAQ',9,2,'Minor','Good Standing','Compliant','Pending','Pending','Pending'
'MOD_WA9FW','FI133051','SOC_U32T0',6,1,'Minor','Good Standing','Warning','Not Required','Pending','N/A'
'MOD_02QCE','FI904361','SOC_MTDC2',2,2,'Minor','Good Standing','Violation','Pending','Pending','Verified'
'MOD_XZR04','FI922707','SOC_X3CZ8',4,3,'Major','Restricted','Warning','Verified','Pending','Verified'
'MOD_LULEY','FI331368','SOC_W966F',1,4,'Major','Good Standing','Compliant','Not Required','Pending','Pending'
'MOD_JL2ZT','FI611136','SOC_N0Q2U',8,4,'Minor','Warning','Violation','Not Required','Verified','Pending'
'MOD_LLB6A','FI353090','SOC_Q1ZW4',4,1,'Minor','Warning','Violation','Verified','Verified','Pending'
'MOD_54RVP','FI248656','SOC_I7WC2',6,3,'Minor','Good Standing','Warning','Pending','Verified','Verified'
'MOD_H4JSI','FI674080','SOC_GEX25',5,0,'Minor','Warning','Compliant','Pending','Pending','N/A'
'MOD_ZJWVV','FI681291','SOC_2YS73',1,3,'Minor','Warning','Warning','Pending','Pending','Verified'
'MOD_9IPRV','FI814576','SOC_QKGS3',3,2,'Minor','Warning','Warning','Verified','Pending','Verified'
'MOD_P4BZK','FI464001','SOC_66LOD',9,3,'Minor','Good Standing','Violation','Pending','Verified','Pending'
'MOD_OS6PA','FI422330','SOC_391FW',1,2,'Minor','Good Standing','Warning','Pending','Pending','Pending'
'MOD_F3HD2','FI691886','SOC_PDAQ0',3,4,'Major','Warning','Warning','Verified','Pending','Pending'
'MOD_5X2W4','FI894605','SOC_FTV5J',0,4,'Minor','Warning','Warning','Not Required','Pending','Verified'
'MOD_VDHZB','FI646787','SOC_BOZCL',10,0,'Minor','Restricted','Warning','Not Required','Pending','Verified'
'MOD_1RMD4','FI701318','SOC_NP7FG',2,5,'Minor','Warning','Violation','Verified','Verified','Verified'
