'FAN27103','kmcgee','2023-05-22',52,47635,'VIP','{"preferences": {"langpref": "Korean", "occupath": "Student", "interestset": "Art"}, "demographics": {"loctown": "Youngview", "agecount": 39, "locnation": "Botswana", "gendertype": "Female"}}'
'FAN55719','brownandrew','2024-07-22',52,93976,'Inactive','{"preferences": {"langpref": "Multiple", "occupath": "Professional", "interestset": "Technology"}, "demographics": {"loctown": "Patelbury", "agecount": 55, "locnation": "United States Minor Outlying Islands", "gendertype": "Other"}}'
'FAN75581','lauren67','2024-01-23',41,72104,'VIP','{"preferences": {"langpref": "Korean", "occupath": "Professional", "interestset": "Anime"}, "demographics": {"loctown": "Virginiabury", "agecount": 38, "locnation": "United States Minor Outlying Islands", "gendertype": "Male"}}'
'FAN27370','andre00','2022-07-16',93,51017,'Inactive','{"preferences": {"langpref": "English", "occupath": "Professional", "interestset": "Art"}, "demographics": {"loctown": "Hannahtown", "agecount": 41, "locnation": "Uzbekistan", "gendertype": "Undisclosed"}}'
'FAN83813','ianderson','2023-07-30',94,14883,'Inactive','{"preferences": {"langpref": "Japanese", "occupath": "Professional", "interestset": "Music"}, "demographics": {"loctown": "Port Mariafurt", "agecount": 12, "locnation": "Colombia", "gendertype": "Female"}}'
'FAN15741','stevenjennings','2024-02-12',2,75062,'VIP','{"preferences": {"langpref": "Japanese", "occupath": "Student", "interestset": "Art"}, "demographics": {"loctown": "Hernandezville", "agecount": 17, "locnation": "Switzerland", "gendertype": "Other"}}'
'FAN62295','tara71','2023-12-05',53,64679,'Active','{"preferences": {"langpref": "English", "occupath": "Other", "interestset": "Gaming"}, "demographics": {"loctown": "Chanchester", "agecount": 44, "locnation": "Bahrain", "gendertype": "Other"}}'
'FAN29489','raymond34','2024-02-19',86,67848,'Blocked','{"preferences": {"langpref": "Multiple", "occupath": "Student", "interestset": "Music"}, "demographics": {"loctown": "New Michael", "agecount": 32, "locnation": "Uzbekistan", "gendertype": "Undisclosed"}}'
'FAN35728','tcastro','2024-02-02',35,10121,'Blocked','{"preferences": {"langpref": "Japanese", "occupath": "Student", "interestset": "Anime"}, "demographics": {"loctown": "East Alisha", "agecount": 55, "locnation": "Kyrgyz Republic", "gendertype": "Other"}}'
'FAN68495','aprilgonzalez','2022-05-02',96,53908,'Blocked','{"preferences": {"langpref": "English", "occupath": "Student", "interestset": "Gaming"}, "demographics": {"loctown": "Jenniferborough", "agecount": 46, "locnation": "Switzerland", "gendertype": "Male"}}'
