'EVT_XG51P','SOC_7GA9A','MEM_QCM5T','2023-07-31','{"club": {"clubstat": "Non-member", "clubcontrib": "Medium"}, "engagement": {"camppart": "Selective", "votepartrate": 9.2}, "event_attendance": {"concatt": 17, "evtpart": "Regular", "meetatt": 8, "onevtatt": 12, "offevtatt": 6}}'
'EVT_BVAXK','SOC_GIW1H','MEM_KGCEJ','2023-04-07','{"club": {"clubstat": "Non-member", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Selective", "votepartrate": 34.4}, "event_attendance": {"concatt": 26, "evtpart": "Regular", "meetatt": 10, "onevtatt": 31, "offevtatt": 1}}'
'EVT_0C7WE','SOC_8ILAQ','MEM_P91DJ','2023-04-10','{"club": {"clubstat": "Premium", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Selective", "votepartrate": 38.0}, "event_attendance": {"concatt": 4, "evtpart": "Rare", "meetatt": 4, "onevtatt": 94, "offevtatt": 6}}'
'EVT_SAZVY','SOC_U32T0','MEM_HVZ7O','2025-01-07','{"club": {"clubstat": "Premium", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Selective", "votepartrate": 42.6}, "event_attendance": {"concatt": 15, "evtpart": "Always", "meetatt": 7, "onevtatt": 3, "offevtatt": 13}}'
'EVT_A0L2K','SOC_MTDC2','MEM_A4G6Q','2025-02-19','{"club": {"clubstat": "Premium", "clubcontrib": "Low"}, "engagement": {"camppart": "All", "votepartrate": 15.1}, "event_attendance": {"concatt": 3, "evtpart": "Rare", "meetatt": 0, "onevtatt": 96, "offevtatt": 8}}'
'EVT_GNOPX','SOC_X3CZ8','MEM_Z2WHS','2023-06-17','{"club": {"clubstat": "Elite", "clubcontrib": "High"}, "engagement": {"camppart": "Selective", "votepartrate": 92.7}, "event_attendance": {"concatt": 19, "evtpart": "Regular", "meetatt": 0, "onevtatt": 54, "offevtatt": 12}}'
'EVT_DMF3W','SOC_W966F','MEM_8QIK4','2024-07-26','{"club": {"clubstat": "Premium", "clubcontrib": "Low"}, "engagement": {"camppart": "Selective", "votepartrate": 76.4}, "event_attendance": {"concatt": 1, "evtpart": "Regular", "meetatt": 1, "onevtatt": 0, "offevtatt": 11}}'
'EVT_UG606','SOC_N0Q2U','MEM_GSSNJ','2024-06-01','{"club": {"clubstat": "Premium", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "All", "votepartrate": 45.6}, "event_attendance": {"concatt": 23, "evtpart": "Rare", "meetatt": 1, "onevtatt": 72, "offevtatt": 2}}'
'EVT_9TI3T','SOC_Q1ZW4','MEM_A5CZH','2023-03-04','{"club": {"clubstat": "Elite", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Selective", "votepartrate": 39.1}, "event_attendance": {"concatt": 23, "evtpart": "Rare", "meetatt": 8, "onevtatt": 17, "offevtatt": 0}}'
'EVT_5CLT0','SOC_I7WC2','MEM_0X7U9','2023-06-27','{"club": {"clubstat": "Non-member", "clubcontrib": "Low"}, "engagement": {"camppart": "Active", "votepartrate": 13.7}, "event_attendance": {"concatt": 24, "evtpart": "Always", "meetatt": 0, "onevtatt": 29, "offevtatt": 1}}'
'EVT_4XF70','SOC_GEX25','MEM_SRXZJ','2023-08-06','{"club": {"clubstat": "Basic", "clubcontrib": "High"}, "engagement": {"camppart": "Active", "votepartrate": 24.9}, "event_attendance": {"concatt": 19, "evtpart": "Never", "meetatt": 2, "onevtatt": 97, "offevtatt": 2}}'
'EVT_GGMLB','SOC_2YS73','MEM_91964','2024-02-22','{"club": {"clubstat": "Elite", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Selective", "votepartrate": 51.6}, "event_attendance": {"concatt": 19, "evtpart": "Regular", "meetatt": 9, "onevtatt": 29, "offevtatt": 8}}'
'EVT_JMWSM','SOC_QKGS3','MEM_2QN8I','2023-09-20','{"club": {"clubstat": "Non-member", "clubcontrib": "Low"}, "engagement": {"camppart": "Selective", "votepartrate": 51.1}, "event_attendance": {"concatt": 20, "evtpart": "Rare", "meetatt": 1, "onevtatt": 52, "offevtatt": 5}}'
'EVT_4LJCJ','SOC_66LOD','MEM_WIR89','2023-09-21','{"club": {"clubstat": "Elite", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Active", "votepartrate": 91.1}, "event_attendance": {"concatt": 24, "evtpart": "Rare", "meetatt": 0, "onevtatt": 98, "offevtatt": 11}}'
'EVT_8GQ8L','SOC_391FW','MEM_2RY22','2024-07-12','{"club": {"clubstat": "Basic", "clubcontrib": "High"}, "engagement": {"camppart": "Selective", "votepartrate": 51.1}, "event_attendance": {"concatt": 13, "evtpart": "Regular", "meetatt": 3, "onevtatt": 58, "offevtatt": 7}}'
'EVT_KVGS9','SOC_PDAQ0','MEM_3S0NI','2024-08-29','{"club": {"clubstat": "Elite", "clubcontrib": "High"}, "engagement": {"camppart": "All", "votepartrate": 91.0}, "event_attendance": {"concatt": 30, "evtpart": "Rare", "meetatt": 2, "onevtatt": 29, "offevtatt": 10}}'
'EVT_LS3BQ','SOC_FTV5J','MEM_5AEZO','2024-11-23','{"club": {"clubstat": "Elite", "clubcontrib": "Outstanding"}, "engagement": {"camppart": "Active", "votepartrate": 61.7}, "event_attendance": {"concatt": 9, "evtpart": "Always", "meetatt": 8, "onevtatt": 22, "offevtatt": 7}}'
