'LOY_SIYC9','EVT_XG51P','ENG_9RLZH',3076,23.20,'Respected',38.4,'{"loyalty": {"loypts": 36460, "rewtier": "Bronze"}, "achievements": {"achcount": 35, "badgecoll": 13, "spectitles": 9}}'
'LOY_NHSG0','EVT_BVAXK','ENG_FGNJL',6796,42.10,'Respected',32.7,'{"loyalty": {"loypts": 39494, "rewtier": "Platinum"}, "achievements": {"achcount": 10, "badgecoll": 1, "spectitles": 1}}'
'LOY_GCPGX','EVT_0C7WE','ENG_68S16',6000,35.30,'Elite',66.9,'{"loyalty": {"loypts": 46199, "rewtier": "Bronze"}, "achievements": {"achcount": 5, "badgecoll": 1, "spectitles": 6}}'
'LOY_K28OV','EVT_SAZVY','ENG_DILN2',5533,29.50,'New',52.5,'{"loyalty": {"loypts": 36268, "rewtier": "Gold"}, "achievements": {"achcount": 8, "badgecoll": 4, "spectitles": 1}}'
'LOY_MG2AG','EVT_A0L2K','ENG_X9EXO',8589,32.90,'New',98.3,'{"loyalty": {"loypts": 45372, "rewtier": "Silver"}, "achievements": {"achcount": 81, "badgecoll": 32, "spectitles": 4}}'
'LOY_0SJC3','EVT_GNOPX','ENG_06WQ9',7476,16.90,'Respected',74.7,'{"loyalty": {"loypts": 45345, "rewtier": "Silver"}, "achievements": {"achcount": 88, "badgecoll": 30, "spectitles": 2}}'
'LOY_MPR9G','EVT_DMF3W','ENG_O8RT4',5388,28.30,'New',92.2,'{"loyalty": {"loypts": 47679, "rewtier": "Silver"}, "achievements": {"achcount": 23, "badgecoll": 47, "spectitles": 6}}'
'LOY_T99PT','EVT_UG606','ENG_N7H45',267,76.70,'Elite',19.4,'{"loyalty": {"loypts": 3200, "rewtier": "Silver"}, "achievements": {"achcount": 100, "badgecoll": 30, "spectitles": 1}}'
'LOY_RL6RP','EVT_9TI3T','ENG_OGEXW',1494,1.70,'Respected',94.3,'{"loyalty": {"loypts": 7209, "rewtier": "Bronze"}, "achievements": {"achcount": 83, "badgecoll": 35, "spectitles": 4}}'
'LOY_R1ZVM','EVT_5CLT0','ENG_XHCAM',1328,21.60,'Elite',57.5,'{"loyalty": {"loypts": 16298, "rewtier": "Platinum"}, "achievements": {"achcount": 17, "badgecoll": 2, "spectitles": 7}}'
'LOY_6Y23G','EVT_4XF70','ENG_D1QOY',987,42.10,'New',42.1,'{"loyalty": {"loypts": 30792, "rewtier": "Silver"}, "achievements": {"achcount": 44, "badgecoll": 20, "spectitles": 2}}'
'LOY_VJ6MQ','EVT_GGMLB','ENG_OT0D9',6002,35.90,'Respected',77.6,'{"loyalty": {"loypts": 29937, "rewtier": "Bronze"}, "achievements": {"achcount": 42, "badgecoll": 47, "spectitles": 7}}'
'LOY_LREE0','EVT_JMWSM','ENG_1JMQE',9964,62.00,'Established',98.7,'{"loyalty": {"loypts": 29652, "rewtier": "Silver"}, "achievements": {"achcount": 65, "badgecoll": 34, "spectitles": 9}}'
'LOY_G8U8C','EVT_4LJCJ','ENG_PNXDT',8741,29.50,'Established',81.3,'{"loyalty": {"loypts": 18830, "rewtier": "Gold"}, "achievements": {"achcount": 6, "badgecoll": 24, "spectitles": 6}}'
'LOY_Z7B3G','EVT_8GQ8L','ENG_A1RSB',618,94.90,'Established',29.5,'{"loyalty": {"loypts": 10961, "rewtier": "Gold"}, "achievements": {"achcount": 78, "badgecoll": 44, "spectitles": 3}}'
'LOY_07USR','EVT_KVGS9','ENG_T8Q2J',4852,59.30,'Respected',21.4,'{"loyalty": {"loypts": 48175, "rewtier": "Silver"}, "achievements": {"achcount": 94, "badgecoll": 44, "spectitles": 8}}'
'LOY_V4DHS','EVT_LS3BQ','ENG_DJM20',8773,94.40,'New',24.6,'{"loyalty": {"loypts": 33698, "rewtier": "Platinum"}, "achievements": {"achcount": 2, "badgecoll": 26, "spectitles": 10}}'
'LOY_7HJQR','EVT_RX9U5','ENG_7VWA4',2856,24.50,'Elite',79.5,'{"loyalty": {"loypts": 6490, "rewtier": "Platinum"}, "achievements": {"achcount": 87, "badgecoll": 3, "spectitles": 4}}'
'LOY_6FZBQ','EVT_ER6GZ','ENG_D977U',2448,8.80,'Elite',99.6,'{"loyalty": {"loypts": 28430, "rewtier": "Bronze"}, "achievements": {"achcount": 48, "badgecoll": 35, "spectitles": 9}}'
'LOY_TZTOW','EVT_T7E00','ENG_WINOV',8958,93.50,'Established',75.7,'{"loyalty": {"loypts": 37255, "rewtier": "Silver"}, "achievements": {"achcount": 34, "badgecoll": 1, "spectitles": 8}}'
'LOY_KH81J','EVT_DI2T1','ENG_PTRNB',6160,60.30,'New',90.9,'{"loyalty": {"loypts": 43486, "rewtier": "Gold"}, "achievements": {"achcount": 17, "badgecoll": 43, "spectitles": 5}}'
'LOY_CPGCY','EVT_L1JLS','ENG_CLUG3',4092,67.10,'Respected',39.4,'{"loyalty": {"loypts": 20405, "rewtier": "Gold"}, "achievements": {"achcount": 40, "badgecoll": 49, "spectitles": 3}}'
'LOY_UZ87K','EVT_QGNWQ','ENG_XROM0',7924,8.20,'Established',32.3,'{"loyalty": {"loypts": 25400, "rewtier": "Silver"}, "achievements": {"achcount": 24, "badgecoll": 32, "spectitles": 4}}'
'LOY_8GI3S','EVT_VWBZA','ENG_TUK66',6574,15.60,'Established',50.6,'{"loyalty": {"loypts": 23206, "rewtier": "Gold"}, "achievements": {"achcount": 39, "badgecoll": 50, "spectitles": 4}}'
'LOY_T2T7W','EVT_9287X','ENG_UTGXV',6893,98.00,'Respected',85.7,'{"loyalty": {"loypts": 44518, "rewtier": "Platinum"}, "achievements": {"achcount": 5, "badgecoll": 16, "spectitles": 1}}'
'LOY_EU2WB','EVT_F48AK','ENG_H2DY0',4733,21.00,'New',76.9,'{"loyalty": {"loypts": 18982, "rewtier": "Silver"}, "achievements": {"achcount": 51, "badgecoll": 19, "spectitles": 3}}'
'LOY_7E0LW','EVT_Z94NG','ENG_8BAJ7',366,98.70,'Established',72.8,'{"loyalty": {"loypts": 37257, "rewtier": "Platinum"}, "achievements": {"achcount": 68, "badgecoll": 46, "spectitles": 3}}'
'LOY_IJXNY','EVT_LSVU1','ENG_8OAQD',9700,74.10,'Established',7.4,'{"loyalty": {"loypts": 7432, "rewtier": "Platinum"}, "achievements": {"achcount": 75, "badgecoll": 41, "spectitles": 4}}'
'LOY_CWCXW','EVT_IN0C4','ENG_I58L6',3423,39.40,'Respected',60.9,'{"loyalty": {"loypts": 8555, "rewtier": "Silver"}, "achievements": {"achcount": 44, "badgecoll": 4, "spectitles": 5}}'
'LOY_XKR31','EVT_HFB7J','ENG_HDR2K',436,92.10,'Elite',78.6,'{"loyalty": {"loypts": 22709, "rewtier": "Silver"}, "achievements": {"achcount": 40, "badgecoll": 11, "spectitles": 2}}'
'LOY_8L1NE','EVT_5LZ6F','ENG_CKCN1',7500,69.40,'New',38.0,'{"loyalty": {"loypts": 20553, "rewtier": "Gold"}, "achievements": {"achcount": 92, "badgecoll": 18, "spectitles": 2}}'
'LOY_FXBW1','EVT_2R1MK','ENG_S3BP1',6857,13.90,'Established',67.3,'{"loyalty": {"loypts": 32525, "rewtier": "Bronze"}, "achievements": {"achcount": 5, "badgecoll": 10, "spectitles": 5}}'
'LOY_IQH41','EVT_22Y9G','ENG_C2TIQ',490,22.50,'Elite',82.5,'{"loyalty": {"loypts": 24827, "rewtier": "Gold"}, "achievements": {"achcount": 32, "badgecoll": 6, "spectitles": 0}}'
'LOY_DJEWM','EVT_RFY36','ENG_SLIYC',7866,41.30,'Established',15.1,'{"loyalty": {"loypts": 4799, "rewtier": "Silver"}, "achievements": {"achcount": 75, "badgecoll": 19, "spectitles": 0}}'
