1,1,1,95846,'2025-01-24 06:46:03.694','bookmark',10,'Desktop','2025-02-19 08:31:16.694','7','Related','Article','Headline','Scroll'
2,2,2,81619,'2025-02-01 20:15:58.694','bookmark',50,'App','2025-02-19 08:31:16.694','5','Trending','Homepage','Summary','Scroll'
3,3,3,67960,'2025-02-09 16:45:54.694','bookmark',3,'Desktop','2025-02-19 08:31:16.694','4','Related','Article','Image','Share'
4,4,4,80821,'2025-02-05 17:09:45.694','click',36,'Mobile','2025-02-19 08:31:16.694','7','Related','Homepage','Summary','Scroll'
5,5,5,53752,'2025-01-21 04:01:47.694','scroll',44,'Mobile','2025-02-19 08:31:16.694','6','Related','Article','Author','Scroll'
6,6,6,33917,'2025-01-20 08:00:19.694','share',9,'App','2025-02-19 08:31:16.694','8','Trending','Search','Headline','Scroll'
7,7,7,46735,'2025-01-21 10:54:27.694','click',14,'Desktop','2025-02-19 08:31:16.694','7','Related','Search','Summary','Scroll'
8,8,8,39139,'2025-02-02 18:37:37.694','share',50,'App','2025-02-19 08:31:16.694','2','Direct','External','Author','Share'
9,9,9,93323,'2025-01-23 12:53:51.694','scroll',35,'Mobile','2025-02-19 08:31:16.694','6','Recommended','External','Headline','Scroll'
10,10,10,88932,'2025-01-21 07:41:22.694','bookmark',6,'App','2025-02-19 08:31:16.694','10','Direct','Homepage','Image','Click'
11,11,11,14230,'2025-01-29 02:28:10.694','bookmark',3,'Desktop','2025-02-19 08:31:16.694','5','Related','Search','Image','Click'
12,12,12,48072,'2025-02-15 17:37:38.694','view',19,'Mobile','2025-02-19 08:31:16.694','8','Recommended','Article','Image','Share'
13,13,13,49360,'2025-02-10 08:44:48.694','scroll',4,'Tablet','2025-02-19 08:31:16.694','1','Direct','Article','Summary','Scroll'
14,14,14,14674,'2025-02-02 06:12:39.694','view',45,'Desktop','2025-02-19 08:31:16.694','4','Related','Homepage','Image','Share'
15,15,15,36861,'2025-01-29 06:44:54.694','share',35,'Mobile','2025-02-19 08:31:16.694','3','Direct','External','Image','Click'
16,16,16,12888,'2025-01-27 23:29:00.694','scroll',24,'App','2025-02-19 08:31:16.694','10','Related','Article','Image','Share'
17,17,17,22431,'2025-01-30 17:07:22.694','bookmark',3,'Mobile','2025-02-19 08:31:16.694','10','Direct','Homepage','Image','Scroll'
18,18,18,78592,'2025-02-16 04:17:28.694','click',30,'Tablet','2025-02-19 08:31:16.694','9','Recommended','Homepage','Summary','Click'
19,19,19,79711,'2025-01-27 13:35:21.694','view',13,'App','2025-02-19 08:31:16.694','9','Recommended','Search','Author','Click'
20,20,20,77878,'2025-02-06 21:27:49.694','scroll',32,'App','2025-02-19 08:31:16.694','7','Related','Search','Image','Scroll'
21,21,21,57104,'2025-01-20 14:40:24.694','share',17,'Mobile','2025-02-19 08:31:16.694','2','Related','Search','Image','Click'
22,22,22,49049,'2025-02-15 08:36:52.694','view',12,'Tablet','2025-02-19 08:31:16.694','3','Related','Article','Image','Hover'
23,23,23,34712,'2025-02-12 11:30:55.694','view',8,'Tablet','2025-02-19 08:31:16.694','3','Direct','External','Image','Scroll'
24,24,24,77714,'2025-01-27 13:04:45.694','click',13,'Mobile','2025-02-19 08:31:16.694','8','Direct','External','Image','Share'
25,25,25,89216,'2025-02-18 02:30:56.694','click',29,'Tablet','2025-02-19 08:31:16.694','9','Related','Homepage','Image','Click'
26,26,26,38445,'2025-02-15 22:10:48.694','view',47,'Desktop','2025-02-19 08:31:16.694','1','Trending','Homepage','Summary','Hover'
27,27,27,24730,'2025-02-03 05:53:49.694','view',25,'Mobile','2025-02-19 08:31:16.694','9','Direct','Search','Image','Click'
28,28,28,92665,'2025-02-18 15:50:03.694','share',19,'Tablet','2025-02-19 08:31:16.694','9','Trending','External','Headline','Hover'
29,29,29,20536,'2025-02-15 10:11:11.694','click',46,'Desktop','2025-02-19 08:31:16.694','1','Trending','External','Author','Scroll'
30,30,30,47331,'2025-01-29 22:09:25.694','bookmark',36,'App','2025-02-19 08:31:16.694','8','Direct','Search','Author','Share'
31,31,31,19515,'2025-02-02 01:55:42.694','bookmark',2,'Tablet','2025-02-19 08:31:16.694','2','Related','External','Summary','Share'
32,32,32,47634,'2025-01-28 10:30:30.694','click',41,'Desktop','2025-02-19 08:31:16.694','9','Recommended','Search','Author','Share'
