11,'2024-02-17','Trial','Regular','Enterprise',94,48,'Other','Student','Variant_B','{"feedback": {"type": "Dislike", "value": "3.0", "category": "Format"}, "interests": "Entertainment,Tech,Politics", "activity_level": "Low", "preference_score": 0.26, "satisfaction_score": 0.52}'
12,'2023-01-24','Premium','New','Premium',212,74,'F','Professional','Control','{"feedback": {"type": "Dislike", "value": "2.0", "category": "Relevance"}, "interests": "Science,Entertainment", "activity_level": "Medium", "preference_score": 0.79, "satisfaction_score": 0.73}'
13,'2023-11-21','Free','Regular','Basic',284,33,'Other','Retired','Variant_B','{"feedback": {"type": "Like", "value": "5.0", "category": "Relevance"}, "interests": "Science", "activity_level": "High", "preference_score": 0.50, "satisfaction_score": 0.56}'
14,'2024-08-10','Free','Regular','Basic',136,66,'F','Professional','Variant_A','{"feedback": {"type": "Dislike", "value": "3.0", "category": "Relevance"}, "interests": "Entertainment,Science", "activity_level": "High", "preference_score": 0.40, "satisfaction_score": 0.29}'
15,'2022-10-13','Trial','Regular','Enterprise',339,62,'F','Professional','Variant_B','{"feedback": {"type": "Like", "value": "3.0", "category": "Relevance"}, "interests": "Science,Business,Politics", "activity_level": "Medium", "preference_score": 0.14, "satisfaction_score": 0.02}'
16,'2024-07-13','Premium','Regular','Basic',293,42,'M','Student','Control','{"feedback": {"type": "Like", "value": "3.0", "category": "Format"}, "interests": "Business,Sports,Tech,Politics", "activity_level": "Low", "preference_score": 0.36, "satisfaction_score": 1.00}'
17,'2024-09-29','Free','Active','Enterprise',37,22,'M','Other','Variant_A','{"feedback": {"type": "Like", "value": "3.0", "category": "Relevance"}, "interests": "Entertainment,Sports", "activity_level": "Low", "preference_score": 0.83, "satisfaction_score": 0.01}'
19,'2022-10-17','Premium','New','Premium',298,58,'Other','Professional','Variant_A','{"feedback": {"type": "Dislike", "value": "3.0", "category": "Content"}, "interests": "Sports,Entertainment", "activity_level": "Medium", "preference_score": 0.74, "satisfaction_score": 0.04}'
20,'2023-08-02','Premium','Regular','Basic',258,76,'F','Retired','Variant_A','{"feedback": {"type": "Like", "value": "3.0", "category": "Relevance"}, "interests": "Science", "activity_level": "Low", "preference_score": 0.87, "satisfaction_score": 0.04}'
21,'2023-10-02','Trial','Active','Enterprise',241,60,'Other','Student','Control','{"feedback": {"type": "Like", "value": "3.0", "category": "Relevance"}, "interests": "Tech", "activity_level": "Medium", "preference_score": 0.90, "satisfaction_score": 0.73}'
22,'2024-02-01','Premium','New','Basic',70,23,'M','Student','Variant_A','{"feedback": {"type": "Like", "value": "3.0", "category": "Relevance"}, "interests": "Sports,Science", "activity_level": "High", "preference_score": 0.09, "satisfaction_score": 1.00}'
