1,'2025-01-24 06:46:03.694',1106,0.60,'4',10,0.08,'Hit','v3','5.0','f3',1,1
2,'2025-02-01 20:15:58.694',1488,0.38,'0',10,0.43,'Hit','v3','3.7','f3',2,2
3,'2025-02-09 16:45:54.694',1270,0.10,'4',1,0.25,'Hit','v2','2.9','f4,f5',3,3
4,'2025-02-05 17:09:45.694',952,0.07,'5',10,0.05,'Hit','v1','5.3','f4',4,4
5,'2025-01-21 04:01:47.694',1292,0.70,'4',3,0.07,'Expired','v1','5.3','f3,f1,f4',5,5
6,'2025-01-20 08:00:19.694',734,0.13,'3',0,0.28,'Hit','v1','1.2','f2,f4,f5',6,6
7,'2025-01-21 10:54:27.694',1998,0.10,'1',10,0.82,'Expired','v1','4.4','f4,f3,f5',7,7
8,'2025-02-02 18:37:37.694',1958,0.29,'0',2,0.47,'Miss','v2','1.1','f1,f5,f2',8,8
9,'2025-01-23 12:53:51.694',735,0.02,'0',0,0.54,'Miss','v3','2.2','f1',9,9
10,'2025-01-21 07:41:22.694',1930,0.88,'3',4,0.69,'Hit','v2','1.1','f2,f5,f4',10,10
11,'2025-01-29 02:28:10.694',1901,0.23,'1',8,0.04,'Miss','v3','5.8','f3,f2',11,11
12,'2025-02-15 17:37:38.694',296,0.34,'2',7,0.91,'Hit','v1','1.0','f3,f1',12,12
13,'2025-02-10 08:44:48.694',1837,1.00,'0',8,0.44,'Expired','v2','1.9','f1,f3',13,13
14,'2025-02-02 06:12:39.694',1935,0.38,'0',10,0.48,'Expired','v2','1.3','f5',14,14
15,'2025-01-29 06:44:54.694',693,0.84,'3',4,0.20,'Hit','v2','1.5','f5',15,15
16,'2025-01-27 23:29:00.694',1860,0.58,'2',7,0.77,'Expired','v1','3.8','f3,f1,f2',16,16
17,'2025-01-30 17:07:22.694',1305,0.02,'5',7,0.52,'Miss','v2','3.9','f3',17,17
18,'2025-02-16 04:17:28.694',990,0.89,'5',3,0.00,'Miss','v3','1.9','f3',18,18
19,'2025-01-27 13:35:21.694',1653,0.48,'1',2,0.25,'Expired','v3','3.1','f2,f4',19,19
20,'2025-02-06 21:27:49.694',193,0.41,'5',9,0.94,'Miss','v2','5.8','f1,f2',20,20
21,'2025-01-20 14:40:24.694',1031,0.37,'1',7,0.96,'Hit','v3','5.6','f2,f1',21,21
22,'2025-02-15 08:36:52.694',327,0.97,'0',4,0.68,'Miss','v1','2.7','f3,f5,f4',22,22
23,'2025-02-12 11:30:55.694',1614,0.99,'1',1,0.23,'Hit','v2','3.7','f4,f5',23,23
24,'2025-01-27 13:04:45.694',624,0.19,'5',7,0.41,'Miss','v1','2.4','f4,f1',24,24
25,'2025-02-18 02:30:56.694',630,0.99,'5',9,0.27,'Miss','v1','4.3','f4',25,25
26,'2025-02-15 22:10:48.694',1478,0.33,'2',5,0.92,'Expired','v2','3.7','f4,f3',26,26
