3,'{"scroll": {"depth": 82, "speed": 583.20, "percentage": 27.50}, "exit_type": "Bounce", "conversion": {"value": 98.75, "status": "Share"}, "time_spent": {"viewport_time": 170.20, "attention_time": 845.40, "reading_seconds": 1354.60, "duration_seconds": 2326}, "next_action": "Another Article", "bounce_status": "No", "click_seconds": 49.20}'
4,'{"scroll": {"depth": 63, "speed": 293.20, "percentage": 11.90}, "exit_type": "Timeout", "conversion": {"value": 23.19, "status": "Subscription"}, "time_spent": {"viewport_time": 209.40, "attention_time": 106.60, "reading_seconds": 1664.70, "duration_seconds": 272}, "next_action": "Share", "bounce_status": "No", "click_seconds": 21.50}'
5,'{"scroll": {"depth": 18, "speed": 888.20, "percentage": 77.40}, "exit_type": "Bounce", "conversion": {"value": 35.69, "status": "Newsletter"}, "time_spent": {"viewport_time": 107.10, "attention_time": 616.10, "reading_seconds": 593.00, "duration_seconds": 1212}, "next_action": "Exit", "bounce_status": "Yes", "click_seconds": 5.10}'
6,'{"scroll": {"depth": 70, "speed": 306.00, "percentage": 25.10}, "exit_type": "External", "conversion": {"value": 9.90, "status": "Newsletter"}, "time_spent": {"viewport_time": 34.20, "attention_time": 144.20, "reading_seconds": 1611.10, "duration_seconds": 2603}, "next_action": "Another Article", "bounce_status": "No", "click_seconds": 26.00}'
7,'{"scroll": {"depth": 84, "speed": 303.10, "percentage": 32.70}, "exit_type": "Timeout", "conversion": {"value": 52.98, "status": "Subscription"}, "time_spent": {"viewport_time": 141.40, "attention_time": 594.50, "reading_seconds": 1160.80, "duration_seconds": 2956}, "next_action": "Search", "bounce_status": "No", "click_seconds": 59.40}'
8,'{"scroll": {"depth": 55, "speed": 688.00, "percentage": 34.30}, "exit_type": "Natural", "conversion": {"value": 78.77, "status": "Newsletter"}, "time_spent": {"viewport_time": 256.50, "attention_time": 311.90, "reading_seconds": 167.50, "duration_seconds": 3591}, "next_action": "Search", "bounce_status": "Yes", "click_seconds": 35.40}'
9,'{"scroll": {"depth": 36, "speed": 541.20, "percentage": 61.50}, "exit_type": "Bounce", "conversion": {"value": 96.79, "status": "Newsletter"}, "time_spent": {"viewport_time": 70.40, "attention_time": 584.30, "reading_seconds": 1182.30, "duration_seconds": 2428}, "next_action": "Exit", "bounce_status": "No", "click_seconds": 38.60}'
10,'{"scroll": {"depth": 72, "speed": 954.70, "percentage": 80.10}, "exit_type": "Natural", "conversion": {"value": 61.68, "status": "Newsletter"}, "time_spent": {"viewport_time": 233.00, "attention_time": 775.90, "reading_seconds": 1265.30, "duration_seconds": 1324}, "next_action": "Exit", "bounce_status": "No", "click_seconds": 35.20}'
11,'{"scroll": {"depth": 57, "speed": 774.00, "percentage": 55.20}, "exit_type": "External", "conversion": {"value": 99.21, "status": "Subscription"}, "time_spent": {"viewport_time": 238.80, "attention_time": 733.90, "reading_seconds": 388.20, "duration_seconds": 2952}, "next_action": "Search", "bounce_status": "No", "click_seconds": 36.20}'
12,'{"scroll": {"depth": 67, "speed": 21.20, "percentage": 4.80}, "exit_type": "Natural", "conversion": {"value": 97.44, "status": "Subscription"}, "time_spent": {"viewport_time": 17.60, "attention_time": 279.00, "reading_seconds": 1523.30, "duration_seconds": 3571}, "next_action": "Search", "bounce_status": "No", "click_seconds": 43.90}'
13,'{"scroll": {"depth": 45, "speed": 522.70, "percentage": 37.40}, "exit_type": "Natural", "conversion": {"value": 51.76, "status": "Share"}, "time_spent": {"viewport_time": 79.30, "attention_time": 282.90, "reading_seconds": 357.20, "duration_seconds": 3307}, "next_action": "Share", "bounce_status": "Yes", "click_seconds": 26.70}'
