1,2984,4,547.0,'Connected',939,'9340653','6559236',-0.008,203.00,810,0.0014,0.0039,1
2,7728,48,199.0,'Connected',408,'1943398','5033445',0.005,216.00,985,-0.0074,0.0011,2
3,5759,41,441.0,'Disconnected',981,'5199723','8934815',0.003,431.00,649,-0.0046,0.0037,3
4,132,65,409.0,'Disconnected',453,'9988341','8496843',0.004,564.00,796,0.0005,0.0007,4
5,8180,1,412.0,'Disconnected',867,'5443901','3825955',-0.005,786.00,411,-0.0095,0.0044,5
6,5569,55,833.0,'Connected',938,'1737537','3884002',-0.003,450.00,423,-0.0054,0.0077,6
7,7529,53,756.0,'Connected',875,'2602475','5627461',0.006,694.00,322,-0.0021,0.0089,7
8,1706,93,373.0,'Connected',679,'3978770','9627536',-0.008,990.00,88,-0.0049,0.0017,8
9,6666,87,226.0,'Disconnected',747,'4166930','3398493',0.006,803.00,448,-0.0044,0.0094,9
10,4006,3,796.0,'Connected',951,'3206388','4675537',-0.005,136.00,690,-0.0094,0.0048,10
11,7642,72,849.0,'Connected',858,'2912139','7171657',0.007,699.00,682,0.0091,0.0043,11
12,1520,12,294.0,'Connected',488,'1270177','7778036',-0.004,349.00,994,-0.0061,0.0063,12
13,997,33,716.0,'Connected',464,'5467630','7507660',-0.005,647.00,313,-0.0032,0.0076,13
14,5311,31,331.0,'Connected',714,'5332356','6177758',-0.001,80.00,50,0.007,0.0028,14
15,8061,75,893.0,'Connected',795,'1816826','1636098',0.005,354.00,897,-0.0011,0.0089,15
16,678,48,164.0,'Disconnected',105,'2314991','8713601',-0.009,297.00,572,0.0051,0.0038,16
17,3441,62,651.0,'Connected',450,'8822144','3976861',-0.008,302.00,631,-0.0073,0.004,17
18,5278,23,92.0,'Disconnected',335,'1460914','2829561',-0.002,813.00,720,-0.0036,0.0018,18
19,1496,25,898.0,'Connected',923,'8244067','3519573',-0.008,526.00,630,-0.0028,0.0062,19
20,5249,90,697.0,'Disconnected',651,'3709788','3665751',-0.004,148.00,141,0.0082,0.0007,20
21,2477,70,616.0,'Disconnected',947,'8243572','8280726',-0.002,137.00,523,-0.0069,0.0093,21
22,6532,63,284.0,'Disconnected',787,'6713555','6116338',-0.008,53.00,613,0.0032,0.0064,22
23,3142,96,245.0,'Connected',701,'5558148','9287922',-0.001,347.00,739,-0.0009,0.006,23
24,1474,23,621.0,'Disconnected',274,'2728981','1445347',0.010,67.00,84,-0.0007,0.0011,24
25,3452,8,545.0,'Disconnected',123,'4587274','5429880',0.007,850.00,936,0.0029,0.0062,25
26,3946,63,631.0,'Disconnected',849,'9936555','6822352',-0.010,694.00,288,-0.008,0.0074,26
27,7285,46,945.0,'Disconnected',517,'8390537','7109986',0.000,858.00,220,-0.0053,0.0067,27
28,5393,13,599.0,'Connected',28,'6142420','2936555',0.008,111.00,795,0.004,0.0032,28
29,7258,67,820.0,'Connected',735,'2532868','6054286',0.005,707.00,157,-0.0083,0.006,29
30,6591,57,778.0,'Connected',483,'9312736','6133095',0.005,291.00,194,-0.0072,0.007,30
31,8708,76,282.0,'Disconnected',120,'9645626','6478908',0.010,281.00,828,-0.0011,0.0051,31
32,5935,97,858.0,'Disconnected',622,'5287649','1293534',-0.001,387.00,769,0.0021,0.0009,32
33,5953,77,446.0,'Connected',206,'7497255','7762729',-0.007,552.00,724,-0.0005,0.0024,33
34,393,60,959.0,'Connected',108,'1250728','8896415',0.003,106.00,451,0.0001,0.01,34
35,4141,4,170.0,'Connected',882,'7316269','2258553',0.003,318.00,798,-0.0084,0.0035,35
36,7303,6,163.0,'Connected',969,'6868267','2601233',0.008,654.00,281,-0.0004,0.0054,36
37,3175,13,703.0,'Connected',626,'3997791','4292546',0.004,666.00,203,-0.0092,0.0008,37
38,7145,97,822.0,'Connected',478,'4620755','1576936',0.001,356.00,399,0.01,0.0064,38
39,2131,57,920.0,'Connected',584,'2446833','7055229',-0.004,776.00,892,0.006,0.0079,39
40,914,8,424.0,'Connected',701,'1954528','4358298',0.004,770.00,873,-0.0036,0.0047,40
41,7193,10,56.0,'Connected',767,'6283191','7410880',-0.007,95.00,527,0.008,0.0098,41
42,1760,14,594.0,'Connected',139,'5232316','4059914',-0.010,127.00,530,0.004,0.0037,42
43,1404,22,267.0,'Connected',785,'2388895','4826823',-0.005,450.00,941,-0.01,0.0043,43
44,537,55,930.0,'Disconnected',757,'7066864','3849103',-0.009,670.00,164,0.0047,0.0002,44
45,6231,91,993.0,'Disconnected',495,'3934181','4204389',0.003,754.00,158,0.0033,0.0067,45
46,8836,69,441.0,'Connected',117,'4258442','2258414',0.008,10.00,702,0.0095,0.001,46
47,4170,85,690.0,'Disconnected',419,'1946350','4509705',-0.007,978.00,890,0.0,0.0083,47
48,8822,92,347.0,'Disconnected',423,'7618056','8902421',0.008,325.00,36,-0.0076,0.0097,48
49,4313,58,292.0,'Disconnected',887,'8507772','7214810',-0.003,195.00,358,0.0002,0.0048,49
50,1332,93,168.0,'Disconnected',170,'2017308','9999688',-0.004,680.00,790,-0.0031,0.0028,50
51,9672,81,323.0,'Connected',887,'4805101','8664716',0.002,249.00,184,0.0076,0.0002,51
52,7993,57,78.0,'Disconnected',315,'5386126','5146456',0.002,7.00,418,0.0092,0.0058,52
53,4286,50,106.0,'Connected',624,'1512812','4068788',-0.009,527.00,416,0.0067,0.0006,53
54,4508,44,83.0,'Disconnected',138,'6835237','3844896',-0.005,372.00,426,0.0005,0.0068,54
55,1914,85,149.0,'Disconnected',884,'9726877','8995243',0.010,123.00,109,-0.0041,0.0046,55
56,7954,74,891.0,'Disconnected',17,'2498975','5925775',0.005,513.00,553,0.0079,0.0058,56
57,3835,65,101.0,'Connected',651,'4238239','1517386',0.005,333.00,239,0.0041,0.0037,57
58,4682,68,189.0,'Disconnected',473,'3212201','1157093',0.007,875.00,716,-0.0047,0.0005,58
59,9483,47,931.0,'Disconnected',500,'6192092','6997769',0.005,436.00,94,-0.0086,0.0042,59
60,6836,69,146.0,'Disconnected',361,'1878093','7594014',-0.005,471.00,745,0.0015,0.003,60
61,5807,25,221.0,'Connected',586,'2141718','5930618',0.001,896.00,307,-0.0016,0.0037,61
62,1875,85,220.0,'Connected',905,'5458664','1294024',-0.006,808.00,90,0.0003,0.0061,62
63,4972,38,225.0,'Disconnected',753,'6838900','8257778',-0.007,552.00,699,-0.0059,0.0043,63
64,3781,64,31.0,'Connected',501,'9367304','7601622',0.006,682.00,723,-0.0063,0.0004,64
65,3042,62,754.0,'Connected',163,'4297106','4197921',-0.001,252.00,989,-0.0065,0.0071,65
66,5239,0,576.0,'Disconnected',301,'5964836','4484474',0.004,906.00,809,0.0008,0.0043,66
67,2694,40,882.0,'Disconnected',493,'8751809','2173366',-0.006,268.00,534,0.0096,0.0011,67
