1,0.0004,'2025-02-19 14:29:46.000',808922.74000,3045613.27,73628,9406054.280,0.080,27823.670,25912.080,26269.450,438986638.670,79417014.510,96226091.910,188391541.040,0.026,52,0.90,55.65,1
2,0.0010,'2025-02-19 09:29:46.000',809953.60000,7633418.69,96633,7837475.610,-0.137,10741.860,9151.160,9857.690,933923095.270,49545947.870,61332400.540,67917061.740,0.311,76,0.83,96.53,2
3,-0.0001,'2025-02-19 12:29:46.000',508322.66000,8590839.84,16878,3696795.960,0.147,11080.100,10040.800,11107.160,962118981.670,78894784.650,83071569.320,110069663.400,0.404,29,0.92,36.88,3
4,0.0003,'2025-02-19 11:29:46.000',253993.32000,9609874.55,87712,7313084.930,0.004,38431.560,34195.600,36951.790,492406158.220,76718270.870,112045057.270,154744857.850,0.453,27,0.05,83.55,4
5,-0.0003,'2025-02-19 09:29:46.000',870600.38000,2785446.35,28764,3736992.320,-0.142,49593.140,46870.460,49217.130,14615603.530,6539225.590,6992048.720,12645734.750,0.095,89,0.24,81.94,5
6,-0.0008,'2025-02-19 13:29:46.000',674669.10000,1258728.52,16808,1521136.890,-0.074,26186.060,22728.850,22663.370,117315053.130,23575607.360,46150098.220,78824343.940,0.319,71,0.22,6.85,6
7,0.0009,'2025-02-19 11:29:46.000',950048.21000,4565218.57,39420,2707134.240,0.074,31560.020,28839.400,31312.620,264064267.390,54027599.050,57309392.320,72460405.490,0.385,22,0.02,53.54,7
8,-0.0008,'2025-02-19 16:29:46.000',465926.27000,8072875.25,96280,3289058.990,-0.146,14229.740,12968.390,12788.160,89190379.080,4468870.410,8541383.310,11246126.760,0.326,17,0.47,53.56,8
9,0.0001,'2025-02-19 16:29:46.000',863183.51000,580275.91,92388,3033584.050,-0.181,51521.230,43927.540,48581.150,50806774.990,68563406.940,98003488.830,189129575.660,0.351,16,0.65,90.25,9
10,-0.0008,'2025-02-19 14:29:46.000',570425.89000,7690590.66,25881,6304193.890,-0.028,40368.220,36469.140,40420.520,623787004.720,25822501.590,28685134.500,54872012.440,0.117,78,0.62,58.16,10
11,0.0004,'2025-02-19 11:29:46.000',461522.35000,951805.35,37256,2987854.770,0.042,41320.060,38582.910,41150.840,500252387.270,46422914.410,75053203.730,83003435.080,0.163,24,0.16,29.10,11
12,-0.0006,'2025-02-19 09:29:46.000',72333.24000,2218787.31,83847,8305830.040,-0.018,6485.840,5853.400,6076.950,26427005.930,88571376.050,142262370.310,246156147.950,0.091,68,0.64,82.45,12
13,0.0008,'2025-02-19 15:29:46.000',125917.80000,9821689.78,52117,4163208.590,-0.081,23334.640,20553.220,23002.190,738335674.520,60790535.140,95726853.330,188973795.630,0.497,53,0.51,34.47,13
