3,3,3,'{"flow": {"instflow": 0.395, "flowimbal": 0.098, "retailflow": 0.552, "smartforce": -0.265, "tradeimbal": -0.55, "largeflowrate": 0.830}, "walls": {"buywallband": 0.052, "sellwallband": 0.014}, "momentum": {"mktfeel": "Bearish", "buyforce": 0.328, "sellforce": 0.506, "techmeter": "Buy"}, "arbitrage": {"fundgap": 0.0041, "basisgap": 0.0048, "xexchband": 0.0033, "arbpotential": 0.0007}, "big_players": {"makermotion": "Low", "whalemotion": "Medium"}, "oscillators": {"bbandspan": 65.310, "macdtrail": 3.640, "rsi14spot": 93.550}}'
4,4,4,'{"flow": {"instflow": 0.753, "flowimbal": -0.3, "retailflow": 0.023, "smartforce": -0.739, "tradeimbal": 0.848, "largeflowrate": 0.352}, "walls": {"buywallband": 0.019, "sellwallband": 0.068}, "momentum": {"mktfeel": "Bullish", "buyforce": 0.317, "sellforce": 0.824, "techmeter": "Buy"}, "arbitrage": {"fundgap": 0.0073, "basisgap": 0.0012, "xexchband": 0.0021, "arbpotential": 0.0006}, "big_players": {"makermotion": "High", "whalemotion": "Low"}, "oscillators": {"bbandspan": 63.290, "macdtrail": -7.910, "rsi14spot": 51.890}}'
5,5,5,'{"flow": {"instflow": -0.621, "flowimbal": 0.817, "retailflow": 0.108, "smartforce": -0.049, "tradeimbal": -0.083, "largeflowrate": 0.376}, "walls": {"buywallband": 0.038, "sellwallband": 0.051}, "momentum": {"mktfeel": "Bearish", "buyforce": 0.38, "sellforce": 0.433, "techmeter": "Sell"}, "arbitrage": {"fundgap": 0.0045, "basisgap": 0.0070, "xexchband": 0.0087, "arbpotential": 0.0064}, "big_players": {"makermotion": "Medium", "whalemotion": "Medium"}, "oscillators": {"bbandspan": 88.300, "macdtrail": -5.890, "rsi14spot": 16.520}}'
6,6,6,'{"flow": {"instflow": -0.281, "flowimbal": 0.942, "retailflow": 0.947, "smartforce": -0.589, "tradeimbal": -0.503, "largeflowrate": 0.023}, "walls": {"buywallband": 0.051, "sellwallband": 0.020}, "momentum": {"mktfeel": "Bullish", "buyforce": 0.527, "sellforce": 0.932, "techmeter": "Sell"}, "arbitrage": {"fundgap": 0.0083, "basisgap": 0.0044, "xexchband": 0.0089, "arbpotential": 0.0069}, "big_players": {"makermotion": "Low", "whalemotion": "Low"}, "oscillators": {"bbandspan": 90.440, "macdtrail": -8.890, "rsi14spot": 21.280}}'
7,7,7,'{"flow": {"instflow": 0.844, "flowimbal": -0.276, "retailflow": 0.945, "smartforce": 0.967, "tradeimbal": 0.706, "largeflowrate": 0.820}, "walls": {"buywallband": 0.036, "sellwallband": 0.024}, "momentum": {"mktfeel": "Bearish", "buyforce": 0.462, "sellforce": 0.657, "techmeter": "Buy"}, "arbitrage": {"fundgap": 0.0059, "basisgap": 0.0037, "xexchband": 0.0021, "arbpotential": 0.0001}, "big_players": {"makermotion": "High", "whalemotion": "High"}, "oscillators": {"bbandspan": 31.020, "macdtrail": -8.630, "rsi14spot": 72.650}}'
8,8,8,'{"flow": {"instflow": -0.762, "flowimbal": -0.739, "retailflow": -0.694, "smartforce": -0.75, "tradeimbal": -0.362, "largeflowrate": 0.355}, "walls": {"buywallband": 0.074, "sellwallband": 0.045}, "momentum": {"mktfeel": "Bullish", "buyforce": 0.376, "sellforce": 0.288, "techmeter": "Hold"}, "arbitrage": {"fundgap": 0.0048, "basisgap": 0.0029, "xexchband": 0.0033, "arbpotential": 0.0004}, "big_players": {"makermotion": "High", "whalemotion": "Low"}, "oscillators": {"bbandspan": 52.070, "macdtrail": -6.990, "rsi14spot": 44.650}}'
9,9,9,'{"flow": {"instflow": 0.998, "flowimbal": 0.562, "retailflow": 0.95, "smartforce": -0.062, "tradeimbal": 0.675, "largeflowrate": 0.310}, "walls": {"buywallband": 0.083, "sellwallband": 0.084}, "momentum": {"mktfeel": "Neutral", "buyforce": 0.726, "sellforce": 0.878, "techmeter": "Buy"}, "arbitrage": {"fundgap": 0.0079, "basisgap": 0.0014, "xexchband": 0.0064, "arbpotential": 0.0000}, "big_players": {"makermotion": "High", "whalemotion": "High"}, "oscillators": {"bbandspan": 26.100, "macdtrail": 5.290, "rsi14spot": 42.670}}'
10,10,10,'{"flow": {"instflow": -0.252, "flowimbal": -0.884, "retailflow": 0.575, "smartforce": 0.75, "tradeimbal": 0.861, "largeflowrate": 0.194}, "walls": {"buywallband": 0.012, "sellwallband": 0.028}, "momentum": {"mktfeel": "Neutral", "buyforce": 0.016, "sellforce": 0.56, "techmeter": "Buy"}, "arbitrage": {"fundgap": 0.0003, "basisgap": 0.0065, "xexchband": 0.0089, "arbpotential": 0.0094}, "big_players": {"makermotion": "High", "whalemotion": "Medium"}, "oscillators": {"bbandspan": 62.950, "macdtrail": 0.980, "rsi14spot": 40.740}}'
11,11,11,'{"flow": {"instflow": 0.581, "flowimbal": 0.589, "retailflow": -0.998, "smartforce": -0.13, "tradeimbal": 0.564, "largeflowrate": 0.351}, "walls": {"buywallband": 0.042, "sellwallband": 0.044}, "momentum": {"mktfeel": "Bearish", "buyforce": 0.963, "sellforce": 0.722, "techmeter": "Buy"}, "arbitrage": {"fundgap": 0.0011, "basisgap": 0.0086, "xexchband": 0.0054, "arbpotential": 0.0018}, "big_players": {"makermotion": "Low", "whalemotion": "Low"}, "oscillators": {"bbandspan": 7.540, "macdtrail": 3.410, "rsi14spot": 40.050}}'
12,12,12,'{"flow": {"instflow": -0.672, "flowimbal": -0.747, "retailflow": -0.67, "smartforce": 0.782, "tradeimbal": 0.662, "largeflowrate": 0.266}, "walls": {"buywallband": 0.051, "sellwallband": 0.051}, "momentum": {"mktfeel": "Bullish", "buyforce": 0.973, "sellforce": 0.662, "techmeter": "Sell"}, "arbitrage": {"fundgap": 0.0082, "basisgap": 0.0037, "xexchband": 0.0032, "arbpotential": 0.0067}, "big_players": {"makermotion": "Medium", "whalemotion": "Medium"}, "oscillators": {"bbandspan": 49.290, "macdtrail": 4.150, "rsi14spot": 83.820}}'
13,13,13,'{"flow": {"instflow": -0.942, "flowimbal": 0.919, "retailflow": 0.283, "smartforce": -0.706, "tradeimbal": -0.383, "largeflowrate": 0.924}, "walls": {"buywallband": 0.017, "sellwallband": 0.060}, "momentum": {"mktfeel": "Neutral", "buyforce": 0.818, "sellforce": 0.208, "techmeter": "Sell"}, "arbitrage": {"fundgap": 0.0090, "basisgap": 0.0039, "xexchband": 0.0020, "arbpotential": 0.0045}, "big_players": {"makermotion": "Medium", "whalemotion": "High"}, "oscillators": {"bbandspan": 62.630, "macdtrail": -1.940, "rsi14spot": 85.830}}'
