1,'OB333576                            ','2025-02-19 08:29:46.049','EX203     ','ETH-USDT','OR6728455                           ','U583322                             ','Stop','Sell',27080.390,1.9930,53970.000,'New','IOC','API','CL5311016','2025-02-18 09:54:51.049','2025-02-19 08:29:46.049'
2,'OB798737                            ','2025-02-19 08:29:46.049','EX506     ','ADA-USDC','OR9929123                           ','U810391                             ','Market','Sell',10075.880,8.0410,81019.900,'PartiallyFilled','GTC','Web','CL4886815','2025-02-18 19:01:42.049','2025-02-19 08:29:46.049'
3,'OB179652                            ','2025-02-19 08:29:46.049','EX497     ','BTC-USDT','OR8906157                           ','U485932                             ','Limit','Sell',10665.390,7.9757,85064.150,'Cancelled','GTD','Mobile','CL8161496','2025-02-18 20:34:55.049','2025-02-19 08:29:46.049'
4,'OB827275                            ','2025-02-19 08:29:46.049','EX409     ','SOL-USDC','OR8380342                           ','U342072                             ','Limit','Sell',37386.340,7.5173,281044.710,'Filled','GTD','Web','CL1708462','2025-02-18 15:19:12.049','2025-02-19 08:29:46.049'
5,'OB736523                            ','2025-02-19 08:29:46.049','EX702     ','ETH-USDC','OR1468420                           ','U575806                             ','Stop','Sell',47774.900,3.0475,145594.010,'PartiallyFilled','GTC','Mobile','CL3906138','2025-02-19 01:48:24.049','2025-02-19 08:29:46.049'
6,'OB575491                            ','2025-02-19 08:29:46.049','EX541     ','BTC-USD','OR2127539                           ','U388201                             ','Limit','Sell',23821.660,6.2157,148067.790,'Cancelled','IOC','API','CL8329972','2025-02-19 06:47:50.049','2025-02-19 08:29:46.049'
7,'OB892943                            ','2025-02-19 08:29:46.049','EX283     ','SOL-USDC','OR2356404                           ','U451997                             ','StopLimit','Buy',30298.700,0.8177,24774.160,'PartiallyFilled','FOK','API','CL6137981','2025-02-19 05:03:23.049','2025-02-19 08:29:46.049'
8,'OB824478                            ','2025-02-19 08:29:46.049','EX127     ','ADA-USDC','OR7439579                           ','U911816                             ','Market','Buy',13163.350,6.2723,82565.010,'PartiallyFilled','GTD','Mobile','CL3366161','2025-02-18 15:24:57.049','2025-02-19 08:29:46.049'
9,'OB214938                            ','2025-02-19 08:29:46.049','EX984     ','SOL-USDC','OR9854511                           ','U870817                             ','StopLimit','Buy',47902.330,1.6086,77054.630,'New','GTD','Bot','CL4563021','2025-02-18 10:49:25.049','2025-02-19 08:29:46.049'
10,'OB825463                            ','2025-02-19 08:29:46.049','EX989     ','BTC-USDT','OR7055769                           ','U439206                             ','Limit','Sell',39396.030,6.6254,261012.760,'New','GTC','Web','CL8113723','2025-02-18 18:29:16.049','2025-02-19 08:29:46.049'
