3,'{"depth": {"askdepth": 124, "askunits": 88.5548, "biddepth": 370, "bidunits": 32.7479}, "quotes": {"askquote": 10670.090, "bidquote": 10660.450, "midquote": 10665.270, "markquote": 10659.730, "indexquote": 10670.970}, "spread": {"spreadband": 9.64, "spreadrate": 0.0904}, "metadata": {"exchnote": "EX497     ", "mktcombo": "BTC-USDT", "timetrack": "2025-02-19T08:29:46.049442"}}'
4,'{"depth": {"askdepth": 69, "askunits": 95.6982, "biddepth": 808, "bidunits": 82.0956}, "quotes": {"askquote": 37394.150, "bidquote": 37376.590, "midquote": 37385.370, "markquote": 37399.080, "indexquote": 37371.310}, "spread": {"spreadband": 17.56, "spreadrate": 0.0470}, "metadata": {"exchnote": "EX409     ", "mktcombo": "SOL-USDC", "timetrack": "2025-02-19T08:29:46.049442"}}'
5,'{"depth": {"askdepth": 184, "askunits": 63.6802, "biddepth": 567, "bidunits": 23.2098}, "quotes": {"askquote": 47805.680, "bidquote": 47734.180, "midquote": 47769.930, "markquote": 47789.710, "indexquote": 47814.950}, "spread": {"spreadband": 71.5, "spreadrate": 0.1497}, "metadata": {"exchnote": "EX702     ", "mktcombo": "ETH-USDC", "timetrack": "2025-02-19T08:29:46.049442"}}'
6,'{"depth": {"askdepth": 553, "askunits": 39.2658, "biddepth": 603, "bidunits": 56.3464}, "quotes": {"askquote": 23830.820, "bidquote": 23804.190, "midquote": 23817.500, "markquote": 23834.020, "indexquote": 23827.760}, "spread": {"spreadband": 26.63, "spreadrate": 0.1118}, "metadata": {"exchnote": "EX541     ", "mktcombo": "BTC-USD", "timetrack": "2025-02-19T08:29:46.049442"}}'
7,'{"depth": {"askdepth": 133, "askunits": 51.9634, "biddepth": 171, "bidunits": 22.6696}, "quotes": {"askquote": 30300.880, "bidquote": 30279.140, "midquote": 30290.010, "markquote": 30302.210, "indexquote": 30268.460}, "spread": {"spreadband": 21.74, "spreadrate": 0.0718}, "metadata": {"exchnote": "EX283     ", "mktcombo": "SOL-USDC", "timetrack": "2025-02-19T08:29:46.049442"}}'
8,'{"depth": {"askdepth": 538, "askunits": 37.8045, "biddepth": 336, "bidunits": 59.1078}, "quotes": {"askquote": 13163.390, "bidquote": 13160.700, "midquote": 13162.050, "markquote": 13175.270, "indexquote": 13151.250}, "spread": {"spreadband": 2.69, "spreadrate": 0.0204}, "metadata": {"exchnote": "EX127     ", "mktcombo": "ADA-USDC", "timetrack": "2025-02-19T08:29:46.049442"}}'
9,'{"depth": {"askdepth": 423, "askunits": 59.4743, "biddepth": 268, "bidunits": 14.2401}, "quotes": {"askquote": 47931.140, "bidquote": 47901.350, "midquote": 47916.240, "markquote": 47865.340, "indexquote": 47908.540}, "spread": {"spreadband": 29.79, "spreadrate": 0.0622}, "metadata": {"exchnote": "EX984     ", "mktcombo": "SOL-USDC", "timetrack": "2025-02-19T08:29:46.049442"}}'
10,'{"depth": {"askdepth": 252, "askunits": 86.4280, "biddepth": 62, "bidunits": 86.6376}, "quotes": {"askquote": 39403.430, "bidquote": 39358.020, "midquote": 39380.720, "markquote": 39435.400, "indexquote": 39374.580}, "spread": {"spreadband": 45.41, "spreadrate": 0.1153}, "metadata": {"exchnote": "EX989     ", "mktcombo": "BTC-USDT", "timetrack": "2025-02-19T08:29:46.049442"}}'
11,'{"depth": {"askdepth": 698, "askunits": 0.2451, "biddepth": 503, "bidunits": 34.1182}, "quotes": {"askquote": 40432.480, "bidquote": 40392.230, "midquote": 40412.360, "markquote": 40381.920, "indexquote": 40390.510}, "spread": {"spreadband": 40.25, "spreadrate": 0.0996}, "metadata": {"exchnote": "EX280     ", "mktcombo": "ETH-USDT", "timetrack": "2025-02-19T08:29:46.049442"}}'
12,'{"depth": {"askdepth": 482, "askunits": 82.0596, "biddepth": 581, "bidunits": 61.2594}, "quotes": {"askquote": 6104.140, "bidquote": 6099.820, "midquote": 6101.980, "markquote": 6101.610, "indexquote": 6104.980}, "spread": {"spreadband": 4.32, "spreadrate": 0.0708}, "metadata": {"exchnote": "EX134     ", "mktcombo": "SOL-USDT", "timetrack": "2025-02-19T08:29:46.049442"}}'
