1,1.4479,0.5450,26244.440,38000.140,'2025-02-22 08:29:46.049','Expired',NULL,'OB333576                            '
2,2.0981,5.9428,10230.140,21464.330,'2025-02-26 08:29:46.049',NULL,NULL,'OB798737                            '
3,3.5880,4.3877,10911.710,39151.480,'2025-03-19 08:29:46.049','InsufficientFunds',NULL,'OB179652                            '
4,6.0820,1.4353,37367.160,227266.280,'2025-03-07 08:29:46.049','UserRequested','Maker','OB827275                            '
5,0.9848,2.0627,45791.280,45095.020,'2025-02-26 08:29:46.049',NULL,'Taker','OB736523                            '
6,5.5570,0.6586,24437.450,135799.670,'2025-03-17 08:29:46.049','Expired',NULL,'OB575491                            '
7,0.5551,0.2626,29088.070,16146.180,'2025-03-17 08:29:46.049',NULL,'Maker','OB892943                            '
8,5.4679,0.8044,13100.260,71631.370,'2025-02-22 08:29:46.049','UserRequested','Taker','OB824478                            '
9,1.4137,0.1949,47468.710,67104.470,'2025-03-13 08:29:46.049','InsufficientFunds','Maker','OB214938                            '
10,0.8143,5.8110,40104.810,32657.910,'2025-03-12 08:29:46.049','Expired',NULL,'OB825463                            '
11,0.5751,7.8586,41662.210,23959.650,'2025-03-12 08:29:46.049','Expired','Maker','OB606787                            '
12,3.0921,3.2650,6299.450,19478.320,'2025-02-21 08:29:46.049','InsufficientFunds','Taker','OB343060                            '
13,0.3058,1.7669,22549.100,6894.390,'2025-03-20 08:29:46.049','Expired','Taker','OB351236                            '
14,3.3434,5.5127,45495.780,152110.090,'2025-03-15 08:29:46.049','UserRequested','Taker','OB808052                            '
15,0.6514,0.1849,22639.570,14748.250,'2025-03-12 08:29:46.049','InsufficientFunds',NULL,'OB947435                            '
16,2.8865,2.6157,968.510,2795.630,'2025-02-22 08:29:46.049','UserRequested','Taker','OB521601                            '
17,7.1531,0.2426,31746.450,227087.020,'2025-03-16 08:29:46.049','Expired','Taker','OB779587                            '
18,3.8643,0.7606,41557.860,160593.910,'2025-02-28 08:29:46.049','Expired','Taker','OB504770                            '
19,0.9942,2.7568,4132.000,4108.040,'2025-03-01 08:29:46.049',NULL,NULL,'OB267869                            '
20,1.6869,3.0208,13628.020,22988.670,'2025-03-01 08:29:46.049',NULL,'Taker','OB193060                            '
21,6.2593,1.8481,44799.590,280414.160,'2025-03-19 08:29:46.049','Expired','Taker','OB745580                            '
22,2.2799,6.6486,29287.890,66773.400,'2025-03-14 08:29:46.049','UserRequested','Taker','OB696539                            '
23,0.0169,0.1248,44378.520,751.820,'2025-02-20 08:29:46.049',NULL,NULL,'OB196905                            '
24,1.8890,0.9771,14349.980,27106.580,'2025-03-03 08:29:46.049','Expired','Taker','OB588281                            '
25,1.1046,0.3070,7824.900,8643.390,'2025-02-22 08:29:46.049',NULL,NULL,'OB231520                            '
26,2.9570,2.9769,447.670,1323.760,'2025-02-24 08:29:46.049','Expired','Maker','OB479561                            '
27,0.7071,9.1376,29870.770,21121.620,'2025-02-19 08:29:46.049','UserRequested',NULL,'OB180974                            '
28,2.7971,3.2503,2519.190,7046.530,'2025-02-25 08:29:46.049','Expired',NULL,'OB102886                            '
29,2.1717,1.2320,40318.670,87559.130,'2025-02-25 08:29:46.049',NULL,NULL,'OB910132                            '
30,0.8974,2.7502,17662.280,15850.570,'2025-02-20 08:29:46.049',NULL,'Taker','OB219311                            '
31,3.2404,2.1933,12630.950,40929.870,'2025-03-14 08:29:46.049','UserRequested',NULL,'OB539591                            '
32,1.8643,0.0726,23933.600,44618.720,'2025-03-13 08:29:46.049','UserRequested','Maker','OB238651                            '
