11,'PE408827','Sleep','Wind','Error',4417.7000,89.000,'{"cycles": 270, "current_a": 16.230, "voltage_v": 27.00, "level_percent": 78.00, "temperature_c": 8.6, "health_percent": 64.0}'
12,'PE857355','On','Solar','Not Charging',1211.0000,83.600,'{"cycles": 240, "current_a": 4.300, "voltage_v": 20.70, "level_percent": 58.00, "temperature_c": -38.3, "health_percent": 95.0}'
13,'PE527247','Sleep','Battery','Full',4060.3000,83.700,'{"cycles": 681, "current_a": 26.460, "voltage_v": 45.80, "level_percent": 45.00, "temperature_c": 8.9, "health_percent": 73.0}'
14,'PE998584','Off','Diesel','Charging',4888.4000,75.400,'{"cycles": 469, "current_a": 44.150, "voltage_v": 16.60, "level_percent": 52.00, "temperature_c": -29.6, "health_percent": 88.0}'
15,'PE456705','Off','Diesel','Error',2997.8000,87.400,'{"cycles": 744, "current_a": 15.840, "voltage_v": 38.90, "level_percent": 15.00, "temperature_c": -32.5, "health_percent": 76.0}'
16,'PE554570','Off','Wind','Full',4626.0000,78.200,'{"cycles": 629, "current_a": 7.320, "voltage_v": 43.40, "level_percent": 90.00, "temperature_c": 34.1, "health_percent": 85.0}'
17,'PE230983','Sleep','Diesel','Error',4214.2000,76.100,'{"cycles": 809, "current_a": 31.410, "voltage_v": 3.50, "level_percent": 92.00, "temperature_c": -31.9, "health_percent": 90.0}'
18,'PE249546','On','Hybrid','Charging',483.1000,85.900,'{"cycles": 303, "current_a": 20.940, "voltage_v": 28.90, "level_percent": 53.00, "temperature_c": 5.3, "health_percent": 86.0}'
19,'PE700884','On','Hybrid','Full',2225.3000,71.900,'{"cycles": 213, "current_a": 36.800, "voltage_v": 18.10, "level_percent": 48.00, "temperature_c": -33, "health_percent": 81.0}'
20,'PE504969','Charging','Solar','Charging',2444.4000,70.200,'{"cycles": 334, "current_a": 44.200, "voltage_v": 38.40, "level_percent": 72.00, "temperature_c": -14.9, "health_percent": 93.0}'
21,'PE150141','Sleep','Hybrid','Not Charging',1755.3000,71.400,'{"cycles": 713, "current_a": 31.860, "voltage_v": 29.00, "level_percent": 91.00, "temperature_c": -34.9, "health_percent": 66.0}'
22,'PE288291','Sleep','Battery','Charging',4281.9000,91.800,'{"cycles": 186, "current_a": 15.820, "voltage_v": 14.50, "level_percent": 20.00, "temperature_c": -3.1, "health_percent": 79.0}'
23,'PE984340','Charging','Solar','Error',2886.4000,73.400,'{"cycles": 605, "current_a": 18.810, "voltage_v": 37.00, "level_percent": 24.00, "temperature_c": 16.4, "health_percent": 87.0}'
24,'PE625555','Sleep','Battery','Not Charging',1425.1000,89.600,'{"cycles": 290, "current_a": 31.140, "voltage_v": 33.10, "level_percent": 41.00, "temperature_c": -18.8, "health_percent": 92.0}'
25,'PE979703','On','Diesel','Charging',1916.5000,81.000,'{"cycles": 714, "current_a": 8.540, "voltage_v": 15.40, "level_percent": 3.00, "temperature_c": 6.3, "health_percent": 80.0}'
26,'PE604010','Sleep','Hybrid','Error',1534.2000,82.900,'{"cycles": 61, "current_a": 4.950, "voltage_v": 18.50, "level_percent": 36.00, "temperature_c": -12, "health_percent": 97.0}'
27,'PE393061','On','Wind','Full',4244.6000,84.600,'{"cycles": 12, "current_a": 49.610, "voltage_v": 16.60, "level_percent": 22.00, "temperature_c": 32.5, "health_percent": 66.0}'
28,'PE108108','Charging','Wind','Error',4157.6000,83.700,'{"cycles": 924, "current_a": 10.200, "voltage_v": 4.20, "level_percent": 2.00, "temperature_c": -20.9, "health_percent": 87.0}'
29,'PE550417','Sleep','Solar','Full',2613.7000,94.300,'{"cycles": 554, "current_a": 1.680, "voltage_v": 19.90, "level_percent": 61.00, "temperature_c": -11.8, "health_percent": 96.0}'
30,'PE660224','Charging','Diesel','Error',31.3000,95.000,'{"cycles": 660, "current_a": 44.130, "voltage_v": 41.80, "level_percent": 51.00, "temperature_c": -20.9, "health_percent": 69.0}'
31,'PE171947','On','Hybrid','Not Charging',574.8000,82.500,'{"cycles": 581, "current_a": 24.290, "voltage_v": 42.60, "level_percent": 95.00, "temperature_c": -32.8, "health_percent": 72.0}'
32,'PE797950','Charging','Battery','Error',4225.4000,74.800,'{"cycles": 633, "current_a": 44.410, "voltage_v": 28.40, "level_percent": 53.00, "temperature_c": -16.5, "health_percent": 100.0}'
33,'PE526709','On','Battery','Full',3827.4000,76.300,'{"cycles": 117, "current_a": 19.950, "voltage_v": 10.20, "level_percent": 19.00, "temperature_c": 36.4, "health_percent": 99.0}'
34,'PE819448','Off','Battery','Not Charging',2663.1000,89.500,'{"cycles": 309, "current_a": 48.090, "voltage_v": 47.70, "level_percent": 54.00, "temperature_c": -36.9, "health_percent": 99.0}'
35,'PE496485','On','Battery','Error',3127.5000,90.500,'{"cycles": 267, "current_a": 35.550, "voltage_v": 27.60, "level_percent": 57.00, "temperature_c": -34.3, "health_percent": 69.0}'
36,'PE808742','Sleep','Solar','Full',4844.3000,74.800,'{"cycles": 618, "current_a": 11.240, "voltage_v": 32.10, "level_percent": 69.00, "temperature_c": 36, "health_percent": 83.0}'
37,'PE353523','Charging','Solar','Not Charging',1998.4000,79.700,'{"cycles": 614, "current_a": 14.060, "voltage_v": 42.50, "level_percent": 12.00, "temperature_c": -29.2, "health_percent": 64.0}'
38,'PE486690','Sleep','Hybrid','Charging',477.8000,75.800,'{"cycles": 76, "current_a": 37.670, "voltage_v": 15.70, "level_percent": 99.00, "temperature_c": -18.6, "health_percent": 98.0}'
39,'PE245161','On','Hybrid','Charging',503.4000,75.500,'{"cycles": 13, "current_a": 33.280, "voltage_v": 34.20, "level_percent": 55.00, "temperature_c": 15, "health_percent": 71.0}'
40,'PE143333','Off','Wind','Error',4277.3000,89.400,'{"cycles": 328, "current_a": 8.590, "voltage_v": 46.50, "level_percent": 1.00, "temperature_c": 17.4, "health_percent": 70.0}'
41,'PE803946','On','Hybrid','Error',4013.9000,89.800,'{"cycles": 718, "current_a": 47.450, "voltage_v": 15.30, "level_percent": 43.00, "temperature_c": 9.3, "health_percent": 62.0}'
42,'PE149501','On','Battery','Not Charging',3753.4000,72.000,'{"cycles": 943, "current_a": 34.370, "voltage_v": 26.80, "level_percent": 76.00, "temperature_c": 16.3, "health_percent": 88.0}'
43,'PE641342','Charging','Hybrid','Full',2650.9000,93.200,'{"cycles": 661, "current_a": 25.480, "voltage_v": 26.30, "level_percent": 20.00, "temperature_c": -28.8, "health_percent": 92.0}'
