8,'PE679897',8,837.3,'Warning','Off',NULL,'{"latency_ms": 1623.30, "gps_strength": "Strong", "data_rate_kbps": 982.1, "satellite_status": "Disconnected", "wifi_strength_dbm": -43.8, "radio_strength_dbm": -87.500}'
9,'PE752240',9,813.1,'Normal','Pairing',NULL,'{"latency_ms": 244.70, "gps_strength": "None", "data_rate_kbps": 909.2, "satellite_status": "Limited", "wifi_strength_dbm": -70.9, "radio_strength_dbm": -95.000}'
10,'PE665932',10,618.8,'Warning','Pairing',NULL,'{"latency_ms": 1700.00, "gps_strength": "Medium", "data_rate_kbps": 604.3, "satellite_status": "Connected", "wifi_strength_dbm": -62.6, "radio_strength_dbm": -62.800}'
11,'PE408827',11,295.8,'Warning','Pairing',NULL,'{"latency_ms": 574.50, "gps_strength": "Strong", "data_rate_kbps": 484.8, "satellite_status": "Disconnected", "wifi_strength_dbm": -58.4, "radio_strength_dbm": -88.700}'
12,'PE857355',12,444.3,'Warning','Pairing',NULL,'{"latency_ms": 157.60, "gps_strength": "Strong", "data_rate_kbps": 436.4, "satellite_status": "Limited", "wifi_strength_dbm": -36.4, "radio_strength_dbm": -79.900}'
13,'PE527247',13,526.1,'Normal','Off',NULL,'{"latency_ms": 635.40, "gps_strength": "Medium", "data_rate_kbps": 407.3, "satellite_status": "Disconnected", "wifi_strength_dbm": -69.3, "radio_strength_dbm": -103.600}'
14,'PE998584',14,468.9,'Normal','Pairing',NULL,'{"latency_ms": 1122.10, "gps_strength": "Strong", "data_rate_kbps": 888.8, "satellite_status": "Limited", "wifi_strength_dbm": -68, "radio_strength_dbm": -96.800}'
15,'PE456705',15,575.5,'Error','Error',NULL,'{"latency_ms": 1263.00, "gps_strength": "None", "data_rate_kbps": 967.2, "satellite_status": "Limited", "wifi_strength_dbm": -81.6, "radio_strength_dbm": -115.000}'
16,'PE554570',16,713.5,'Normal','Pairing',NULL,'{"latency_ms": 1075.00, "gps_strength": "Strong", "data_rate_kbps": 313.3, "satellite_status": "Limited", "wifi_strength_dbm": -72.6, "radio_strength_dbm": -85.400}'
17,'PE230983',17,380.8,'Normal','Pairing',NULL,'{"latency_ms": 1360.10, "gps_strength": "Strong", "data_rate_kbps": 599.1, "satellite_status": "Limited", "wifi_strength_dbm": -33, "radio_strength_dbm": -91.700}'
18,'PE249546',18,695.7,'Normal','Error',NULL,'{"latency_ms": 148.90, "gps_strength": "Medium", "data_rate_kbps": 6.6, "satellite_status": "Disconnected", "wifi_strength_dbm": -73.7, "radio_strength_dbm": -106.200}'
19,'PE700884',19,686.6,'Warning','Error',NULL,'{"latency_ms": 1865.10, "gps_strength": "Medium", "data_rate_kbps": 917.5, "satellite_status": "Limited", "wifi_strength_dbm": -35.2, "radio_strength_dbm": -63.300}'
20,'PE504969',20,824.2,'Warning','Error',NULL,'{"latency_ms": 1080.50, "gps_strength": "Medium", "data_rate_kbps": 445.5, "satellite_status": "Connected", "wifi_strength_dbm": -66.9, "radio_strength_dbm": -100.700}'
21,'PE150141',21,411.4,'Error','Off',NULL,'{"latency_ms": 1474.50, "gps_strength": "Medium", "data_rate_kbps": 369, "satellite_status": "Disconnected", "wifi_strength_dbm": -57.8, "radio_strength_dbm": -67.400}'
22,'PE288291',22,577.7,'Normal','On',NULL,'{"latency_ms": 669.50, "gps_strength": "Strong", "data_rate_kbps": 186, "satellite_status": "Disconnected", "wifi_strength_dbm": -63.1, "radio_strength_dbm": -66.900}'
23,'PE984340',23,662.1,'Error','On',NULL,'{"latency_ms": 1656.50, "gps_strength": "Weak", "data_rate_kbps": 871.4, "satellite_status": "Disconnected", "wifi_strength_dbm": -71.5, "radio_strength_dbm": -75.000}'
24,'PE625555',24,118.9,'Warning','On',NULL,'{"latency_ms": 338.00, "gps_strength": "Medium", "data_rate_kbps": 523.3, "satellite_status": "Disconnected", "wifi_strength_dbm": -32.7, "radio_strength_dbm": -113.600}'
25,'PE979703',25,254.2,'Error','On',NULL,'{"latency_ms": 318.10, "gps_strength": "Strong", "data_rate_kbps": 410.9, "satellite_status": "Limited", "wifi_strength_dbm": -56.1, "radio_strength_dbm": -82.400}'
26,'PE604010',26,390.3,'Normal','Error',NULL,'{"latency_ms": 701.40, "gps_strength": "Weak", "data_rate_kbps": 288.9, "satellite_status": "Limited", "wifi_strength_dbm": -56.3, "radio_strength_dbm": -102.600}'
27,'PE393061',27,591.5,'Error','On',NULL,'{"latency_ms": 1211.40, "gps_strength": "Medium", "data_rate_kbps": 303.7, "satellite_status": "Limited", "wifi_strength_dbm": -71.6, "radio_strength_dbm": -97.800}'
28,'PE108108',28,482.0,'Normal','Error',NULL,'{"latency_ms": 693.90, "gps_strength": "Weak", "data_rate_kbps": 565.7, "satellite_status": "Limited", "wifi_strength_dbm": -48.7, "radio_strength_dbm": -114.900}'
29,'PE550417',29,816.1,'Normal','Pairing',NULL,'{"latency_ms": 1218.90, "gps_strength": "Medium", "data_rate_kbps": 37.7, "satellite_status": "Disconnected", "wifi_strength_dbm": -66.9, "radio_strength_dbm": -66.900}'
30,'PE660224',30,589.7,'Normal','Error',NULL,'{"latency_ms": 1393.60, "gps_strength": "Weak", "data_rate_kbps": 359.7, "satellite_status": "Disconnected", "wifi_strength_dbm": -56.9, "radio_strength_dbm": -66.100}'
31,'PE171947',31,296.1,'Error','Error',NULL,'{"latency_ms": 1343.30, "gps_strength": "Weak", "data_rate_kbps": 201.6, "satellite_status": "Limited", "wifi_strength_dbm": -87.5, "radio_strength_dbm": -105.000}'
32,'PE797950',32,261.5,'Warning','Off',NULL,'{"latency_ms": 257.50, "gps_strength": "Medium", "data_rate_kbps": 258.1, "satellite_status": "Connected", "wifi_strength_dbm": -37.9, "radio_strength_dbm": -68.800}'
33,'PE526709',33,819.7,'Normal','Pairing',NULL,'{"latency_ms": 649.40, "gps_strength": "Weak", "data_rate_kbps": 467.6, "satellite_status": "Limited", "wifi_strength_dbm": -49.1, "radio_strength_dbm": -89.100}'
