11,'PE408827','On',12.66,'Auto','On','Ready','Critical','Active','Critical','Critical','Critical','Critical','Warning','{"co_detection": "Alert", "gas_detection": "Fault", "fire_detection": "Normal", "smoke_detection": "Normal"}'
12,'PE857355','Auto',57.96,'On','Testing','Reset','Warning','Standby','Warning','Warning','Critical','Warning','Critical','{"co_detection": "Normal", "gas_detection": "Alert", "fire_detection": "Normal", "smoke_detection": "Normal"}'
13,'PE527247','Auto',69.75,'Off','Testing','Activated','Warning','Active','Normal','Critical','Critical','Warning','Warning','{"co_detection": "Fault", "gas_detection": "Normal", "fire_detection": "Alert", "smoke_detection": "Normal"}'
14,'PE998584','Auto',52.10,'Off','On','Reset','Warning','Standby','Critical','Normal','Critical','Normal','Warning','{"co_detection": "Alert", "gas_detection": "Alert", "fire_detection": "Normal", "smoke_detection": "Normal"}'
15,'PE456705','On',51.14,'Auto','Testing','Ready','Normal','Standby','Normal','Warning','Warning','Normal','Warning','{"co_detection": "Fault", "gas_detection": "Normal", "fire_detection": "Alert", "smoke_detection": "Alert"}'
16,'PE554570','On',57.11,'On','Testing','Activated','Critical','Fault','Critical','Warning','Normal','Critical','Warning','{"co_detection": "Normal", "gas_detection": "Normal", "fire_detection": "Alert", "smoke_detection": "Fault"}'
17,'PE230983','Off',40.18,'Off','Off','Reset','Normal','Fault','Normal','Normal','Warning','Normal','Normal','{"co_detection": "Fault", "gas_detection": "Fault", "fire_detection": "Fault", "smoke_detection": "Alert"}'
18,'PE249546','Off',68.29,'On','Off','Reset','Warning','Active','Critical','Critical','Normal','Warning','Warning','{"co_detection": "Alert", "gas_detection": "Fault", "fire_detection": "Fault", "smoke_detection": "Normal"}'
19,'PE700884','Off',68.90,'On','Off','Activated','Critical','Active','Warning','Normal','Critical','Warning','Warning','{"co_detection": "Fault", "gas_detection": "Normal", "fire_detection": "Normal", "smoke_detection": "Fault"}'
20,'PE504969','On',55.55,'On','Off','Activated','Normal','Standby','Normal','Normal','Critical','Normal','Normal','{"co_detection": "Normal", "gas_detection": "Alert", "fire_detection": "Fault", "smoke_detection": "Fault"}'
21,'PE150141','Auto',35.76,'On','Off','Activated','Normal','Fault','Normal','Normal','Warning','Normal','Normal','{"co_detection": "Normal", "gas_detection": "Alert", "fire_detection": "Normal", "smoke_detection": "Alert"}'
22,'PE288291','Off',51.01,'Off','Off','Ready','Warning','Active','Warning','Normal','Warning','Normal','Normal','{"co_detection": "Fault", "gas_detection": "Alert", "fire_detection": "Normal", "smoke_detection": "Normal"}'
23,'PE984340','On',7.99,'Off','On','Activated','Warning','Standby','Normal','Warning','Critical','Critical','Normal','{"co_detection": "Fault", "gas_detection": "Normal", "fire_detection": "Normal", "smoke_detection": "Alert"}'
24,'PE625555','Auto',78.08,'Auto','Testing','Reset','Warning','Active','Normal','Critical','Normal','Warning','Critical','{"co_detection": "Fault", "gas_detection": "Fault", "fire_detection": "Normal", "smoke_detection": "Normal"}'
25,'PE979703','On',49.67,'Auto','Off','Ready','Warning','Active','Warning','Critical','Normal','Warning','Critical','{"co_detection": "Fault", "gas_detection": "Normal", "fire_detection": "Normal", "smoke_detection": "Fault"}'
26,'PE604010','Auto',63.03,'Off','On','Reset','Critical','Standby','Warning','Normal','Critical','Normal','Warning','{"co_detection": "Fault", "gas_detection": "Fault", "fire_detection": "Alert", "smoke_detection": "Alert"}'
27,'PE393061','Off',68.55,'On','Off','Activated','Critical','Fault','Normal','Normal','Normal','Warning','Critical','{"co_detection": "Fault", "gas_detection": "Fault", "fire_detection": "Normal", "smoke_detection": "Normal"}'
28,'PE108108','Auto',98.47,'On','Testing','Ready','Warning','Fault','Critical','Critical','Normal','Normal','Normal','{"co_detection": "Normal", "gas_detection": "Alert", "fire_detection": "Alert", "smoke_detection": "Normal"}'
29,'PE550417','Auto',28.64,'Off','Off','Ready','Normal','Standby','Critical','Warning','Critical','Critical','Warning','{"co_detection": "Normal", "gas_detection": "Alert", "fire_detection": "Normal", "smoke_detection": "Fault"}'
30,'PE660224','On',17.66,'On','On','Activated','Normal','Fault','Critical','Normal','Critical','Critical','Critical','{"co_detection": "Fault", "gas_detection": "Alert", "fire_detection": "Fault", "smoke_detection": "Alert"}'
31,'PE171947','Off',51.64,'Off','Off','Reset','Normal','Active','Normal','Warning','Warning','Critical','Normal','{"co_detection": "Normal", "gas_detection": "Fault", "fire_detection": "Normal", "smoke_detection": "Normal"}'
32,'PE797950','On',28.94,'Auto','Off','Ready','Critical','Standby','Normal','Critical','Warning','Normal','Normal','{"co_detection": "Normal", "gas_detection": "Normal", "fire_detection": "Alert", "smoke_detection": "Fault"}'
