1,'PE593707',1,92.72,1894.10,2,75.48,80.12,1
2,'PE292528',2,-4.57,199.45,5,80.86,14.15,2
3,'PE617633',3,15.63,1960.08,5,53.04,27.9,3
4,'PE991302',4,-0.89,1318.10,7,97.81,69.3,4
5,'PE669257',5,36.42,1748.24,7,44.41,88.48,5
6,'PE615899',6,110.16,1404.87,5,118.5,81.36,6
7,'PE218333',7,28.66,1313.65,5,52.44,11.12,7
8,'PE679897',8,15.54,1940.17,9,63.81,6.4,8
9,'PE752240',9,96.67,33.48,5,96.32,101.4,9
10,'PE665932',10,18.23,1717.79,1,23.05,11.12,10
11,'PE408827',11,127.32,1584.76,7,100.21,22.85,11
12,'PE857355',12,117.23,1498.30,4,25.23,10.54,12
13,'PE527247',13,26.18,1605.58,6,22.1,75.09,13
14,'PE998584',14,86.77,952.06,7,88.18,3.87,14
15,'PE456705',15,-5.04,1135.46,8,64.23,20.78,15
16,'PE554570',16,84.57,1618.54,10,38.09,78.36,16
17,'PE230983',17,3.89,1705.46,1,53.03,43.93,17
18,'PE249546',18,-4.29,1270.60,4,118.64,11.75,18
19,'PE700884',19,68.53,1944.41,6,66.44,70.77,19
20,'PE504969',20,135.66,1486.78,9,113.03,68.54,20
21,'PE150141',21,3.67,1283.08,9,77.25,1.61,21
22,'PE288291',22,81.75,1479.73,4,75.93,100.75,22
23,'PE984340',23,9.85,1495.92,3,74.58,95.96,23
24,'PE625555',24,69.09,417.85,4,44.85,39.66,24
25,'PE979703',25,133.47,743.51,5,111.93,52.43,25
26,'PE604010',26,32.03,1893.76,9,60.36,30.5,26
27,'PE393061',27,28.49,1904.51,10,57.25,72.25,27
28,'PE108108',28,129.54,973.57,7,17.52,76.93,28
29,'PE550417',29,46.75,145.56,4,60.34,2.02,29
30,'PE660224',30,109.1,124.62,5,8.04,104.55,30
31,'PE171947',31,61.35,489.43,8,38.17,23.24,31
32,'PE797950',32,15.66,1238.64,1,71.33,20.85,32
33,'PE526709',33,107.52,1304.41,2,99.72,107.77,33
34,'PE819448',34,58.46,812.23,10,76.19,69.21,34
35,'PE496485',35,45.81,1095.66,6,70.92,45.02,35
36,'PE808742',36,56.42,1871.33,9,91.39,102.3,36
37,'PE353523',37,137.08,1024.06,6,84.05,17.5,37
38,'PE486690',38,25.74,437.08,2,10.39,51.53,38
39,'PE245161',39,6.59,112.60,10,79.53,96.46,39
40,'PE143333',40,35.73,1611.58,9,75.55,41.14,40
41,'PE803946',41,146.12,519.69,3,28.27,79.34,41
42,'PE149501',42,80.37,725.36,2,74.16,12.9,42
43,'PE641342',43,63.17,933.13,6,17.98,30.45,43
44,'PE702097',44,-2.22,1430.00,6,11.51,96.52,44
