1,1,29.3,17.79,283.6,1010.05,1042.885,39,66.70,26.05,'Blowing Snow',19.019,982,87.62,'Normal',1.3,143.46,1
2,2,-20.46,3.45,345.6,874.25,473.600,0,82.66,28.1,'Ice',36.991,812,25.94,'Normal',5.47,67.66,2
3,3,48.98,26.83,303.4,1089.80,1468.843,39,13.51,17.6,'Blowing Snow',63.237,644,18.24,'Critical',45.38,71.17,3
4,4,39.26,30.53,187.5,963.21,329.509,355,49.29,27.24,'Snow',44.011,829,4.47,'Warning',7.99,123.01,4
5,5,-41.96,33.17,82.4,1091.49,289.258,169,73.72,24.0,'Blowing Snow',85.842,708,15.15,'Critical',25.59,121.65,5
6,6,49.05,21.5,257.3,900.97,971.166,404,11.30,2.77,'Snow',87.909,479,68.22,'Warning',48.31,106.19,6
7,7,-31.39,46.51,77.2,946.73,1181.090,230,27.59,28.94,'Snow',64.467,290,60.95,'Warning',25.55,66.03,7
8,8,-8.01,31.01,311.7,997.23,1387.381,37,41.31,49.94,'None',19.313,192,84.59,'Warning',5.93,35.25,8
9,9,4.54,13.81,108.9,985.96,1456.807,60,59.97,29.86,'None',61.827,580,18.47,'Normal',44.7,136.55,9
10,10,-22.45,43.72,66.6,985.06,834.233,84,59.23,34.85,'Blowing Snow',55.745,472,8.62,'Normal',40.77,49.93,10
11,11,-28.27,22.8,113.7,978.67,842.762,259,32.99,30.31,'None',44.258,56,64.98,'Critical',18.89,14.29,11
12,12,6.14,30.27,151.5,895.83,17.222,171,46.50,33.66,'Ice',56.579,935,94.31,'Critical',8.59,92.25,12
13,13,11.3,48.2,48.2,930.29,1221.354,288,19.70,13.55,'Snow',7.558,950,66.05,'Critical',35.26,44.16,13
14,14,16.05,28.29,334.6,1063.71,982.820,372,40.76,41.55,'Snow',59.751,855,18.21,'Critical',24.34,56.79,14
15,15,18.13,1.48,284.8,1002.84,953.347,82,29.34,42.16,'Blowing Snow',3.026,669,76.8,'Critical',7.79,41.86,15
16,16,-8.45,0.14,86.8,884.48,1029.769,147,77.82,20.74,'Snow',36.419,611,36.6,'Critical',2.46,15.34,16
17,17,-5.47,24.51,304.1,803.20,1246.085,419,59.99,32.29,'Snow',6.880,198,0.07,'Warning',44.28,16.90,17
18,18,-28.15,58.93,147.1,1091.50,163.484,184,40.82,31.51,'None',44.467,686,43.23,'Normal',1.0,70.06,18
19,19,37.29,43.08,348.6,883.24,1124.913,167,24.38,12.04,'Ice',35.844,512,79.85,'Warning',1.47,87.72,19
20,20,-1.96,15.9,44.2,1064.15,450.542,54,7.54,16.74,'Snow',20.918,201,56.34,'Normal',27.17,46.44,20
21,21,1.61,16.19,50.3,1058.54,602.547,218,85.32,36.45,'None',58.833,449,28.77,'Warning',46.1,99.05,21
22,22,16.42,59.7,19.6,849.06,908.498,330,34.90,22.63,'Snow',78.082,543,49.67,'Normal',7.92,149.35,22
23,23,1.26,51.8,104.5,864.94,502.085,84,26.31,25.69,'Blowing Snow',89.663,63,28.27,'Normal',41.3,106.58,23
24,24,-19.78,17.96,220.9,848.69,575.239,60,95.92,14.77,'Ice',4.646,820,71.95,'Critical',47.0,54.28,24
25,25,-46.5,16.47,63.2,980.44,1157.946,319,64.81,23.54,'Blowing Snow',19.481,196,73.12,'Normal',10.68,29.18,25
26,26,-5.99,57.9,187.5,1053.24,776.053,483,11.57,23.44,'None',39.647,225,73.9,'Critical',18.81,41.80,26
27,27,9.15,29.9,190.3,984.45,1228.877,452,70.75,39.72,'Blowing Snow',56.478,807,63.98,'Critical',38.07,86.85,27
28,28,7.42,59.1,20.8,941.78,943.778,161,58.46,46.3,'None',27.972,121,77.54,'Critical',13.18,63.99,28
29,29,5.94,49.04,133.4,1008.28,831.256,412,60.33,46.41,'Snow',73.637,667,61.18,'Normal',16.26,136.00,29
30,30,5.71,32.05,51.0,1029.94,1297.125,123,97.59,5.36,'Ice',6.816,901,92.8,'Normal',18.57,77.40,30
31,31,18.93,12.9,342.8,870.49,9.367,160,52.28,7.59,'Snow',80.936,797,61.26,'Normal',10.83,39.15,31
32,32,-35.56,11.19,338.2,876.26,779.622,154,33.07,29.78,'Ice',3.956,594,79.26,'Normal',3.49,99.84,32
33,33,33.43,46.88,250.7,995.50,1400.639,378,55.91,19.58,'Ice',44.477,228,22.99,'Critical',18.42,85.81,33
34,34,31.79,60.0,302.9,803.41,1415.944,370,61.31,19.83,'Ice',29.228,161,88.54,'Warning',48.62,141.27,34
35,35,21.86,19.63,67.6,1016.49,315.179,372,65.42,18.09,'Ice',86.542,924,79.5,'Critical',33.61,74.31,35
36,36,24.01,9.5,223.3,934.64,1074.276,137,43.67,38.12,'Ice',45.225,572,44.81,'Normal',5.67,54.78,36
37,37,34.71,57.24,69.5,1047.43,1094.954,153,88.14,47.76,'Snow',37.175,159,57.45,'Critical',15.05,124.81,37
38,38,0.62,11.79,63.1,964.30,527.293,310,35.86,38.24,'Ice',3.408,534,43.91,'Normal',12.43,79.51,38
39,39,-35.95,45.75,120.1,903.68,578.809,492,62.04,0.89,'Ice',82.796,652,21.71,'Normal',31.72,85.38,39
40,40,6.95,37.17,138.5,1032.53,689.193,354,37.79,25.7,'Snow',56.485,352,52.34,'Warning',7.66,101.71,40
41,41,6.58,13.24,333.9,979.31,1097.434,310,11.37,38.84,'Blowing Snow',15.443,441,73.4,'Critical',18.87,58.67,41
42,42,31.24,23.81,355.5,1027.82,1093.433,368,55.57,3.72,'None',26.276,611,77.9,'Warning',0.3,116.18,42
43,43,44.88,12.79,160.5,908.95,1237.958,22,63.28,19.5,'Blowing Snow',68.655,15,3.87,'Normal',26.68,56.36,43
44,44,-13.81,54.67,111.6,800.86,699.929,302,26.29,41.85,'None',35.926,686,44.87,'Normal',45.15,132.64,44
45,45,-26.7,12.22,359.7,986.52,574.392,235,54.98,44.12,'Blowing Snow',1.465,957,84.45,'Warning',49.22,136.91,45
46,46,-8.49,59.04,21.9,957.11,1033.987,372,91.21,15.53,'Blowing Snow',46.770,280,71.48,'Warning',6.7,29.11,46
47,47,0.72,35.87,165.3,1078.91,1278.516,251,99.01,42.85,'Blowing Snow',76.040,122,56.57,'Normal',18.79,67.62,47
48,48,-39.87,32.79,128.2,1011.65,554.939,382,28.62,47.86,'Ice',88.871,721,35.2,'Normal',38.93,130.15,48
49,49,41.32,27.53,208.2,883.14,304.044,115,7.01,13.74,'Ice',53.886,184,85.89,'Warning',7.15,24.28,49
50,50,-35.66,22.08,87.9,1081.11,526.629,474,40.29,36.62,'Blowing Snow',86.198,904,5.22,'Normal',37.24,125.23,50
51,51,-24.58,58.57,80.8,948.75,652.730,318,3.12,14.61,'Blowing Snow',49.698,562,98.64,'Normal',15.04,17.87,51
52,52,46.91,19.39,210.2,924.75,827.671,232,51.72,47.44,'Snow',97.742,277,1.66,'Critical',12.64,1.24,52
53,53,-22.95,35.37,251.3,1055.07,406.925,166,42.74,37.43,'Blowing Snow',71.852,717,10.42,'Critical',12.18,34.55,53
54,54,-4.19,56.44,56.5,1096.37,899.414,22,27.42,11.59,'None',94.033,568,56.72,'Normal',8.41,93.17,54
55,55,-19.59,48.95,351.7,995.68,540.997,53,39.24,30.68,'None',32.310,151,67.53,'Normal',36.23,31.63,55
56,56,8.34,21.38,3.2,1029.48,507.507,243,43.98,34.68,'Blowing Snow',38.368,705,22.44,'Critical',34.44,97.85,56
57,57,11.52,3.54,302.0,877.64,1228.926,286,47.85,24.27,'Blowing Snow',52.557,820,88.75,'Normal',9.57,25.02,57
58,58,-26.0,17.63,27.7,871.85,1329.689,259,55.44,0.56,'Snow',3.123,543,15.84,'Warning',11.82,100.13,58
59,59,23.59,45.23,80.8,927.42,702.022,480,96.82,24.0,'None',30.214,985,76.56,'Critical',38.46,24.34,59
60,60,-43.76,53.99,231.6,1081.54,752.472,111,30.63,33.83,'Ice',40.226,760,24.39,'Normal',32.73,103.47,60
61,61,45.65,30.29,23.4,813.60,769.353,222,51.99,24.73,'Snow',6.582,332,34.48,'Normal',34.33,124.85,61
62,62,-34.94,48.98,151.3,830.27,215.977,483,62.01,12.13,'Blowing Snow',44.023,3,59.87,'Critical',29.09,102.27,62
63,63,-40.85,18.45,78.9,1077.65,900.210,173,0.24,36.26,'Blowing Snow',54.531,153,22.32,'Warning',16.61,139.32,63
64,64,11.08,1.71,56.4,922.72,1249.597,86,78.09,18.02,'None',15.142,835,64.7,'Warning',9.61,102.15,64
65,65,-48.69,41.68,124.5,813.35,891.092,444,72.05,16.82,'Ice',66.712,799,32.48,'Warning',25.78,48.29,65
66,66,41.84,19.4,186.3,1058.38,426.780,24,46.44,44.79,'Blowing Snow',48.260,927,87.79,'Warning',13.34,29.04,66
67,67,47.65,33.13,156.2,965.29,570.094,163,86.70,37.39,'None',11.242,546,14.19,'Critical',46.46,50.58,67
68,68,-30.23,56.84,79.4,804.71,191.160,145,11.36,38.14,'Ice',69.782,335,77.86,'Normal',19.15,71.58,68
69,69,18.3,9.66,201.9,965.49,542.555,102,38.68,35.77,'Snow',69.043,390,32.65,'Critical',8.74,68.66,69
70,70,21.26,21.68,270.8,871.11,906.047,368,3.02,5.13,'None',18.391,194,15.79,'Critical',35.84,8.36,70
71,71,45.68,7.17,88.5,974.13,1450.584,223,22.36,19.73,'Snow',58.103,889,81.13,'Normal',37.19,147.84,71
72,72,-23.67,17.33,98.3,1064.03,221.917,199,60.60,19.25,'Snow',92.270,132,72.71,'Warning',26.19,90.70,72
73,73,7.39,39.42,36.9,1072.63,195.330,64,21.32,30.98,'Ice',57.975,384,42.38,'Critical',39.22,17.01,73
74,74,49.02,45.53,174.6,851.09,282.820,461,96.93,40.75,'Blowing Snow',77.800,876,81.72,'Normal',36.79,116.84,74
75,75,22.32,17.93,349.8,999.60,1427.996,494,24.12,35.49,'Blowing Snow',64.886,926,84.33,'Normal',33.33,82.57,75
76,76,-3.75,4.05,265.9,939.14,71.601,190,81.54,3.41,'Ice',23.337,195,80.89,'Critical',6.49,26.90,76
77,77,-20.26,27.46,6.5,925.60,439.880,296,35.92,6.44,'Blowing Snow',73.768,197,80.02,'Critical',6.94,33.77,77
78,78,-5.44,36.51,284.1,857.94,465.019,441,46.50,33.04,'Ice',0.089,398,89.1,'Warning',32.21,54.21,78
79,79,-21.6,28.77,27.3,1020.03,1036.374,243,39.11,2.11,'Snow',65.048,978,55.75,'Normal',38.79,107.07,79
80,80,-5.88,20.52,319.2,908.59,1073.983,315,61.66,21.25,'Ice',76.189,671,27.75,'Normal',17.91,41.03,80
