6,'PE615899',6,3727,0.22,73.27,2754.2,6,'{"oil": {"pressure_kpa": 1846, "level_percent": 66.46, "temperature_c": 4.05}, "fuel": {"pressure_kpa": 489, "level_percent": 43, "temperature_c": 27.76, "consumption_lh": 29.63}, "coolant": {"pressure_kpa": 1417, "level_percent": 86.03, "temperature_c": 40.85}, "hydraulic": {"pressure_kpa": 998.249, "level_percent": 33.58, "temperature_c": 7.68}}'
7,'PE218333',7,4165,35.17,23.04,1326.8,7,'{"oil": {"pressure_kpa": 814, "level_percent": 84.02, "temperature_c": 118.6}, "fuel": {"pressure_kpa": 693, "level_percent": 25, "temperature_c": 41.17, "consumption_lh": 33.54}, "coolant": {"pressure_kpa": 1630, "level_percent": 80.73, "temperature_c": -1.44}, "hydraulic": {"pressure_kpa": 912.930, "level_percent": 13.85, "temperature_c": 72.33}}'
8,'PE679897',8,5881,14.15,142.02,2523.8,8,'{"oil": {"pressure_kpa": 2209, "level_percent": 14.9, "temperature_c": 72.39}, "fuel": {"pressure_kpa": 808, "level_percent": 34, "temperature_c": 21.33, "consumption_lh": 25.80}, "coolant": {"pressure_kpa": 1882, "level_percent": 51.73, "temperature_c": 81.27}, "hydraulic": {"pressure_kpa": 1918.400, "level_percent": 15.29, "temperature_c": 80.77}}'
9,'PE752240',9,1816,65.49,78.2,1956.3,9,'{"oil": {"pressure_kpa": 1843, "level_percent": 43.69, "temperature_c": 6.53}, "fuel": {"pressure_kpa": 499, "level_percent": 10, "temperature_c": -2.06, "consumption_lh": 20.22}, "coolant": {"pressure_kpa": 1409, "level_percent": 48.73, "temperature_c": 58.55}, "hydraulic": {"pressure_kpa": 1216.791, "level_percent": 67.14, "temperature_c": 33.18}}'
10,'PE665932',10,5857,70.74,122.35,2224.4,10,'{"oil": {"pressure_kpa": 2853, "level_percent": 90.97, "temperature_c": 26.24}, "fuel": {"pressure_kpa": 580, "level_percent": 47, "temperature_c": 55.82, "consumption_lh": 12.14}, "coolant": {"pressure_kpa": 1603, "level_percent": 20.03, "temperature_c": 101.7}, "hydraulic": {"pressure_kpa": 1763.792, "level_percent": 38.53, "temperature_c": 110.47}}'
11,'PE408827',11,2900,18.46,119.96,567.2,11,'{"oil": {"pressure_kpa": 171, "level_percent": 86.27, "temperature_c": 78.73}, "fuel": {"pressure_kpa": 793, "level_percent": 59, "temperature_c": -3.85, "consumption_lh": 42.22}, "coolant": {"pressure_kpa": 397, "level_percent": 17.39, "temperature_c": 53.38}, "hydraulic": {"pressure_kpa": 1603.153, "level_percent": 76.08, "temperature_c": 87.3}}'
12,'PE857355',12,2534,74.7,57.26,2974.9,12,'{"oil": {"pressure_kpa": 4745, "level_percent": 86.41, "temperature_c": 73.9}, "fuel": {"pressure_kpa": 233, "level_percent": 82, "temperature_c": -6.33, "consumption_lh": 23.71}, "coolant": {"pressure_kpa": 1850, "level_percent": 49.46, "temperature_c": 96.14}, "hydraulic": {"pressure_kpa": 1242.421, "level_percent": 87.36, "temperature_c": 111.89}}'
13,'PE527247',13,113,4.95,61.33,540.0,13,'{"oil": {"pressure_kpa": 1586, "level_percent": 56.83, "temperature_c": 45.22}, "fuel": {"pressure_kpa": 653, "level_percent": 36, "temperature_c": 57.12, "consumption_lh": 11.43}, "coolant": {"pressure_kpa": 1780, "level_percent": 31.60, "temperature_c": 46.84}, "hydraulic": {"pressure_kpa": 1602.992, "level_percent": 95.05, "temperature_c": 52.27}}'
14,'PE998584',14,6875,43.72,96.31,4978.5,14,'{"oil": {"pressure_kpa": 1548, "level_percent": 97.43, "temperature_c": 42.51}, "fuel": {"pressure_kpa": 752, "level_percent": 18, "temperature_c": 12.6, "consumption_lh": 43.87}, "coolant": {"pressure_kpa": 1513, "level_percent": 20.42, "temperature_c": 47.17}, "hydraulic": {"pressure_kpa": 546.824, "level_percent": 0.22, "temperature_c": 98.62}}'
15,'PE456705',15,4342,30.27,88.23,1332.7,15,'{"oil": {"pressure_kpa": 4878, "level_percent": 45.68, "temperature_c": 10.36}, "fuel": {"pressure_kpa": 564, "level_percent": 22, "temperature_c": 31.44, "consumption_lh": 9.44}, "coolant": {"pressure_kpa": 1032, "level_percent": 32.29, "temperature_c": 36.81}, "hydraulic": {"pressure_kpa": 298.438, "level_percent": 57.64, "temperature_c": 45.91}}'
16,'PE554570',16,859,75.24,112.84,3438.3,16,'{"oil": {"pressure_kpa": 106, "level_percent": 99.32, "temperature_c": 26.89}, "fuel": {"pressure_kpa": 276, "level_percent": 79, "temperature_c": 20.84, "consumption_lh": 5.43}, "coolant": {"pressure_kpa": 1260, "level_percent": 4.50, "temperature_c": 101.63}, "hydraulic": {"pressure_kpa": 949.495, "level_percent": 68.85, "temperature_c": 71.84}}'
17,'PE230983',17,2042,29.87,92.34,3935.3,17,'{"oil": {"pressure_kpa": 221, "level_percent": 46.8, "temperature_c": 2.3}, "fuel": {"pressure_kpa": 930, "level_percent": 100, "temperature_c": 40.51, "consumption_lh": 44.57}, "coolant": {"pressure_kpa": 913, "level_percent": 51.79, "temperature_c": 60.05}, "hydraulic": {"pressure_kpa": 569.966, "level_percent": 60.92, "temperature_c": 83.2}}'
18,'PE249546',18,1673,53.63,57.52,1352.3,18,'{"oil": {"pressure_kpa": 1683, "level_percent": 91.59, "temperature_c": 67.75}, "fuel": {"pressure_kpa": 695, "level_percent": 64, "temperature_c": 58.35, "consumption_lh": 0.01}, "coolant": {"pressure_kpa": 825, "level_percent": 32.88, "temperature_c": 109.59}, "hydraulic": {"pressure_kpa": 1580.112, "level_percent": 40.38, "temperature_c": 19.47}}'
19,'PE700884',19,7929,1.62,97.9,3992.3,19,'{"oil": {"pressure_kpa": 4149, "level_percent": 83.22, "temperature_c": 84.41}, "fuel": {"pressure_kpa": 85, "level_percent": 47, "temperature_c": 24.12, "consumption_lh": 31.07}, "coolant": {"pressure_kpa": 569, "level_percent": 63.61, "temperature_c": 106.95}, "hydraulic": {"pressure_kpa": 71.393, "level_percent": 36.35, "temperature_c": 96.31}}'
20,'PE504969',20,1883,70.72,101.59,3875.7,20,'{"oil": {"pressure_kpa": 4666, "level_percent": 3.34, "temperature_c": 12.17}, "fuel": {"pressure_kpa": 594, "level_percent": 47, "temperature_c": 30.84, "consumption_lh": 10.87}, "coolant": {"pressure_kpa": 1618, "level_percent": 76.79, "temperature_c": 111.85}, "hydraulic": {"pressure_kpa": 1483.987, "level_percent": 2.66, "temperature_c": 57.54}}'
21,'PE150141',21,1310,51.25,120.19,3729.9,21,'{"oil": {"pressure_kpa": 387, "level_percent": 96.63, "temperature_c": 6.64}, "fuel": {"pressure_kpa": 981, "level_percent": 78, "temperature_c": -17.64, "consumption_lh": 42.39}, "coolant": {"pressure_kpa": 738, "level_percent": 23.33, "temperature_c": 64.66}, "hydraulic": {"pressure_kpa": 771.845, "level_percent": 55.49, "temperature_c": 119.44}}'
22,'PE288291',22,4024,79.94,91.69,3990.4,22,'{"oil": {"pressure_kpa": 4217, "level_percent": 46.62, "temperature_c": 36.6}, "fuel": {"pressure_kpa": 408, "level_percent": 29, "temperature_c": 42.94, "consumption_lh": 14.85}, "coolant": {"pressure_kpa": 1725, "level_percent": 37.28, "temperature_c": 117.69}, "hydraulic": {"pressure_kpa": 1374.612, "level_percent": 79.53, "temperature_c": 110.66}}'
23,'PE984340',23,2447,99.53,122.92,1183.7,23,'{"oil": {"pressure_kpa": 724, "level_percent": 6.6, "temperature_c": 117.52}, "fuel": {"pressure_kpa": 36, "level_percent": 92, "temperature_c": 27.26, "consumption_lh": 5.57}, "coolant": {"pressure_kpa": 626, "level_percent": 9.71, "temperature_c": 101.55}, "hydraulic": {"pressure_kpa": 937.297, "level_percent": 71.27, "temperature_c": 91.72}}'
