1,'PE593707','2024-10-29 17:30:55.954','Station-14','Arctic',80.255202,-146.257874,2054.50
2,'PE292528','2024-03-28 10:51:42.955','Station-8','Antarctic',-61.998231,-153.401002,1343.90
3,'PE617633','2024-02-23 01:26:41.955','Station-19','Arctic',76.017156,-10.795331,479.10
4,'PE991302','2024-09-06 23:38:29.955','Station-20','Antarctic',-70.299480,-155.364261,2011.00
5,'PE669257','2024-07-14 14:37:43.955','Station-19','Arctic',86.637781,149.420460,192.90
6,'PE615899','2024-06-25 10:06:23.956','Station-13','Arctic',63.715264,-8.760667,2424.30
7,'PE218333','2024-03-18 02:56:43.956','Station-3','Arctic',87.239691,-162.903229,720.60
8,'PE679897','2024-08-10 19:05:51.956','Station-16','Antarctic',-72.728763,130.049072,738.30
9,'PE752240','2024-08-29 16:21:59.956','Station-18','Arctic',70.502362,151.809947,3697.80
10,'PE665932','2024-09-16 20:24:28.956','Station-15','Antarctic',-65.552677,29.289055,2098.70
11,'PE408827','2024-08-16 20:03:25.956','Station-8','Antarctic',-65.199781,-57.483833,1921.50
12,'PE857355','2024-04-25 06:42:02.957','Station-18','Antarctic',-62.387087,109.905136,1717.20
13,'PE527247','2024-10-30 13:57:43.957','Station-12','Arctic',62.839839,-162.538144,1229.00
14,'PE998584','2024-08-21 18:15:44.957','Station-12','Antarctic',-89.224768,-36.044891,2391.70
15,'PE456705','2025-01-17 04:19:10.957','Station-10','Antarctic',-69.100267,-32.173167,1111.40
16,'PE554570','2024-09-16 13:14:41.957','Station-4','Arctic',65.401614,-26.961211,2684.00
17,'PE230983','2024-03-31 11:12:17.958','Station-14','Arctic',69.182953,13.399581,3351.00
18,'PE249546','2024-11-18 10:31:18.958','Station-8','Arctic',86.911912,-37.796118,2124.50
19,'PE700884','2024-10-04 16:19:02.958','Station-11','Antarctic',-68.421983,-161.260043,1386.90
20,'PE504969','2024-03-24 19:04:50.958','Station-3','Antarctic',-79.569713,133.722271,134.50
21,'PE150141','2025-02-07 05:50:49.958','Station-12','Antarctic',-60.434021,43.819495,984.90
22,'PE288291','2024-11-15 03:16:30.958','Station-8','Arctic',75.179074,20.357651,3056.90
23,'PE984340','2024-11-22 00:40:26.958','Station-18','Arctic',67.818193,11.108235,251.30
24,'PE625555','2024-06-22 13:27:22.958','Station-4','Arctic',63.584201,-114.820650,1547.90
25,'PE979703','2024-05-15 08:50:20.958','Station-3','Arctic',61.118613,-84.409572,3353.40
26,'PE604010','2024-09-04 10:34:55.958','Station-13','Arctic',65.974333,-22.399299,3424.20
27,'PE393061','2024-03-11 15:35:33.959','Station-20','Arctic',67.085137,113.485118,252.60
28,'PE108108','2024-09-03 17:35:02.959','Station-9','Arctic',68.852724,-89.251902,3713.90
29,'PE550417','2024-05-11 08:07:20.959','Station-10','Arctic',66.894714,-24.159079,3114.20
30,'PE660224','2024-03-10 05:42:26.959','Station-18','Antarctic',-88.871297,-8.760637,2128.10
31,'PE171947','2024-09-19 21:13:29.959','Station-17','Antarctic',-85.415840,131.361382,2371.70
32,'PE797950','2024-04-07 01:42:25.959','Station-16','Antarctic',-83.628638,-79.843788,2755.60
33,'PE526709','2025-01-07 04:26:09.960','Station-18','Arctic',85.612069,155.493479,2026.60
34,'PE819448','2025-01-08 21:44:37.960','Station-11','Arctic',84.404609,0.212480,2814.20
35,'PE496485','2024-07-13 19:44:07.960','Station-14','Arctic',66.971550,63.135523,3001.10
36,'PE808742','2024-04-28 19:26:09.960','Station-10','Antarctic',-67.085705,-11.646288,2042.50
37,'PE353523','2024-08-20 09:26:23.960','Station-20','Antarctic',-72.654914,-85.495851,1407.90
38,'PE486690','2024-12-12 08:17:10.960','Station-16','Arctic',74.147702,-105.199583,2013.40
39,'PE245161','2024-10-21 23:44:16.960','Station-3','Antarctic',-68.738523,-101.067581,1510.50
40,'PE143333','2024-08-14 04:54:22.961','Station-12','Antarctic',-64.621194,94.279756,3129.50
41,'PE803946','2024-11-16 05:22:58.961','Station-18','Arctic',62.195864,-54.251784,39.50
42,'PE149501','2024-06-20 08:21:19.961','Station-6','Antarctic',-68.844640,-95.398927,212.10
43,'PE641342','2024-07-25 20:32:00.961','Station-19','Arctic',62.846199,-131.771483,1672.80
44,'PE702097','2024-12-15 04:28:24.961','Station-8','Arctic',88.427345,-129.516287,3390.60
45,'PE158907','2024-07-18 06:47:49.961','Station-11','Arctic',68.686476,46.951366,2329.90
46,'PE388337','2024-03-07 00:16:25.961','Station-20','Antarctic',-63.612271,-158.369025,1526.00
47,'PE849807','2024-06-02 11:40:48.962','Station-11','Antarctic',-80.330590,6.520126,1399.40
48,'PE185934','2024-09-14 03:18:52.962','Station-4','Arctic',81.557717,105.707292,2863.00
49,'PE644868','2024-12-16 08:20:16.962','Station-15','Antarctic',-67.899639,-123.535620,1522.90
50,'PE566902','2024-10-26 08:28:59.962','Station-20','Arctic',83.849950,112.898924,35.80
