1,'PE593707',90.6,770.75,58.91,545.036,515,41.95
2,'PE292528',86.42,445.38,55.67,246.775,536,91.48
3,'PE617633',18.27,311.86,45.63,103.735,358,57.47
4,'PE991302',47.39,326.41,30.71,167.878,951,50.47
5,'PE669257',62.08,619.34,14.69,153.054,393,67.97
6,'PE615899',49.69,789.76,85.6,62.880,409,31.53
7,'PE218333',61.75,263.78,37.59,132.285,538,74.57
8,'PE679897',52.05,85.92,99.59,278.717,505,33.91
9,'PE752240',50.81,100.85,84.93,527.671,954,36.67
10,'PE665932',42.36,434.18,38.8,287.523,758,21.52
11,'PE408827',10.93,932.12,80.42,250.836,421,36.15
12,'PE857355',26.82,513.69,6.52,887.804,355,72.75
13,'PE527247',61.41,932.62,83.79,855.250,45,92.74
14,'PE998584',51.82,645.25,84.48,470.208,976,61.34
15,'PE456705',34.34,551.68,54.67,883.621,972,95.73
16,'PE554570',31.46,341.04,90.91,923.226,631,49.98
17,'PE230983',87.5,210.49,38.06,60.910,530,26.49
18,'PE249546',75.95,821.22,75.66,536.335,582,68.25
19,'PE700884',76.77,440.77,87.55,564.717,2,4.72
20,'PE504969',58.77,808.59,43.49,977.493,771,19.91
21,'PE150141',51.27,987.88,34.45,830.838,302,91.61
22,'PE288291',73.62,565.97,94.92,531.425,562,27.79
23,'PE984340',7.17,52.62,82.62,507.467,906,75.51
24,'PE625555',58.16,561.18,-7.43,328.408,695,60.32
25,'PE979703',56.76,542.11,36.43,848.200,505,83.27
26,'PE604010',8.55,869.79,39.96,351.879,924,8.87
27,'PE393061',10.66,46.22,71.71,925.092,88,88.65
28,'PE108108',93.26,184.75,85.66,515.143,771,39.97
29,'PE550417',0.24,552.46,28.52,682.358,209,23.12
30,'PE660224',75.39,573.42,14.57,415.172,15,62.00
31,'PE171947',37.39,122.61,3.9,589.791,959,58.09
32,'PE797950',88.13,801.51,29.65,754.379,845,4.49
33,'PE526709',15.73,477.15,59.48,590.591,359,58.43
34,'PE819448',62.96,988.66,-1.74,336.370,704,97.26
35,'PE496485',96.72,883.51,83.84,82.504,111,41.29
36,'PE808742',21.98,920.57,36.13,765.124,242,92.16
37,'PE353523',55.58,792.65,64.13,332.736,16,49.82
38,'PE486690',96.45,158.83,99.96,634.662,883,27.32
39,'PE245161',37.14,333.25,-9.92,23.193,808,28.02
40,'PE143333',98.51,599.80,57.51,431.115,933,70.16
41,'PE803946',26.57,684.17,39.25,711.556,565,44.65
42,'PE149501',23.19,892.69,71.98,663.434,668,71.35
43,'PE641342',14.44,31.97,65.92,716.736,572,98.95
44,'PE702097',74.84,380.02,58.23,391.306,775,66.08
45,'PE158907',43.78,453.47,18.56,101.632,794,48.77
46,'PE388337',5.18,217.70,29.97,914.381,108,79.94
47,'PE849807',58.78,822.53,36.1,503.220,644,39.25
48,'PE185934',22.57,651.60,-4.15,291.506,974,68.48
49,'PE644868',4.98,835.90,79.36,997.898,852,86.84
50,'PE566902',30.32,647.24,5.14,368.191,331,96.71
51,'PE593084',8.32,511.73,59.66,4.515,591,68.14
52,'PE753858',13.64,76.15,18.27,757.227,150,16.19
53,'PE467205',68.12,168.61,62.51,377.772,632,22.58
54,'PE615712',57.11,241.12,54.25,521.410,335,60.02
55,'PE129437',43.48,220.36,83.83,962.725,572,2.70
56,'PE172120',72.19,568.74,18.94,73.288,366,79.23
57,'PE954298',42.84,498.07,71.44,406.975,251,21.11
58,'PE142512',67.34,794.42,26.23,189.393,488,47.51
59,'PE514481',68.92,369.30,58.17,134.100,829,76.22
60,'PE432586',21.68,92.25,24.69,736.300,677,14.39
61,'PE562948',34.68,968.15,58.99,467.394,668,72.84
62,'PE537344',44.01,89.38,17.43,736.988,27,83.16
63,'PE586784',29.86,734.68,9.94,380.676,616,19.22
64,'PE164420',10.66,786.14,4.49,799.895,44,80.14
65,'PE624350',76.17,844.56,40.7,810.807,109,30.85
66,'PE609009',91.73,84.34,14.12,992.467,398,3.81
67,'PE462707',53.59,385.39,24.35,917.804,66,46.00
68,'PE599287',7.05,642.24,92.89,920.624,64,54.93
69,'PE393792',20.63,151.48,95.48,814.021,477,86.59
70,'PE662221',5.61,554.92,14.7,926.079,53,37.34
71,'PE174904',62.21,520.61,-2.1,464.335,923,2.60
72,'PE554227',12.42,727.34,70.06,302.647,936,1.56
73,'PE877296',57.79,800.42,6.24,10.620,701,97.66
74,'PE443494',21.78,206.32,-7.49,644.144,344,49.38
75,'PE310864',24.72,139.75,94.04,105.284,406,68.25
76,'PE878239',73.2,173.09,24.35,851.732,769,78.09
77,'PE617931',92.88,743.55,66.48,295.640,930,3.53
78,'PE461637',70.19,659.75,6.5,534.352,397,76.44
79,'PE997474',38.79,378.44,75.13,722.147,300,53.53
80,'PE988963',9.98,844.78,54.05,770.054,504,92.29
81,'PE843752',75.47,239.02,17.51,996.790,883,58.30
82,'PE473030',13.62,141.57,14.81,302.302,758,6.16
83,'PE274214',28.32,605.93,74.56,406.569,124,66.06
84,'PE837944',64.38,469.67,27.72,537.558,515,33.38
85,'PE883979',67.77,942.92,94.13,251.972,421,73.80
86,'PE634931',20.36,441.99,4.7,502.012,423,20.43
87,'PE872868',71.77,208.49,83.82,824.133,946,47.37
88,'PE905940',23.22,834.89,72.11,584.828,154,89.95
89,'PE115491',1.66,660.61,2.13,337.517,668,21.85
90,'PE833907',13.1,117.08,63.29,646.532,317,50.61
91,'PE566588',72.59,651.37,36.64,758.184,757,83.19
92,'PE493487',46.03,66.53,0.4,922.698,887,99.15
93,'PE777994',98.1,187.42,28.86,19.378,438,44.46
94,'PE734868',93.98,593.14,3.81,668.165,44,7.04
95,'PE870977',34.76,639.46,-9.9,787.930,664,70.71
96,'PE790642',83.84,963.90,77.48,921.044,187,80.21
97,'PE554582',29.3,644.91,35.93,282.473,225,15.91
98,'PE792633',36.08,390.97,91.77,913.331,490,84.82
99,'PE768979',87.45,98.90,92.23,18.462,999,51.51
100,'PE625715',38.15,846.82,81.59,745.647,36,40.57
101,'PE855839',42.43,603.41,16.0,697.638,902,74.39
102,'PE866538',39.74,168.64,48.2,809.385,707,37.88
103,'PE123529',88.09,67.60,30.83,235.251,810,32.06
104,'PE286456',74.41,970.34,92.86,872.462,574,88.27
105,'PE763244',12.82,72.66,76.78,283.220,598,68.51
106,'PE363668',66.08,56.40,97.87,157.421,691,53.39
107,'PE297097',58.84,939.37,1.01,567.141,965,54.58
108,'PE948869',26.04,620.06,48.88,711.066,940,60.56
109,'PE218124',44.94,937.77,0.8,861.664,546,10.63
110,'PE585058',67.51,798.55,50.29,889.558,298,73.55
111,'PE589186',74.31,169.25,51.44,925.375,293,69.32
112,'PE138566',92.94,398.88,99.54,429.328,644,60.05
113,'PE196998',22.12,752.78,11.94,779.720,612,7.14
114,'PE905857',31.15,373.39,30.25,530.647,786,79.95
115,'PE162064',1.31,906.98,6.75,760.320,386,5.42
116,'PE259067',72.1,455.60,73.3,492.704,316,99.95
117,'PE110708',90.28,253.40,-6.29,851.245,830,79.10
118,'PE117433',55.22,833.46,47.16,58.377,751,65.09
119,'PE807491',85.96,614.11,4.57,572.311,534,53.66
120,'PE217333',86.34,583.29,80.73,212.110,190,65.53
121,'PE794054',35.75,638.25,69.12,679.510,47,40.95
122,'PE864612',75.39,124.44,12.42,288.503,452,33.99
123,'PE731344',39.61,314.12,59.86,343.534,463,45.49
124,'PE411697',44.41,303.44,4.97,290.660,378,7.25
125,'PE233857',83.55,909.70,-7.47,475.211,694,17.57
126,'PE208025',52.31,959.48,25.82,499.690,80,30.40
127,'PE276585',55.77,934.43,30.57,159.799,871,16.47
128,'PE843937',26.72,856.05,95.06,41.234,292,64.47
129,'PE769176',22.3,733.84,94.72,531.213,950,34.24
130,'PE573946',28.94,850.21,61.11,819.789,902,34.78
131,'PE165574',40.55,439.41,32.04,450.206,314,79.15
132,'PE245196',76.15,73.11,85.92,476.096,210,26.33
133,'PE779154',34.84,723.60,56.29,208.353,451,89.77
134,'PE765764',65.87,218.69,4.5,289.190,20,8.97
135,'PE842682',84.43,67.48,26.09,244.371,86,86.88
136,'PE856564',26.73,763.78,66.49,641.886,814,12.06
137,'PE285138',34.29,395.47,36.65,168.027,451,51.09
138,'PE770977',38.39,667.63,33.7,155.758,985,52.78
139,'PE344890',55.88,772.43,-0.12,255.980,331,73.81
140,'PE952510',34.5,561.94,51.46,32.833,474,15.27
141,'PE219601',65.05,19.82,64.68,106.327,715,62.21
142,'PE607918',38.15,838.15,85.85,646.255,297,47.91
143,'PE948006',70.1,720.49,14.78,864.535,153,11.08
144,'PE611748',30.68,341.72,38.61,723.810,169,48.71
145,'PE657112',77.84,345.10,99.25,789.318,875,36.01
146,'PE720334',16.51,953.43,26.11,995.709,413,7.81
147,'PE300032',44.43,526.98,99.14,364.952,351,37.36
148,'PE305100',30.33,326.01,55.77,840.265,94,78.28
149,'PE104946',7.56,887.08,58.75,140.375,15,29.74
150,'PE936999',30.75,523.76,-1.78,642.519,883,57.15
151,'PE822929',37.38,344.69,98.82,350.163,328,53.45
152,'PE656762',67.31,516.98,19.32,171.583,304,95.06
153,'PE131515',72.28,85.89,15.42,962.142,850,15.99
154,'PE311714',14.6,975.40,20.49,663.273,987,46.96
155,'PE140524',65.15,676.26,3.51,147.984,929,89.02
156,'PE141403',5.82,139.33,40.74,639.070,650,47.26
157,'PE454346',74.97,81.45,98.64,956.436,175,19.26
158,'PE787711',92.42,256.38,-6.44,644.283,102,71.05
159,'PE711780',31.02,240.63,-9.03,858.135,780,84.93
160,'PE729999',24.52,861.10,85.68,249.740,931,42.59
161,'PE202620',77.84,256.85,15.38,202.619,846,96.48
162,'PE432285',58.58,462.05,70.52,633.449,370,39.63
163,'PE545295',99.14,560.75,3.65,884.935,859,94.73
164,'PE942060',96.03,911.79,76.43,622.483,966,39.47
165,'PE563019',59.5,983.58,47.74,791.901,992,90.98
166,'PE765492',10.17,962.70,66.18,315.340,247,32.43
167,'PE544361',33.61,831.85,88.32,948.834,381,46.24
168,'PE570507',72.5,536.53,12.88,755.920,247,73.08
169,'PE287406',58.98,249.98,37.26,408.328,646,14.73
170,'PE656325',12.41,226.78,36.67,38.842,917,73.36
171,'PE247042',44.13,935.71,48.25,555.634,230,60.23
172,'PE458264',53.64,805.21,80.45,409.539,359,42.53
173,'PE895408',60.24,63.67,95.63,602.135,460,88.85
174,'PE244374',68.42,29.47,3.49,619.470,354,4.64
175,'PE995994',94.69,650.97,-7.66,668.518,806,9.72
176,'PE553635',56.18,84.31,4.54,503.046,72,71.36
177,'PE123694',54.81,19.56,26.11,925.774,817,65.03
178,'PE118820',81.11,511.79,35.92,7.923,785,72.59
179,'PE336409',91.11,384.67,88.98,763.651,198,59.48
180,'PE905783',76.52,526.99,94.0,615.285,170,93.47
181,'PE184344',71.55,683.54,32.24,527.431,527,36.63
182,'PE689999',28.61,707.11,44.28,700.386,403,0.46
183,'PE341856',49.74,336.60,82.13,767.339,894,47.91
184,'PE151644',61.87,357.18,62.62,285.079,160,51.11
185,'PE301903',84.01,555.25,4.88,784.074,451,46.69
186,'PE710687',12.46,247.68,43.25,343.693,613,78.40
187,'PE183449',26.09,679.31,94.74,737.535,211,56.69
188,'PE809203',26.43,575.57,47.57,431.288,470,55.72
189,'PE889153',66.84,807.98,41.1,195.326,443,65.86
190,'PE274780',91.8,427.03,88.39,104.732,727,20.80
191,'PE590131',5.49,13.85,80.63,221.363,120,13.31
192,'PE822175',1.39,280.16,49.87,177.097,169,84.60
193,'PE616559',65.36,397.53,48.63,769.941,777,72.31
194,'PE543322',57.03,822.67,89.76,122.115,472,61.15
195,'PE123866',71.87,98.51,-6.83,730.127,492,50.96
196,'PE532995',80.09,367.08,87.61,814.380,262,58.25
197,'PE288196',39.9,677.53,29.9,806.140,459,83.60
198,'PE748980',97.81,864.93,62.41,784.939,607,83.27
199,'PE172516',77.29,540.18,16.85,878.867,635,25.15
200,'PE808819',83.38,58.65,-1.15,386.924,451,35.97
201,'PE277278',28.0,933.05,11.21,857.485,228,33.27
202,'PE379752',26.38,948.27,62.14,160.650,401,20.08
203,'PE987081',46.03,31.83,8.3,969.797,839,28.88
204,'PE677047',77.26,899.12,77.28,684.044,766,1.22
205,'PE278929',12.53,652.02,96.25,572.189,398,75.02
206,'PE661377',88.86,917.94,94.18,729.006,477,2.11
207,'PE205989',46.55,82.33,55.76,754.710,661,51.70
208,'PE436908',75.23,689.28,97.31,887.068,346,32.34
209,'PE543123',75.17,108.87,32.25,5.311,594,14.16
210,'PE107154',44.15,628.30,74.48,837.754,875,84.64
211,'PE838843',51.14,508.54,19.37,799.044,950,14.12
212,'PE968606',5.93,896.57,82.01,693.530,349,51.58
213,'PE536894',81.89,591.14,-9.91,176.657,354,30.41
214,'PE715312',51.99,730.94,70.36,93.484,6,96.36
215,'PE193718',49.47,825.55,13.74,971.714,464,59.38
216,'PE806818',82.94,961.75,20.53,291.031,596,98.67
217,'PE983687',7.03,773.52,77.42,103.819,657,85.43
218,'PE382925',56.46,964.02,68.86,971.235,334,21.59
219,'PE874367',44.58,686.91,62.95,580.389,820,89.58
220,'PE372234',41.48,611.11,41.39,201.324,524,68.86
221,'PE839653',79.67,38.12,10.35,993.540,612,80.85
222,'PE424665',59.97,520.69,30.39,755.365,459,86.15
223,'PE188924',58.17,599.86,31.0,623.901,406,78.92
224,'PE433528',3.71,472.95,-8.87,880.245,54,52.87
225,'PE469294',26.14,749.21,1.14,743.703,602,30.75
226,'PE824397',33.77,727.36,75.07,987.128,774,70.33
227,'PE185216',11.1,885.55,50.37,809.714,752,75.14
228,'PE117065',4.75,792.55,88.24,758.804,88,0.45
229,'PE348354',9.6,17.79,48.89,109.823,647,71.19
230,'PE675638',22.33,771.42,68.93,803.782,545,75.65
231,'PE771682',75.94,539.60,25.38,228.758,390,21.02
232,'PE190177',39.67,965.01,98.15,981.586,172,52.30
233,'PE646199',39.43,218.76,65.69,930.460,960,36.42
234,'PE133136',76.63,553.25,57.18,39.873,553,63.05
235,'PE124678',27.01,714.51,-5.73,912.684,518,96.29
236,'PE775770',43.69,446.51,37.51,662.120,500,50.87
237,'PE294696',86.36,627.09,32.42,568.908,672,87.36
238,'PE916142',43.97,855.38,25.01,296.527,354,22.01
239,'PE959317',91.81,318.18,82.67,256.790,768,43.40
240,'PE583677',92.09,844.57,95.13,737.861,922,96.24
241,'PE514835',44.82,101.09,8.01,233.129,915,77.89
