1,'PE593707','Standby','Active','Error','Valid',99.55
2,'PE292528','Operating','Active','Error','Due',69.64
3,'PE617633','Fault','Paused','Error','Due',89.82
4,'PE991302','Fault','Active','Error','Valid',11.01
5,'PE669257','Fault','Active','Error','Valid',87.26
6,'PE615899','Standby','Active','Normal','Due',99.43
7,'PE218333','Fault','Error','Normal','Due',21.1
8,'PE679897','Standby','Active','Normal','Expired',13.67
9,'PE752240','Standby','Paused','Warning','Expired',91.86
10,'PE665932','Fault','Active','Warning','Valid',72.18
11,'PE408827','Fault','Active','Warning','Due',87.19
12,'PE857355','Operating','Error','Error','Due',3.92
13,'PE527247','Fault','Error','Warning','Due',0.53
14,'PE998584','Fault','Active','Warning','Valid',0.25
15,'PE456705','Operating','Paused','Error','Expired',78.88
16,'PE554570','Operating','Active','Warning','Due',92.58
17,'PE230983','Operating','Active','Normal','Expired',96.63
18,'PE249546','Operating','Active','Normal','Due',92.73
19,'PE700884','Operating','Paused','Normal','Due',8.3
20,'PE504969','Standby','Active','Error','Valid',20.81
21,'PE150141','Operating','Error','Normal','Valid',22.87
22,'PE288291','Operating','Active','Normal','Valid',95.95
23,'PE984340','Fault','Error','Normal','Due',58.37
24,'PE625555','Operating','Active','Error','Expired',60.66
25,'PE979703','Standby','Error','Warning','Expired',87.46
26,'PE604010','Operating','Error','Normal','Expired',71.57
27,'PE393061','Operating','Error','Error','Expired',37.09
28,'PE108108','Operating','Paused','Warning','Due',80.82
29,'PE550417','Operating','Paused','Error','Expired',64.63
30,'PE660224','Standby','Paused','Error','Expired',4.67
31,'PE171947','Fault','Error','Normal','Valid',64.52
32,'PE797950','Fault','Active','Normal','Valid',40.67
33,'PE526709','Standby','Active','Error','Due',49.95
34,'PE819448','Fault','Paused','Error','Expired',73.03
35,'PE496485','Standby','Paused','Warning','Due',66.69
36,'PE808742','Standby','Paused','Normal','Valid',0.54
37,'PE353523','Fault','Active','Error','Expired',78.05
38,'PE486690','Fault','Paused','Normal','Valid',25.12
