9,'PE752240',9,16.8,28.17,1193,31.698,45.98,294.1,61.04,1785.82,74.65,278.6,9,'{"pressure_kpa": 227, "temperature_c": 26.97, "tread_depth_mm": 0.15}'
10,'PE665932',10,64.0,90.34,2092,39.313,40.22,782.0,61.19,4852.30,171.85,67.5,10,'{"pressure_kpa": 299, "temperature_c": 84.33, "tread_depth_mm": 2.08}'
11,'PE408827',11,84.7,49.24,1447,11.605,57.54,872.5,92.23,3844.60,72.25,88.8,11,'{"pressure_kpa": 233, "temperature_c": 6.59, "tread_depth_mm": 5.82}'
12,'PE857355',12,84.5,21.74,2766,0.657,90.95,934.7,21.07,590.17,63.54,319.2,12,'{"pressure_kpa": 261, "temperature_c": 0.45, "tread_depth_mm": 8.48}'
13,'PE527247',13,1.0,84.31,1996,21.404,33.54,973.4,72.06,2355.34,8.12,294.4,13,'{"pressure_kpa": 129, "temperature_c": 40.55, "tread_depth_mm": 1.56}'
14,'PE998584',14,61.4,73.13,266,42.661,36.24,705.5,70.16,3685.50,92.59,39.1,14,'{"pressure_kpa": 254, "temperature_c": 19.83, "tread_depth_mm": 4.46}'
15,'PE456705',15,33.5,40.62,1772,5.444,38.11,342.6,56.17,572.59,98.94,49.2,15,'{"pressure_kpa": 67, "temperature_c": -6.72, "tread_depth_mm": 4.85}'
16,'PE554570',16,58.1,83.66,1919,0.676,49.23,355.7,44.34,250.98,102.64,177.4,16,'{"pressure_kpa": 205, "temperature_c": 74.5, "tread_depth_mm": 8.92}'
17,'PE230983',17,73.5,84.39,1729,14.293,80.99,114.2,34.69,4124.07,29.72,229.7,17,'{"pressure_kpa": 256, "temperature_c": 15.41, "tread_depth_mm": 0.14}'
18,'PE249546',18,49.9,92.84,557,40.279,73.4,298.7,92.37,4273.09,57.87,66.4,18,'{"pressure_kpa": 177, "temperature_c": 55.64, "tread_depth_mm": 5.40}'
19,'PE700884',19,80.1,64.57,2740,18.654,90.55,806.4,19.14,4459.74,95.87,60.2,19,'{"pressure_kpa": 134, "temperature_c": 73.83, "tread_depth_mm": 1.52}'
20,'PE504969',20,35.1,19.00,2544,10.059,81.86,637.2,91.29,1258.58,179.17,39.0,20,'{"pressure_kpa": 102, "temperature_c": 49.58, "tread_depth_mm": 3.29}'
21,'PE150141',21,71.9,48.90,704,8.300,29.17,847.7,46.52,153.83,61.46,332.9,21,'{"pressure_kpa": 170, "temperature_c": 77.55, "tread_depth_mm": 5.69}'
22,'PE288291',22,86.7,74.76,2867,16.341,27.81,291.5,57.48,4864.92,104.92,276.3,22,'{"pressure_kpa": 299, "temperature_c": 94.63, "tread_depth_mm": 0.39}'
23,'PE984340',23,93.6,92.45,543,24.907,49.97,699.6,101.19,4529.95,46.76,124.3,23,'{"pressure_kpa": 101, "temperature_c": 50.12, "tread_depth_mm": 2.06}'
24,'PE625555',24,52.4,98.75,2044,39.638,85.81,746.3,60.88,4531.08,156.08,251.3,24,'{"pressure_kpa": 75, "temperature_c": 90.22, "tread_depth_mm": 2.29}'
25,'PE979703',25,41.5,34.10,671,32.332,30.65,553.2,74.5,617.55,119.81,25.2,25,'{"pressure_kpa": 88, "temperature_c": 32.9, "tread_depth_mm": 1.46}'
26,'PE604010',26,18.1,68.80,1451,23.237,76.94,643.1,33.58,4210.08,22.10,335.2,26,'{"pressure_kpa": 164, "temperature_c": -19.38, "tread_depth_mm": 6.02}'
27,'PE393061',27,89.9,81.63,2247,8.798,4.53,822.7,54.85,4352.87,135.76,170.9,27,'{"pressure_kpa": 115, "temperature_c": 72.23, "tread_depth_mm": 8.55}'
28,'PE108108',28,62.7,87.20,204,34.001,2.84,164.7,9.14,2162.71,142.55,70.3,28,'{"pressure_kpa": 166, "temperature_c": 19.62, "tread_depth_mm": 2.06}'
29,'PE550417',29,31.2,92.00,316,24.370,99.51,2.4,41.61,4661.76,76.60,287.8,29,'{"pressure_kpa": 89, "temperature_c": 91.26, "tread_depth_mm": 4.21}'
30,'PE660224',30,7.2,25.91,915,1.580,82.4,591.3,91.42,3852.60,124.39,42.6,30,'{"pressure_kpa": 217, "temperature_c": 27.48, "tread_depth_mm": 0.40}'
