11,'PE408827',11,40995.000,2464.00,'2024-10-20','2025-06-15','Storage','Pending','Passed','Review','Updated',11,'{"repair_usd": 6.280, "operating_usd": 555.1800, "maintenance_usd": 1280.47}'
12,'PE857355',12,37690.000,3498.00,'2024-08-06','2025-08-07','Standby','Pending','Failed','Compliant','Incomplete',12,'{"repair_usd": 4076.160, "operating_usd": 966.7500, "maintenance_usd": 7214.73}'
13,'PE527247',13,41658.000,2567.00,'2024-04-19','2025-09-19','Active','Expired','Passed','Review','Updated',13,'{"repair_usd": 1148.470, "operating_usd": 454.0600, "maintenance_usd": 9523.28}'
14,'PE998584',14,49425.000,4118.00,'2024-11-24','2025-10-17','Maintenance','Pending','Failed','Review','Complete',14,'{"repair_usd": 4825.410, "operating_usd": 132.3800, "maintenance_usd": 7696.59}'
15,'PE456705',15,39696.000,4305.00,'2024-12-13','2025-07-24','Standby','Valid','Passed','Review','Complete',15,'{"repair_usd": 4333.810, "operating_usd": 149.7900, "maintenance_usd": 8103.57}'
16,'PE554570',16,4213.000,1041.00,'2024-09-10','2025-11-20','Repair','Expired','Passed','Compliant','Incomplete',16,'{"repair_usd": 4752.730, "operating_usd": 497.5300, "maintenance_usd": 9547.24}'
17,'PE230983',17,42308.000,1734.00,'2025-02-04','2025-05-17','Storage','Expired','Failed','Compliant','Complete',17,'{"repair_usd": 53.460, "operating_usd": 259.2300, "maintenance_usd": 7137.27}'
18,'PE249546',18,1040.000,636.00,'2024-03-19','2025-10-19','Storage','Expired','Passed','Compliant','Complete',18,'{"repair_usd": 4110.380, "operating_usd": 648.3300, "maintenance_usd": 9743.51}'
19,'PE700884',19,17025.000,4196.00,'2024-08-14','2025-06-29','Active','Expired','Pending','Non-compliant','Updated',19,'{"repair_usd": 2558.290, "operating_usd": 527.3000, "maintenance_usd": 2364.17}'
20,'PE504969',20,21144.000,1648.00,'2024-06-27','2025-07-10','Repair','Valid','Pending','Review','Updated',20,'{"repair_usd": 4146.500, "operating_usd": 591.4000, "maintenance_usd": 958.41}'
21,'PE150141',21,35616.000,2340.00,'2024-03-03','2025-09-13','Repair','Expired','Passed','Review','Complete',21,'{"repair_usd": 2383.480, "operating_usd": 711.6000, "maintenance_usd": 9633.82}'
22,'PE288291',22,42256.000,1579.00,'2024-03-20','2025-10-11','Maintenance','Valid','Failed','Review','Complete',22,'{"repair_usd": 1657.890, "operating_usd": 842.5000, "maintenance_usd": 883.74}'
