7,'PE218333',7,'Active','On',71.43,'Auto',22.91,'On','Closed','Open','Closed',7,'{"co2_ppm": 1613.6, "o2_percent": 14.95, "pressure_kpa": 963, "temperature_c": 12.9, "humidity_percent": 49.4, "air_quality_index": 258.66}'
8,'PE679897',8,'Testing','Off',94.15,'Off',11.08,'Off','Closed','Locked','Locked',8,'{"co2_ppm": 4991.1, "o2_percent": 18.92, "pressure_kpa": 1008, "temperature_c": -22.24, "humidity_percent": 70.4, "air_quality_index": 335.4}'
9,'PE752240',9,'Standby','Auto',0.60,'Auto',7.86,'On','Partial','Open','Closed',9,'{"co2_ppm": 340.6, "o2_percent": 14.72, "pressure_kpa": 1014, "temperature_c": 25.4, "humidity_percent": 35.8, "air_quality_index": 188.17}'
10,'PE665932',10,'Active','On',47.32,'Auto',26.68,'Off','Partial','Locked','Open',10,'{"co2_ppm": 1527.7, "o2_percent": 14.93, "pressure_kpa": 919, "temperature_c": -5.2, "humidity_percent": 66.3, "air_quality_index": 308.77}'
11,'PE408827',11,'Active','Off',61.69,'On',24.41,'Off','Closed','Closed','Locked',11,'{"co2_ppm": 287.0, "o2_percent": 10.33, "pressure_kpa": 941, "temperature_c": -5.01, "humidity_percent": 8.9, "air_quality_index": 479.85}'
12,'PE857355',12,'Standby','Off',43.43,'Auto',22.11,'Auto','Partial','Closed','Closed',12,'{"co2_ppm": 4141.7, "o2_percent": 17.50, "pressure_kpa": 997, "temperature_c": 38.82, "humidity_percent": 44.7, "air_quality_index": 213.14}'
13,'PE527247',13,'Testing','Off',88.16,'On',28.74,'Auto','Partial','Locked','Open',13,'{"co2_ppm": 4286.4, "o2_percent": 20.56, "pressure_kpa": 1157, "temperature_c": 2.58, "humidity_percent": 46.7, "air_quality_index": 79.28}'
14,'PE998584',14,'Testing','Auto',85.87,'On',24.95,'Off','Partial','Locked','Locked',14,'{"co2_ppm": 1679.2, "o2_percent": 10.73, "pressure_kpa": 806, "temperature_c": -29.3, "humidity_percent": 69.2, "air_quality_index": 105.3}'
15,'PE456705',15,'Active','Off',89.02,'Off',5.71,'Off','Partial','Open','Locked',15,'{"co2_ppm": 4536.8, "o2_percent": 14.35, "pressure_kpa": 983, "temperature_c": 38.64, "humidity_percent": 73.2, "air_quality_index": 397.48}'
16,'PE554570',16,'Testing','Auto',64.33,'Auto',19.96,'On','Open','Open','Closed',16,'{"co2_ppm": 1170.2, "o2_percent": 11.52, "pressure_kpa": 1134, "temperature_c": -24.69, "humidity_percent": 16.2, "air_quality_index": 475.88}'
17,'PE230983',17,'Standby','On',13.56,'Off',20.67,'On','Partial','Open','Locked',17,'{"co2_ppm": 258.5, "o2_percent": 15.65, "pressure_kpa": 906, "temperature_c": -18.27, "humidity_percent": 64.7, "air_quality_index": 274.72}'
18,'PE249546',18,'Standby','Off',95.46,'On',1.27,'On','Partial','Locked','Closed',18,'{"co2_ppm": 4020.6, "o2_percent": 20.48, "pressure_kpa": 1081, "temperature_c": 35.51, "humidity_percent": 52.7, "air_quality_index": 153.98}'
19,'PE700884',19,'Testing','Auto',58.33,'Auto',13.0,'Off','Open','Open','Locked',19,'{"co2_ppm": 2422.1, "o2_percent": 20.08, "pressure_kpa": 886, "temperature_c": 0.97, "humidity_percent": 61.2, "air_quality_index": 67.44}'
20,'PE504969',20,'Testing','Auto',35.94,'Auto',18.62,'Off','Open','Closed','Locked',20,'{"co2_ppm": 282.5, "o2_percent": 18.47, "pressure_kpa": 841, "temperature_c": 2.11, "humidity_percent": 42.8, "air_quality_index": 119.28}'
21,'PE150141',21,'Active','Auto',98.09,'Auto',10.99,'Off','Open','Locked','Closed',21,'{"co2_ppm": 3314.5, "o2_percent": 10.71, "pressure_kpa": 1137, "temperature_c": -8.85, "humidity_percent": 90.4, "air_quality_index": 46.18}'
22,'PE288291',22,'Standby','Off',21.18,'Auto',25.88,'On','Closed','Open','Closed',22,'{"co2_ppm": 244.0, "o2_percent": 19.13, "pressure_kpa": 809, "temperature_c": -20.61, "humidity_percent": 82.9, "air_quality_index": 377.34}'
23,'PE984340',23,'Standby','Auto',2.28,'On',20.38,'Off','Open','Locked','Open',23,'{"co2_ppm": 2490.5, "o2_percent": 18.52, "pressure_kpa": 1197, "temperature_c": -11.07, "humidity_percent": 21.8, "air_quality_index": 331.61}'
24,'PE625555',24,'Active','Off',80.03,'On',5.98,'Off','Open','Locked','Open',24,'{"co2_ppm": 1078.3, "o2_percent": 20.22, "pressure_kpa": 1053, "temperature_c": 5.85, "humidity_percent": 68.4, "air_quality_index": 355.56}'
25,'PE979703',25,'Standby','On',56.88,'Auto',0.85,'On','Partial','Open','Closed',25,'{"co2_ppm": 1472.0, "o2_percent": 18.72, "pressure_kpa": 958, "temperature_c": 38.23, "humidity_percent": 81.7, "air_quality_index": 220.52}'
