1,2,'2024-02-26 06:30:00','2024-02-26 06:30:00',"'{""name"": ""Jane Smith"", ""action"": ""Follows""}'"
2,1,'2024-02-25 11:00:00','2024-02-25 11:00:00',"'{""name"": ""John Doe"", ""action"": ""Follows""}'"
3,1,'2024-02-26 09:15:00','2024-02-26 09:15:00',"'{""name"": ""John Doe"", ""action"": ""Follows""}'"
4,2,'2024-02-25 14:45:00','2024-02-25 14:45:00',"'{""name"": ""Jane Smith"", ""action"": ""Follows""}'"
5,1,'2024-02-26 04:00:00','2024-02-26 04:00:00',"'{""name"": ""John Doe"", ""action"": ""Follows""}'"
6,2,'2024-02-25 13:15:00','2024-02-25 13:15:00',"'{""name"": ""Jane Smith"", ""action"": ""Follows""}'"
7,1,'2024-02-26 05:30:00','2024-02-26 05:30:00',"'{""name"": ""John Doe"", ""action"": ""Follows""}'"
8,2,'2024-02-25 10:00:00','2024-02-25 10:00:00',"'{""name"": ""Jane Smith"", ""action"": ""Follows""}'"
9,1,'2024-02-26 07:45:00','2024-02-26 07:45:00',"'{""name"": ""John Doe"", ""action"": ""Follows""}'"
10,2,'2024-02-25 11:30:00','2024-02-25 11:30:00',"'{""name"": ""Jane Smith"", ""action"": ""Follows""}'"
