'SECMON_EBN59','Fail',15,0,12,'Standard','Basic',89.48,'Basic',6.04,23.87,2.3000,'High','Security',2.56,'RISK_MXF5J','COMM_I21GC','{"anonymity_level": "High", "traceability_score": 76.954, "ml_confidence_score": 75.757, "pattern_matching_score": 75.63, "anomaly_detection_score": 79.206, "detection_evasion_score": 25.61, "behavioral_analysis_score": 30.97, "threat_intelligence_score": 73.84, "event_correlation_strength": 89.174}'
'SECMON_GYFA8','Pass',19,4,13,'Strong','2FA',19.66,'Enhanced',48.97,79.58,1.3000,'High','Transaction',1.62,'RISK_JUZR9','COMM_T18IA','{"anonymity_level": "Low", "traceability_score": 59.172, "ml_confidence_score": 21.196, "pattern_matching_score": 75.50, "anomaly_detection_score": 92.577, "detection_evasion_score": 59.34, "behavioral_analysis_score": 3.95, "threat_intelligence_score": 61.17, "event_correlation_strength": 24.630}'
'SECMON_6NVR1','Pass',13,2,0,'Military-grade','2FA',53.33,'Basic',84.42,45.11,8.2000,'Critical','Transaction',0.13,'RISK_MLVPK','COMM_OU74A','{"anonymity_level": "Medium", "traceability_score": 18.212, "ml_confidence_score": 67.884, "pattern_matching_score": 30.63, "anomaly_detection_score": 65.344, "detection_evasion_score": 49.26, "behavioral_analysis_score": 68.89, "threat_intelligence_score": 3.99, "event_correlation_strength": 59.875}'
'SECMON_0WXD8','Fail',3,6,8,'Standard','Multi-factor',82.03,'Basic',69.04,97.78,2.2000,'High','Security',0.09,'RISK_J3SD3','COMM_XGE6U','{"anonymity_level": "High", "traceability_score": 18.140, "ml_confidence_score": 91.344, "pattern_matching_score": 27.36, "anomaly_detection_score": 83.030, "detection_evasion_score": 34.60, "behavioral_analysis_score": 37.89, "threat_intelligence_score": 30.45, "event_correlation_strength": 21.752}'
'SECMON_FWJ8I','Warning',19,0,6,'Military-grade','Multi-factor',5.94,'Enhanced',0.09,73.66,5.9000,'Medium','Behavior',1.04,'RISK_1P8AQ','COMM_G4SEQ','{"anonymity_level": "High", "traceability_score": 26.991, "ml_confidence_score": 49.058, "pattern_matching_score": 67.06, "anomaly_detection_score": 73.730, "detection_evasion_score": 90.70, "behavioral_analysis_score": 90.32, "threat_intelligence_score": 20.92, "event_correlation_strength": 54.836}'
'SECMON_PDRZW','Pass',3,6,9,'Strong','2FA',61.66,'Basic',24.84,86.04,4.5000,'Medium','Pattern',3.37,'RISK_2CNEV','COMM_ZEW6S','{"anonymity_level": "Low", "traceability_score": 25.308, "ml_confidence_score": 16.107, "pattern_matching_score": 51.81, "anomaly_detection_score": 24.909, "detection_evasion_score": 22.62, "behavioral_analysis_score": 97.68, "threat_intelligence_score": 68.10, "event_correlation_strength": 25.380}'
'SECMON_81KKH','Warning',11,3,12,'Military-grade','Basic',89.71,'Enhanced',83.13,54.76,2.7000,'Medium','Behavior',2.92,'RISK_SRK8S','COMM_HZ0K8','{"anonymity_level": "Medium", "traceability_score": 51.612, "ml_confidence_score": 83.602, "pattern_matching_score": 7.25, "anomaly_detection_score": 45.996, "detection_evasion_score": 81.57, "behavioral_analysis_score": 90.93, "threat_intelligence_score": 87.51, "event_correlation_strength": 21.532}'
'SECMON_5ETMG','Fail',19,7,6,'Military-grade','Basic',90.08,'Basic',31.45,97.58,7.5000,'Critical','Security',4.38,'RISK_DEL2N','COMM_ZFDVG','{"anonymity_level": "High", "traceability_score": 38.119, "ml_confidence_score": 63.847, "pattern_matching_score": 9.19, "anomaly_detection_score": 70.549, "detection_evasion_score": 76.32, "behavioral_analysis_score": 55.97, "threat_intelligence_score": 37.82, "event_correlation_strength": 45.788}'
'SECMON_JOWC6','Warning',3,0,13,'Standard','2FA',31.78,'Enhanced',17.64,84.65,4.5000,'Critical','Pattern',7.69,'RISK_9F45B','COMM_YCI4S','{"anonymity_level": "Low", "traceability_score": 86.379, "ml_confidence_score": 68.651, "pattern_matching_score": 30.08, "anomaly_detection_score": 66.216, "detection_evasion_score": 49.36, "behavioral_analysis_score": 81.99, "threat_intelligence_score": 23.20, "event_correlation_strength": 77.550}'
'SECMON_RGAL3','Warning',4,9,18,'Military-grade','Multi-factor',81.90,'Maximum',4.54,46.80,2.0000,'Critical','Transaction',3.37,'RISK_9M71P','COMM_9I1NT','{"anonymity_level": "Low", "traceability_score": 99.004, "ml_confidence_score": 96.447, "pattern_matching_score": 56.41, "anomaly_detection_score": 50.780, "detection_evasion_score": 93.84, "behavioral_analysis_score": 86.23, "threat_intelligence_score": 0.81, "event_correlation_strength": 97.450}'
