'INVEST_T7MI5','Closed','High','Medium',2.30,'Low',583,'Level1','In Progress',143,'Restriction','Yes','Monthly','2021-12-08',33,'Active','2025-12-12 06:51:55.000',710,'SECMON_EBN59','RISK_MXF5J'
'INVEST_UPT1O','Monitoring','Medium','High',55.46,'High',1097,'Level2','In Progress',609,'Warning','No','Weekly','2024-06-05',20,'Archived','2024-01-09 09:46:47.000',195,'SECMON_GYFA8','RISK_JUZR9'
'INVEST_CIP8J','Closed','Low','High',39.38,'Low',1209,'Level2','In Progress',112,'Termination','Yes','Daily','2021-10-10',38,'Archived','2021-07-15 08:24:25.000',186,'SECMON_6NVR1','RISK_MLVPK'
'INVEST_V7AEX','Closed','Medium','Low',57.29,'Medium',849,'Level1','Resolved',815,'Termination','Yes','Daily','2021-09-15',21,'Active','2021-05-01 07:41:57.000',64,'SECMON_0WXD8','RISK_J3SD3'
'INVEST_40DLW','Active','Medium','Low',66.28,'High',153,'Level3','Resolved',818,'Termination','No','Daily','2020-10-18',2,'Archived','2024-01-26 05:15:23.000',103,'SECMON_FWJ8I','RISK_1P8AQ'
'INVEST_4Z8AF','Monitoring','High','Medium',23.59,'Medium',403,'Level1','New',357,'Restriction','Yes','Daily','2022-07-21',25,'Archived','2022-08-17 17:03:28.000',275,'SECMON_PDRZW','RISK_2CNEV'
'INVEST_B448R','Active','Unknown','Low',19.65,'High',1138,'Level3','Closed',128,'Termination','No','Monthly','2021-07-16',12,'Deleted','2022-06-12 15:38:54.000',173,'SECMON_81KKH','RISK_SRK8S'
'INVEST_F411R','Closed','Medium','Medium',42.41,'Medium',615,'Level3','In Progress',596,'Termination','No','Daily','2023-09-08',31,'Deleted','2022-02-27 22:41:57.000',24,'SECMON_5ETMG','RISK_DEL2N'
'INVEST_KTWLO','Closed','High','High',87.31,'High',1180,'Level1','In Progress',411,'Termination','No','Monthly','2021-08-16',25,'Archived','2020-01-20 01:53:51.000',317,'SECMON_JOWC6','RISK_9F45B'
'INVEST_WDYXR','Active','High','Low',39.74,'Low',124,'Level1','Closed',494,'Termination','No','Monthly','2020-11-01',21,'Archived','2022-05-18 19:27:57.000',462,'SECMON_RGAL3','RISK_9M71P'
'INVEST_I7FBN','Monitoring','High','Low',40.56,'Low',62,'Level2','Resolved',915,'Restriction','Yes','Monthly','2023-01-17',42,'Deleted','2020-06-29 23:40:14.000',245,'SECMON_835GM','RISK_Z1DB5'
'INVEST_PMATU','Monitoring','Unknown','Low',36.57,'Low',1074,'Level2','In Progress',626,'Termination','Yes','Monthly','2025-01-30',21,'Deleted','2022-02-17 04:49:25.000',457,'SECMON_0T1BV','RISK_DAZO5'
'INVEST_JJTJ0','Monitoring','High','Medium',90.18,'High',1057,'Level1','In Progress',714,'Termination','Yes','Monthly','2025-09-09',23,'Archived','2022-09-07 03:57:15.000',656,'SECMON_J1ZGB','RISK_LJHDL'
'INVEST_QHCWB','Active','Medium','Medium',68.59,'Medium',423,'Level2','New',357,'Warning','No','Weekly','2022-02-21',48,'Archived','2023-08-03 13:01:15.000',455,'SECMON_6RX5E','RISK_UH0EX'
'INVEST_6OU5I','Monitoring','Medium','Low',74.90,'Low',454,'Level3','Resolved',878,'Restriction','Yes','Daily','2023-07-04',4,'Archived','2020-04-15 19:52:17.000',105,'SECMON_B6C6W','RISK_G6GHP'
'INVEST_JFYL5','Closed','Medium','Low',75.39,'High',1105,'Level2','In Progress',417,'Restriction','Yes','Daily','2025-12-11',1,'Deleted','2021-02-24 06:11:38.000',216,'SECMON_LW9D4','RISK_ZIVI7'
'INVEST_BXKB7','Closed','High','Low',31.30,'Medium',719,'Level2','Resolved',232,'Warning','Yes','Weekly','2021-06-28',30,'Deleted','2021-01-01 13:18:52.000',36,'SECMON_T5A4L','RISK_PNICS'
'INVEST_4W163','Active','Low','Low',67.05,'Low',1023,'Level1','In Progress',811,'Termination','Yes','Daily','2023-11-02',19,'Active','2023-11-20 04:08:50.000',583,'SECMON_NL1RD','RISK_NZLJU'
'INVEST_BQBDG','Monitoring','Low','Medium',60.46,'Low',285,'Level2','Closed',136,'Termination','Yes','Daily','2020-01-05',22,'Archived','2023-07-17 03:28:57.000',128,'SECMON_BZR5E','RISK_YRZ00'
'INVEST_6CT1Z','Active','Low','High',68.49,'High',794,'Level1','In Progress',516,'Termination','Yes','Daily','2025-06-04',43,'Archived','2020-08-22 16:43:44.000',160,'SECMON_T6N5N','RISK_1CR4L'
'INVEST_6KG16','Monitoring','High','High',44.66,'Medium',245,'Level2','Resolved',409,'Restriction','Yes','Daily','2020-11-10',28,'Archived','2022-04-16 22:35:35.000',582,'SECMON_W40YD','RISK_UB490'
