'PROD_0C7HD','Digital','Type_B',155,6478.18,92,'VEND_0DY9A','BUY_4CF99'
'PROD_LH5LN','Data','Type_C',105,7111.06,48,'VEND_2JDYC','BUY_SAR2O'
'PROD_ARXK5','Digital','Type_B',116,6119.25,59,'VEND_JAI03','BUY_9KX6B'
'PROD_E7BCI','Service','Type_D',30,9513.86,4,'VEND_HPORG','BUY_I28N8'
'PROD_TQGCG','Physical','Type_A',73,6637.89,25,'VEND_Y4G4K','BUY_869KG'
'PROD_559F3','Digital','Type_A',21,6246.22,97,'VEND_7BVLA','BUY_DGBXD'
'PROD_TW2JR','Service','Type_A',96,6335.11,95,'VEND_0P77N','BUY_MHQ15'
'PROD_8D2Y0','Physical','Type_A',119,4990.64,6,'VEND_99LLG','BUY_BLBJ8'
'PROD_OPJ0F','Physical','Type_D',44,6840.38,23,'VEND_HB03F','BUY_71I6P'
'PROD_8RL5F','Physical','Type_A',2,6089.86,9,'VEND_G3QSJ','BUY_T8DBX'
'PROD_83LJA','Digital','Type_A',167,6820.57,11,'VEND_MH6BR','BUY_XWK4E'
'PROD_5WI01','Physical','Type_D',172,1765.65,70,'VEND_F3R8M','BUY_26UYS'
'PROD_DZN2W','Service','Type_C',20,5219.33,4,'VEND_A8PJP','BUY_K4XCU'
'PROD_B1C77','Physical','Type_C',115,6420.31,69,'VEND_EU7N8','BUY_CRCNM'
'PROD_OCVZS','Service','Type_A',151,7410.13,39,'VEND_4955Z','BUY_UDZ7W'
'PROD_EOF1Y','Physical','Type_B',3,1877.43,73,'VEND_LFOOB','BUY_OA5HA'
'PROD_4AOCT','Service','Type_B',136,7976.61,42,'VEND_5E5BI','BUY_986MO'
'PROD_V8ZS1','Digital','Type_B',40,5609.98,39,'VEND_MJ0V4','BUY_3AY2E'
'PROD_OX7GY','Physical','Type_D',44,8397.55,41,'VEND_S39GP','BUY_6X0TN'
'PROD_VSN9S','Data','Type_D',177,8584.43,60,'VEND_ESXLK','BUY_GVS1N'
'PROD_7CQHE','Digital','Type_A',152,5479.73,36,'VEND_10I0I','BUY_WSBDO'
'PROD_B0U34','Digital','Type_B',79,8900.55,87,'VEND_8PM0I','BUY_FI0MQ'
'PROD_DXFYI','Service','Type_C',13,2666.59,49,'VEND_DWK6P','BUY_OX7H0'
'PROD_AJJ9A','Digital','Type_C',35,7822.86,82,'VEND_OLVKK','BUY_77R2C'
'PROD_CFP41','Physical','Type_B',106,3665.66,74,'VEND_T1ONE','BUY_69YD4'
'PROD_1E7SV','Physical','Type_A',72,5662.52,44,'VEND_BUXO8','BUY_IZMQD'
'PROD_B8E61','Digital','Type_B',162,3390.50,51,'VEND_XPWS7','BUY_0AATW'
'PROD_YS84R','Data','Type_D',31,4758.49,11,'VEND_65E0M','BUY_03ADE'
'PROD_041MO','Physical','Type_C',157,9013.93,23,'VEND_8VNMI','BUY_WNYFK'
'PROD_F7PT2','Physical','Type_C',31,8977.96,14,'VEND_SSUJ9','BUY_IS3K8'
'PROD_N0X3O','Service','Type_B',3,2566.43,4,'VEND_EURT3','BUY_SB1O8'
'PROD_N7R15','Data','Type_B',95,3888.76,88,'VEND_6FBFK','BUY_L4YJM'
'PROD_HE08I','Service','Type_D',69,4948.82,47,'VEND_PJ7Y1','BUY_APB66'
'PROD_1FI6P','Data','Type_C',164,2293.50,21,'VEND_PP1M7','BUY_51HXT'
'PROD_H8DQU','Physical','Type_C',109,3654.70,35,'VEND_GE0HY','BUY_K5TH6'
'PROD_CMZNK','Service','Type_A',120,2283.46,29,'VEND_BKVBT','BUY_ZLJ08'
'PROD_FTHGH','Data','Type_A',83,5653.23,38,'VEND_IQ0IE','BUY_XPF6H'
'PROD_90QIO','Data','Type_A',97,9561.26,7,'VEND_TIEF9','BUY_E8M27'
'PROD_UV4KT','Service','Type_A',105,4856.79,24,'VEND_3LH5G','BUY_JRYIB'
'PROD_0LEZI','Data','Type_B',1,8361.91,48,'VEND_HJ41R','BUY_BPU8L'
'PROD_HBVM9','Data','Type_A',79,8141.92,96,'VEND_8KFKZ','BUY_MQRXG'
'PROD_07VF5','Digital','Type_A',110,4206.80,22,'VEND_DKEZB','BUY_1587T'
'PROD_FRR00','Data','Type_C',100,3363.29,75,'VEND_87DI1','BUY_60NQH'
'PROD_R7TMF','Service','Type_A',130,2431.39,67,'VEND_NOYFE','BUY_21ZRN'
'PROD_UYUKP','Digital','Type_D',55,1490.00,84,'VEND_337EJ','BUY_I7TLX'
'PROD_2PCG9','Digital','Type_C',84,3075.39,84,'VEND_T0C9H','BUY_5MDG8'
'PROD_59H8S','Service','Type_D',57,4468.92,4,'VEND_5T71M','BUY_CYMAG'
'PROD_2XDGU','Service','Type_A',3,5124.48,21,'VEND_JD88V','BUY_RE5NR'
'PROD_4FXKK','Data','Type_D',40,7382.05,74,'VEND_QZJI2','BUY_JTELA'
'PROD_FO4WD','Data','Type_B',180,3216.46,2,'VEND_XCIC6','BUY_8HE89'
'PROD_J5CM5','Physical','Type_A',21,8467.62,82,'VEND_XRTMA','BUY_QBT0S'
'PROD_XQ0X9','Data','Type_B',43,7258.04,17,'VEND_2ND0T','BUY_6Q7N0'
'PROD_3X92C','Service','Type_B',108,2403.25,48,'VEND_ZP00N','BUY_N9UM2'
'PROD_7TYC4','Service','Type_D',48,6738.78,55,'VEND_Y7UU3','BUY_MK3PX'
'PROD_ZYROK','Data','Type_C',10,6000.23,19,'VEND_RDXJM','BUY_MD2FB'
'PROD_7LF7P','Data','Type_C',94,5146.36,86,'VEND_9V33W','BUY_ZRYVQ'
'PROD_GD7LW','Data','Type_A',96,3661.09,52,'VEND_ZFTP3','BUY_VHJFU'
'PROD_OKU6J','Data','Type_D',156,7222.31,62,'VEND_H3938','BUY_4M5G1'
'PROD_2Y2D1','Service','Type_B',84,1719.31,99,'VEND_MPP5H','BUY_D2BWS'
'PROD_VYYM3','Digital','Type_B',170,8518.96,55,'VEND_5K9YP','BUY_6LHDT'
'PROD_WUPBM','Digital','Type_A',142,6919.72,22,'VEND_CDIQ8','BUY_LU6AJ'
'PROD_VIO4Y','Physical','Type_A',67,7350.40,12,'VEND_G4T8B','BUY_SNZCN'
'PROD_6U7W3','Service','Type_B',68,3549.49,48,'VEND_LKPDP','BUY_AED65'
'PROD_CIF7H','Data','Type_A',145,804.59,73,'VEND_51PTT','BUY_X8TN4'
'PROD_HOYJ8','Service','Type_B',117,4900.64,29,'VEND_55MNC','BUY_IFZM4'
'PROD_YEWQ7','Physical','Type_B',111,4129.75,96,'VEND_TQFUJ','BUY_DBPVO'
'PROD_XRNWJ','Service','Type_A',49,9314.75,27,'VEND_LZFV9','BUY_9KNWG'
'PROD_0LRCI','Digital','Type_D',159,6799.38,18,'VEND_SN9BJ','BUY_YB2ZB'
'PROD_33F54','Service','Type_B',173,6778.76,97,'VEND_5TJSI','BUY_N1N48'
'PROD_2NWTO','Data','Type_C',147,1820.16,12,'VEND_EPIBI','BUY_SA1D2'
'PROD_8FTVF','Physical','Type_B',157,2387.15,38,'VEND_YWO38','BUY_2194B'
'PROD_43WAK','Service','Type_B',34,5256.71,93,'VEND_74UY2','BUY_89MDK'
'PROD_XSJP1','Digital','Type_C',129,2733.55,82,'VEND_VGC18','BUY_OHQ1G'
'PROD_9LKYV','Physical','Type_B',162,1369.69,99,'VEND_AXB5X','BUY_CPUKN'
'PROD_O39TA','Data','Type_B',87,6015.34,6,'VEND_8U1YR','BUY_ACZF0'
'PROD_Q4A7P','Digital','Type_B',54,8880.18,4,'VEND_EJR49','BUY_EVIPB'
'PROD_85ID8','Service','Type_B',94,5211.34,9,'VEND_HIKY4','BUY_GNLE1'
'PROD_XAXPH','Service','Type_C',27,7627.42,59,'VEND_A2CSB','BUY_F68GM'
'PROD_3Q27O','Physical','Type_D',21,3134.40,31,'VEND_CN7CJ','BUY_8WNHX'
'PROD_G0WTS','Service','Type_D',153,202.11,7,'VEND_YDVB7','BUY_32XIQ'
'PROD_3OEWH','Service','Type_A',67,7977.39,23,'VEND_TZD16','BUY_J2T7Q'
